model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,MP shock (purged),0,-0.0036738814467149493,0.01997132608424686,-0.023534524109346814,0.016186761215916914,-0.03652378959141892,0.029176026697989025,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,Interaction (climate x MP),0,0.03821547791552112,0.08895647729498912,-0.05024799219305024,0.1266789480240925,-0.10810490640396794,0.1845358622350102,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,MP shock (purged),1,-0.012797214981281049,0.02798896522559502,-0.040631062092757665,0.015036632130195569,-0.05883496594721963,0.03324053598465753,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,Interaction (climate x MP),1,0.11030328959435892,0.16702359509521722,-0.05579464123011371,0.27640122041883153,-0.1644260765844831,0.38503265577320095,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,MP shock (purged),2,0.027050708980763043,0.04753290900375775,-0.02021876708991571,0.07432018505144179,-0.05113396879362214,0.10523538675514824,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,Interaction (climate x MP),2,-0.11683017425748336,0.27103727108000053,-0.3863653251266488,0.15270497661168203,-0.5626468126324514,0.32898646411748467,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,MP shock (purged),3,0.08033981297852366,0.08527601072356736,-0.004463588134207358,0.16514321409125468,-0.059926742552088685,0.220606368509136,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,Interaction (climate x MP),3,-0.41644202868127855,0.45195358409626674,-0.8658908332307131,0.03300677586815609,-1.1598395206957397,0.3269554633331827,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,MP shock (purged),4,0.15041480817871655,0.09067997546835593,0.060237391724942954,0.24059222463249014,0.001259521637720834,0.2995700947197123,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,Interaction (climate x MP),4,-0.6463042317659248,0.4541970083760203,-1.0979840272757444,-0.1946244362561051,-1.3933918283437297,0.1007833648118801,184
household_secured_credit_rate__country_risk__land_temp_shock,household_secured_credit_rate,country_risk,land_temp_shock,MP shock (purged),5,0.24924386984857472,0.10559154744389725,0.14423752309267443,0.354250216604475,0.07556123006006196,0.42292650963708744,184
