h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.004714523100442751,0.006218666636278044,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.0014696789590574284,0.010898725159942932,-0.005514273271041295,0.014943319471926798
0,climate,MP shock + 1 SD climate shock,-1.4059253757872127e-4,0.002270436261414007,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.0023984457760671605,0.002117260700909718,-0.00387512785692769,0.0035939427817702476
0,interaction,Interaction,-0.004855115638021473,0.005534288009316921,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.010358731976839897,6.485007007969524e-4,-0.01395820934274045,0.004247978066697505
1,base,MP shock only,0.013718913225063707,0.008977071267270079,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,0.004791593935191206,0.022646232514936207,-0.0010470550083073252,0.028484881458434738
1,climate,MP shock + 1 SD climate shock,-5.201557263778498e-4,0.0056678504635574774,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.006156594300716638,0.005116282847960938,-0.009842940118378945,0.008802628665623246
1,interaction,Interaction,-0.014239068951441556,0.008994341894338625,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.023183563152550348,-0.0052945747503327645,-0.029033444838386012,5.55306935502901e-4
2,base,MP shock only,0.0050634861831155824,0.010271832078287194,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.005151418202143942,0.015278390568375107,-0.011832174066291579,0.021959146432522746
2,climate,MP shock + 1 SD climate shock,-0.01246942982559759,0.008088863660020472,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.020513464058513845,-0.004425395592681333,-0.025774426554698218,8.355669035030391e-4
2,interaction,Interaction,-0.01753291600871317,0.009875996477228897,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.0273541785600452,-0.007711653457381142,-0.03377748463404308,-0.0012883473833832648
3,base,MP shock only,-0.024249972118002724,0.010539296510696673,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.03473085861655008,-0.013769085619455373,-0.04158557220913914,-0.006914372026866313
3,climate,MP shock + 1 SD climate shock,-0.025287401814189647,0.008595731152192735,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.03383549442043937,-0.016739309207939927,-0.039426121376173615,-0.011148682252205677
3,interaction,Interaction,-0.0010374296961869224,0.01256292052718951,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.01353072505058816,0.011455865658214317,-0.021701595090437682,0.019626735698063835
4,base,MP shock only,-0.039206390304399,0.012308147583527107,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.05144632469654661,-0.026966455912251393,-0.05945149149821755,-0.018961289110580447
4,climate,MP shock + 1 SD climate shock,-0.026923803916116682,0.01244060794016545,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.039295464554136066,-0.0145521432780973,-0.0473867830079791,-0.006460824824254266
4,interaction,Interaction,0.012282586388282318,0.013150757285029433,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-7.95287863993294e-4,0.025360460640557927,-0.009348484429156832,0.03391365720572147
5,base,MP shock only,-0.06187983889739337,0.013877271625884764,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.0756802010631975,-0.04807947673158923,-0.08470591946342067,-0.03905375833136607
5,climate,MP shock + 1 SD climate shock,-0.033187562793345386,0.010058252443587618,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.04319007122718486,-0.023185054359505915,-0.049731915805973984,-0.016643209780716792
5,interaction,Interaction,0.02869227610404798,0.012193865881525509,184,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,0.016565990051362493,0.04081856215673347,0.008635151582260945,0.04874940062583502
6,base,MP shock only,-0.07439730800757037,0.015402999153137096,180,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.08971494194048071,-0.059079674074660034,-0.09973298703053837,-0.049061628984602375
6,climate,MP shock + 1 SD climate shock,-0.049420033523423154,0.011218268989677066,180,,household_secured_credit_rate,forward_guidance,pop_temp_shock,household_secured_credit_rate__forward_guidance__pop_temp_shock,-0.06057612955617503,-0.03826393749067128,-0.06787244395921069,-0.030967623087635614
