model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),0,0.4181216665666126,0.18790859921970388,0.23125447874967597,0.6049888543835492,0.1090395256047122,0.727203807528513,196
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),0,0.029906859303435156,0.06974508635961693,-0.039451691642030925,0.09926541024890125,-0.08481359895722436,0.14462731756409467,196
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),1,0.5070974776855749,0.23601988294086967,0.2723856445007839,0.7418093108703658,0.11887931719762368,0.8953156381735261,196
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),1,0.2621641723402641,0.14364224113475713,0.1193180132818886,0.4050103313986396,0.025893711026321015,0.49843463365420726,196
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),2,0.5845281669591311,0.3346636309021931,0.25171928098484603,0.9173370529334162,0.03405547986091029,1.135000854057352,196
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),2,0.35187893676076215,0.17415597592689858,0.17868815359216986,0.5250697199293545,0.06541784810212986,0.6383400254193945,196
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),3,0.5434054348752708,0.31727817794766455,0.2278856496447889,0.8589252201057527,0.021529273125500348,1.0652815966250413,192
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),3,0.34752526568992803,0.14265341233588574,0.20566245522573498,0.48938807615412105,0.11288128301224257,0.5821692483676135,192
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),4,0.4954930938033346,0.3186635354730675,0.17859562886065178,0.8123905587460174,-0.028661778296719453,1.0196479659033888,188
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),4,0.10636949689460774,0.1560758997946877,-0.048841412035274936,0.26158040582449044,-0.15035251296239877,0.3630915067516142,188
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),5,0.4851460377143026,0.30136737474085845,0.185448876161028,0.7848431992675772,-0.010559181673041707,0.9808512571016469,184
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),5,0.08245127295482796,0.1510733999276291,-0.06778486054650257,0.23268740645615849,-0.16604235685202295,0.33094490276167887,184
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),6,0.5848718770647514,0.3396476635658398,0.24710658051792794,0.9226371736115748,0.02620118576288666,1.143542568366616,180
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),6,0.16589224138384526,0.5144378017057036,-0.3456944859434875,0.6774789687111781,-0.6802826425927232,1.0120671253604137,180
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),7,0.6013138365453521,0.33337096118856346,0.26979045615817243,0.9328372169325317,0.05296740191404525,1.1496602711766588,176
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),7,-0.283224945285967,0.49494905605211004,-0.7754309358642139,0.2089810452922799,-1.0973436952894873,0.5308938047175534,176
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),8,0.3438238932461284,0.20926345504452135,0.13572020070939433,0.5519275857828625,-3.8385977224875134e-4,0.6880316462645055,172
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),8,-0.5754898033055426,0.4190586105338794,-0.9922259420778847,-0.15875366453320044,-1.2647798787474382,0.11380027213635313,172
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),9,-0.09818834875191594,0.19498224374570036,-0.29208997813075327,0.0957132806269214,-0.4189055995681671,0.22252890206433518,168
household_secured_credit_rate__romer_surprise__pop_precip_shock,household_secured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),9,-0.6043623765958459,0.41465818862085696,-1.0167224811073339,-0.19200227208435788,-1.2864144020939898,0.07768964890229801,168
