h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.6459168220761503,0.29538186793607696,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.9396616492024044,-0.3521719949498963,-1.131776758886507,-0.16005688526579354
0,climate,MP shock with climate shock,-0.6640462406627167,0.305363056562177,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.9677169395019993,-0.360375541823434,-1.1663237717860009,-0.16176870953943245
0,interaction,Interaction (climate amplification),-0.01812941858656631,0.0292000729611344,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.04716766133306638,0.010908824159933755,-0.06615926450393582,0.029900427330803198
1,base,MP shock alone,-0.603278258516655,0.5480865487539424,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-1.1483272476062396,-0.058229269427070185,-1.5048004061178917,0.29824388908458166
1,climate,MP shock with climate shock,-0.5904961397990055,0.5773319223510389,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-1.1646284212096374,-0.01636385838837373,-1.5401226462329771,0.3591303666349662
1,interaction,Interaction (climate amplification),0.012782118717649412,0.05690468955298056,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.043807198399915794,0.06937143583521461,-0.08081776628411817,0.10638200371941699
2,base,MP shock alone,2.2136717829520952e-5,0.5246801206906521,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.5217501454664343,0.5217944189020932,-0.8629998627895255,0.8630441362251844
2,climate,MP shock with climate shock,0.021403136585080834,0.6124612688017189,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.5876638003354362,0.6304700735055979,-0.9860060027707267,1.0288122759408884
2,interaction,Interaction (climate amplification),0.021380999867251314,0.12511034179521524,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.10303596580206716,0.1457979655365698,-0.18440719960374677,0.2271691993382494
3,base,MP shock alone,1.1443172912467685,0.6607326619054918,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,0.4872464869206875,1.8013880955728494,0.05750877586621983,2.2311258066273174
3,climate,MP shock with climate shock,1.268546434376793,0.7880968416587407,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,0.48481731745654955,2.0522755512970363,-0.02775751401458626,2.564850382768172
3,interaction,Interaction (climate amplification),0.12422914313002438,0.17363727982429658,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.048445818610345207,0.296904104870394,-0.16137876636295745,0.4098370526230062
4,base,MP shock alone,2.312641026926278,0.3081993107752554,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,2.0061497927260126,2.619132261126543,1.8056982727736552,2.8195837810789004
4,climate,MP shock with climate shock,2.5074713307768217,0.49734458165303214,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,2.0128830908803073,3.002059570673336,1.6894122918001695,3.3255303697534737
4,interaction,Interaction (climate amplification),0.19483030385054373,0.27994162745482465,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.08355985441047453,0.473220462111562,-0.2656326974032222,0.6552933051043097
5,base,MP shock alone,2.844740792366791,0.39988255251620447,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,2.4470744356590135,3.2424071490745687,2.1869925255059,3.502489059227682
5,climate,MP shock with climate shock,2.955509982522584,0.3988039481105526,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,2.5589162524688716,3.3521037125762962,2.299535862030375,3.6114841030147926
5,interaction,Interaction (climate amplification),0.11076919015579274,0.3022872679787355,184,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,-0.18984276647960002,0.4113811467911855,-0.3864491189602818,0.6079874992718672
6,base,MP shock alone,2.7536228781407788,0.3425633588707118,180,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,2.4129580454129878,3.09428771086857,2.19015629484161,3.3170894614399478
6,climate,MP shock with climate shock,2.6676981580079273,0.36017674217024415,180,,household_secured_credit_rate,target,pop_precip_shock,household_secured_credit_rate__target__pop_precip_shock,2.309517557407921,3.0258787586079334,2.0752601373056363,3.2601361787102183
