model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,MP shock (purged),0,-0.004048759849438069,0.004766644922612148,-0.008788987469191465,6.914677703153257e-4,-0.011889193038786477,0.0037916733399103383,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,Interaction (climate x MP),0,-0.004705424679514792,0.017956301444555404,-0.022562210204343593,0.01315136084531401,-0.034240912237225696,0.024830062878196113,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,MP shock (purged),1,-5.466760283338536e-4,0.007066150695544447,-0.00757366529146611,0.006480313234798403,-0.0121694596284858,0.011076107571818093,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,Interaction (climate x MP),1,-0.020681504896360666,0.02528999364991917,-0.04583133844784738,0.004468328655126055,-0.062279842677009895,0.020916832884288566,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,MP shock (purged),2,0.007334459293487725,0.008446427066605765,-0.0010651566878546095,0.01573407527483006,-0.006558676901799846,0.021227595488775296,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,Interaction (climate x MP),2,-0.03777121047488129,0.027882429112764277,-0.06549911190910684,-0.010043309040655726,-0.08363372512922891,0.008091304179466338,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,MP shock (purged),3,0.024064906546872877,0.006816864179267623,0.017285822225030004,0.03084399086871575,0.012852162777168961,0.03527765031657679,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,Interaction (climate x MP),3,-0.06293895218564273,0.032716962190067464,-0.09547459315023075,-0.030403311221054705,-0.11675356610680936,-0.009124338264476103,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,MP shock (purged),4,0.03704540031775166,0.005120027042455685,0.03195374906313449,0.04213705157236883,0.02862370526687881,0.045467095368624505,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,Interaction (climate x MP),4,-0.06263371459132965,0.02812063993581877,-0.09059850665640763,-0.03466892252625166,-0.10888805118195755,-0.016379378000701744,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,MP shock (purged),5,0.04200479569203813,0.006849370182796227,0.0351933855187346,0.04881620586534167,0.030738584304532496,0.05327100707954377,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,Interaction (climate x MP),5,-0.05541006262801583,0.02882691472015649,-0.08407721522009073,-0.026742910035940932,-0.102826117859286,-0.007994007396745668,184
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,MP shock (purged),6,0.03471138816815832,0.007644837129792905,0.027108919618581147,0.0423138567177355,0.022136750087765188,0.04728602624855146,180
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,Interaction (climate x MP),6,-0.02010977125889841,0.031486408680163155,-0.051421678584850666,0.01120213606705384,-0.07190030477614108,0.03168076225834425,180
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,MP shock (purged),7,0.024482920348588913,0.006691442554661284,0.017828562550060788,0.031137278147117038,0.01347647679301688,0.035489363904160943,176
household_secured_credit_rate__target__pop_temp_shock,household_secured_credit_rate,target,pop_temp_shock,Interaction (climate x MP),7,0.013624328017271476,0.04571224030382961,-0.03183456971205049,0.059083225746593436,-0.0615656162425599,0.08881427227710285,176
