model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,MP shock (purged),0,-0.006364137409953256,0.004205288625001408,-0.01054611983425821,-0.002182154985648302,-0.01328122165716459,5.529468372580766e-4,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,Interaction (climate x MP),0,-0.00528347424602678,0.0011053304898219279,-0.006382678865182295,-0.004184269626871266,-0.007101581111190425,-0.0034653673808631357,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,MP shock (purged),1,-0.011746698782934046,0.0059648926139858815,-0.01767853326541194,-0.005814864300456154,-0.021558074033424766,-0.0019353235324433248,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,Interaction (climate x MP),1,-0.012511171405604028,0.007154284273012323,-0.01962580579962469,-0.005396537011583364,-0.02427892184031022,-7.434209708978359e-4,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,MP shock (purged),2,-0.01279516959895089,0.0076689119451309245,-0.02042157953842778,-0.005168759659473998,-0.025409407226670955,-1.809319712308237e-4,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,Interaction (climate x MP),2,-0.014146455337205766,0.007564749432854144,-0.021669280045214078,-0.006623630629197452,-0.026589360878814992,-0.0017035497955965404,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,MP shock (purged),3,-0.008056538118662082,0.005376642354439505,-0.013403382493233897,-0.0027096937440902686,-0.0169003277961828,7.872515588586357e-4,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,Interaction (climate x MP),3,-0.018347311652569896,0.007963871350629197,-0.026267046298071403,-0.010427577007068386,-0.031446714328227245,-0.005247908976912546,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,MP shock (purged),4,-0.002375471439504407,0.005177485225968287,-0.0075242624376706015,0.002773319558661787,-0.010891676791926003,0.006140733912917189,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,Interaction (climate x MP),4,-0.017641209554918914,0.006446543853324545,-0.024052025909314885,-0.011230393200522942,-0.028244830593361504,-0.007037588516476323,184
household_unsecured_credit__country_risk__land_precip_shock,household_unsecured_credit,country_risk,land_precip_shock,MP shock (purged),5,-0.38285745703918594,0.2429773493742598,-0.624488197565829,-0.14122671651254287,-0.782519631424492,0.016804717346120157,184
