h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-2.8329674987117854e-4,0.0014034380938456378,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,-0.0016789568258928425,0.0011123633261504854,-0.0025917469887350355,0.002025153488992679
0,climate,MP shock + 1 SD climate shock,8.258362869907351e-4,9.889790084492496e-4,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,-1.5766168429058635e-4,0.0018093342582720566,-8.008894220358832e-4,0.0024525619960173535
0,interaction,Interaction,0.0011091330368619137,0.0011259630125723657,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,-1.0589757193277781e-5,0.002228855830917105,-7.429113081809473e-4,0.002961177381904775
1,base,MP shock only,0.010359042557292591,9.019300695003762e-4,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,0.00946211108957402,0.011255974025011162,0.008875499611218305,0.011842585503366877
1,climate,MP shock + 1 SD climate shock,0.0026658909132151343,0.0014631321793128326,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,0.0012108675833196218,0.004120914243110647,2.592526413630106e-4,0.005072529185067258
1,interaction,Interaction,-0.007693151644077457,0.001692047542120178,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,-0.009375821661104554,-0.0060104816270503585,-0.010476322180708155,-0.004909981107446759
2,base,MP shock only,0.0091950313899436,8.665502837999314e-4,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,0.008333283629021108,0.01005677915086609,0.0077696830126994555,0.010620379767187743
2,climate,MP shock + 1 SD climate shock,0.0023591527002732714,0.0017166699823618248,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,6.519967034440068e-4,0.0040663086971025365,-4.6451814649329463e-4,0.0051828235470398375
2,interaction,Interaction,-0.006835878689670328,0.0014812017442814318,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,-0.008308871440895035,-0.005362885938445621,-0.009272238750998488,-0.004399518628342169
3,base,MP shock only,0.00600474766161026,0.0011517579187686484,184,,household_unsecured_credit,forward_guidance,land_temp_shock,household_unsecured_credit__forward_guidance__land_temp_shock,0.004859372919741519,0.007150122403479001,0.00411027447155357,0.007899220851666949
