h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-0.0031959180883966614,9.9256607201006e-4,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-0.004182983243313605,-0.0022088529334797174,-0.004828543991931384,-0.0015632921848619387
0,climate,MP shock + 1 SD climate shock,-0.0016225981450171435,4.725068323670838e-4,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-0.0020924862893350596,-0.0011527100006992275,-0.0023998027219954924,-8.453935680387948e-4
0,interaction,Interaction,0.0015733199433795178,7.165032820166987e-4,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,8.607876062323508e-4,0.002285852280526685,3.94776921231718e-4,0.0027518629655273177
1,base,MP shock only,-0.00591007399363862,7.867180070692416e-4,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-0.006692431917631694,-0.005127716069645546,-0.007204109960954496,-0.004616038026322745
1,climate,MP shock + 1 SD climate shock,-0.002858159050866071,6.254271631125017e-4,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-0.003480120023596811,-0.0022361980781353315,-0.0038868951885056395,-0.0018294229132265031
1,interaction,Interaction,0.003051914942772549,8.69576116824657e-4,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,0.0021871581183453438,0.003916671767199754,0.0016215895131031354,0.004482240372441963
2,base,MP shock only,-0.003773524019609119,8.916244199828229e-4,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-0.004660206952923361,-0.002886841086294877,-0.005240115680696367,-0.0023069323585218704
2,climate,MP shock + 1 SD climate shock,-0.0026884767393465622,7.819586218298286e-4,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-0.0034661016551690697,-0.0019108518235240548,-0.00397468421458933,-0.0014022692641037944
2,interaction,Interaction,0.0010850472802625567,0.0012054904455950385,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-1.1376219649346766e-4,0.002283856757018581,-8.978080514297879e-4,0.003067902611954901
3,base,MP shock only,-0.0014175731687877224,0.0010945996133006578,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-0.002506106383192909,-3.2903995438253583e-4,-0.003218029312784988,3.8288297520954286e-4
3,climate,MP shock + 1 SD climate shock,-0.0033470274393956863,0.002244984079805132,184,,household_unsecured_credit,target,land_temp_shock,household_unsecured_credit__target__land_temp_shock,-0.005579569555238294,-0.001114485323553079,-0.00703969764551147,3.4564276672009687e-4
