model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),0,-0.002058283850977343,0.0010714428585247868,-0.0031237886480461096,-9.927790539085764e-4,-0.003820650522893091,-2.959171790615951e-4,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),0,0.0013829207531894808,7.296416084749442e-4,6.573229037237282e-4,0.002108518602655233,1.8276710711476315e-4,0.0025830743992641984,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),1,-0.0036906416815565696,0.0016243758342464477,-0.005306015035218369,-0.0020752683278947703,-0.006362502164049161,-0.0010187811990639778,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),1,0.0011609198413709435,7.026603454260481e-4,4.6215372164312165e-4,0.0018596859610987653,5.146423681934298e-6,0.0023166932590599526,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),2,-0.0024573220632448144,0.001123723084471962,-0.0035748173431427365,-0.0013398267833468923,-0.004305682054427616,-6.089620720620128e-4,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),2,0.0018942832156447743,9.421335184531748e-4,9.573711111828731e-4,0.0028311953201066754,3.446114807445187e-4,0.0034439549505450298,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),3,-0.00233636474337314,0.0020894575141654913,-0.004414242239966868,-2.584872467794124e-4,-0.005773216513909254,0.001100487027162974,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),3,0.0024686258476469217,7.590844343465104e-4,0.001713748347889218,0.0032235033474046254,0.001220043062649658,0.003717208632644186,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),4,-9.981785601447964e-4,0.001153885451324742,-0.00214566904353573,1.4931192324613737e-4,-0.002896151229842834,8.997941095532412e-4,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),4,0.0028524404471235686,0.0014140070929468465,0.0014462699466280707,0.004258610947619066,5.266057517548414e-4,0.005178275142492295,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),5,0.1275994793542104,0.07926516053253102,0.04877361559874832,0.20642534310967248,-0.0027801074386138713,0.2579790661470347,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),5,0.2634719116369342,0.10569290242416966,0.1583647716218994,0.3685790516519689,0.08962255774151073,0.4373212655323576,184
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),6,0.04377966167933612,0.05448543937303124,-0.010403813025321874,0.09796313638399412,-0.045840910889438834,0.13340023424811107,180
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),6,-0.09705726614875904,0.11493092683611901,-0.211351232365541,0.0172367000680229,-0.2861018180040436,0.09198728570652553,180
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),7,0.07901845616331375,0.05837601377184458,0.020965969077541786,0.13707094324908572,-0.01700154181627385,0.17503845414290137,176
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),7,0.12871746218527125,0.08751179680481373,0.041690665978874136,0.21574425839166836,-0.015226634190166816,0.2726615585607093,176
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),8,0.031101253341777765,0.050308884804699874,-0.01892881374774739,0.08113132043130292,-0.0516494982971166,0.11385200498067213,172
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),8,0.0685217788476514,0.04801757602391986,0.02077032183804066,0.11627323585726214,-0.010460105232711195,0.14750366292801398,172
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),9,-0.017997707285589096,0.04868045656004975,-0.06640837106998052,0.030412956498802324,-0.09806993282004048,0.06207451824886229,168
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),9,0.05349056156926353,0.0362147676851583,0.017476500356148034,0.08950462278237903,-0.006077430406874043,0.1130585535454011,168
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),10,-0.01955338687840071,0.05039355565509934,-0.0696676555625837,0.030560881805782276,-0.1024434096726717,0.06333663591587028,164
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),10,0.04263524216729596,0.026541642075376903,0.01624069697210572,0.06902978736248619,-0.0010218740656355238,0.08629235840022745,164
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),11,0.07684411729048402,0.05694967390899638,0.02021006512545776,0.13347816945551028,-0.016829760392432266,0.1705179949734003,160
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),11,0.043804187198887026,0.05350307239760562,-0.00940236492285404,0.09701073932062809,-0.04420053548736175,0.1318089098851358,160
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,MP shock (purged),12,0.022264376288906006,0.03537821751101697,-0.012917771008834157,0.05744652358664617,-0.035927613099168317,0.08045636567698033,156
household_unsecured_credit__target__pop_precip_shock,household_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),12,-0.0039255014508459436,0.03269276475222528,-0.036437079082618326,0.028586076180926442,-0.05770031412861492,0.049849311226923036,156
