h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.1422005497980336,0.033989614612369996,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.17600178999656635,-0.10839930959950084,-0.1981084906718731,-0.08629260892419408
0,climate,MP shock with climate shock,-0.053163457884986234,0.017859116575024783,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.0709235971501816,-0.035403318619790874,-0.08253909055756489,-0.02378782521240758
0,interaction,Interaction (climate amplification),0.08903709191304736,0.027799413624632927,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,0.061391745885422525,0.11668243794067219,0.04331112558544573,0.134763058240649
1,base,MP shock alone,-0.2692962922393091,0.027362810485540075,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.29650745483342894,-0.2420851296451893,-0.31430411031003547,-0.22428847416858277
1,climate,MP shock with climate shock,-0.10084345892936902,0.023809509235441676,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.12452101308390942,-0.07716590477482863,-0.14000661655121982,-0.061680301307518226
1,interaction,Interaction (climate amplification),0.1684528333099401,0.029115887303700346,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,0.13949830965412852,0.19740735696575168,0.12056146047653829,0.2163442061433419
2,base,MP shock alone,-0.15498673636274482,0.03981323144869971,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.1945793182329587,-0.11539415449253093,-0.22047367451179692,-0.08949979821369272
2,climate,MP shock with climate shock,-0.0879059320720039,0.025506154882387274,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.11327072886516286,-0.06254113527884493,-0.1298598234398846,-0.045952040704123204
2,interaction,Interaction (climate amplification),0.06708080429074093,0.04336277752529872,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,0.023958348342836895,0.11020326023864496,-0.004244617596436434,0.13840622617791828
3,base,MP shock alone,-0.05802620292145515,0.04825317662076303,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.10601195480188551,-0.010040451041024787,-0.13739561549804719,0.021343209655136877
3,climate,MP shock with climate shock,-0.12303829104732589,0.06857919425672819,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.19123741140010225,-0.05483917069454951,-0.23584102745391478,-0.010235554640736999
3,interaction,Interaction (climate amplification),-0.06501208812587074,0.0842051931678528,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.148750606278842,0.018726430027100532,-0.2035173055161627,0.07349312926442121
4,base,MP shock alone,0.02918349685967313,0.0935519967789198,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.06385002382713711,0.12221701754648337,-0.1246958443506855,0.18306283807003176
4,climate,MP shock with climate shock,-0.06747697973093163,0.044963810977787094,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.11219159601694526,-0.022762363444918006,-0.14143586729930513,0.006481907837441861
4,interaction,Interaction (climate amplification),-0.09666047659060475,0.1279948618223799,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.22394597594021354,0.030625022759004028,-0.30719328929029877,0.11387233610908926
5,base,MP shock alone,0.01246379156477472,0.1303049982275227,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.11711904114421816,0.1420466242737676,-0.20186885737967106,0.22679644050922051
5,climate,MP shock with climate shock,-0.04238277694035014,0.039704791052573706,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.08186751940377815,-0.0028980344769221414,-0.10769134651052634,0.022925792629826053
5,interaction,Interaction (climate amplification),-0.054846568505124864,0.10869060219618938,184,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.1629347946899407,0.05324165767969099,-0.23362669974306655,0.1239335627328168
6,base,MP shock alone,0.08341088285016814,0.15017542474298928,180,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.0659322521498706,0.23275401785020688,-0.16360570921731554,0.33042747491765184
6,climate,MP shock with climate shock,-0.027598393731364565,0.05431909936733923,180,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.08161645030606898,0.026419662843339853,-0.11694536133846987,0.061748573875740745
6,interaction,Interaction (climate amplification),-0.1110092765815327,0.10857778411553848,180,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.21898530993667667,-0.003033243226388732,-0.28960383859033,0.06758528542726464
7,base,MP shock alone,0.16444250871663108,0.1299668157107532,176,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,0.035195984277403364,0.2936890331558588,-0.04933387948853479,0.37821889692179694
7,climate,MP shock with climate shock,-0.013324604416829311,0.05205646725417839,176,,household_unsecured_credit,target,pop_temp_shock,household_unsecured_credit__target__pop_temp_shock,-0.06509256864979739,0.038443359816138764,-0.09894987338614514,0.07230066455248652
