h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.018650425381089897,0.02201421125840017,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.0032417805474710543,0.04054263130965085,-0.01755972985176554,0.05486058061394533
0,climate,MP shock + 1 SD climate shock,0.020169649013509306,0.01804268032445147,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.0022269633306250328,0.03811233469639358,-0.009507919158090648,0.04984721718510926
0,interaction,Interaction,0.0015192236324194075,0.004682180719595251,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.003137007894794805,0.00617545515963362,-0.0061822783062490914,0.009220725571087907
1,base,MP shock only,0.039395040677390206,0.03689304051826808,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.002706465698421673,0.07608361565635874,-0.021288610828350644,0.10007869218313106
1,climate,MP shock + 1 SD climate shock,0.06844483142370626,0.041987664650776406,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.026689867314174172,0.11019979553323836,-6.187310643454014e-4,0.13750839391175793
1,interaction,Interaction,0.029049790746316053,0.007616139132718934,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.021475861146161415,0.03662372034647069,0.01652235667049628,0.04157722482213583
2,base,MP shock only,0.02892632435361958,0.04855172540845619,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.019356321722254953,0.07720897042949412,-0.05093415727923149,0.10878680598647066
2,climate,MP shock + 1 SD climate shock,0.06589997559048831,0.05337229766528872,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.012823473432224432,0.1189764777487522,-0.021889641802995394,0.153689592983972
2,interaction,Interaction,0.03697365123686873,0.012135765550199316,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.02490514351668767,0.04904215895704979,0.017012093255790662,0.0569352092179468
3,base,MP shock only,0.020378187937549905,0.05017421869677537,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.029517959379348556,0.07027433525444837,-0.062151057665297396,0.1029074335403972
3,climate,MP shock + 1 SD climate shock,0.06108244667777843,0.056759063069200005,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.004637948965012913,0.11752694439054395,-0.03227790407396253,0.15444279742951939
3,interaction,Interaction,0.040704258740228524,0.012276009779959577,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.028496284040187697,0.05291223344026935,0.02051201952917028,0.060896497951286765
4,base,MP shock only,0.033946242958340415,0.04913909412483201,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.014920516567884845,0.08281300248456568,-0.046880374237999255,0.11477286015468008
4,climate,MP shock + 1 SD climate shock,0.09221182939950222,0.05966570982454677,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.03287679390717606,0.1515468648918284,-0.0059295298100375815,0.19035318860904202
4,interaction,Interaction,0.0582655864411618,0.016718456225212043,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.04163978585290251,0.0748913870294211,0.030766173082092365,0.08576499980023124
5,base,MP shock only,0.012751218098380734,0.033098276512602366,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.020163623900232908,0.04566606009699438,-0.041690602069215967,0.06719303826597743
5,climate,MP shock + 1 SD climate shock,0.08206009541091933,0.04405174833869076,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.03825248700633615,0.1258677038155025,0.009601417382470376,0.15451877343936826
5,interaction,Interaction,0.0693088773125386,0.02169352007795324,184,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.04773558525644894,0.09088216936862825,0.033626212130972645,0.10499154249410456
6,base,MP shock only,0.020792087368077163,0.025362212349568067,180,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.004429564638590559,0.046013739374744886,-0.020925039602623274,0.0625092143387776
6,climate,MP shock + 1 SD climate shock,0.10115977418528414,0.029359493081823965,180,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.07196299484302209,0.1303565535275462,0.05286770550418936,0.14945184286637891
6,interaction,Interaction,0.08036768681720698,0.015094281729077796,180,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.06535705936033662,0.09537831427407734,0.055539802768906035,0.10519557086550792
7,base,MP shock only,-0.0032859878266690437,0.03196684839279198,176,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.03507567221225206,0.028503696558913973,-0.055866774347760745,0.04929479869442266
7,climate,MP shock + 1 SD climate shock,0.06975442604481376,0.03140035574780619,176,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.038528094735817205,0.10098075735381032,0.01810543700546826,0.12140341508415925
7,interaction,Interaction,0.0730404138714828,0.016559212114752725,176,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.05657297484422451,0.0895078528987411,0.04580293376507304,0.10027789397789257
8,base,MP shock only,-0.056120624395241195,0.04313537829778164,172,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.09901694138870507,-0.013224307401777331,-0.1270720078382711,0.01483075904778873
8,climate,MP shock + 1 SD climate shock,0.011101086625385975,0.0353497677055318,172,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.02405276853901367,0.04625494178978562,-0.04704410699695,0.06924628024772195
8,interaction,Interaction,0.06722171102062717,0.01691239054816032,172,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.05040305091608702,0.08404037112516732,0.03940330408706588,0.09504011795418846
9,base,MP shock only,-0.08309408730948223,0.05452801088416768,168,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.13731989758899,-0.02886827702997445,-0.17278468378275474,0.006596509163790287
9,climate,MP shock + 1 SD climate shock,-0.027067577195555498,0.05386717576735054,168,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.08063621478364263,0.02650106039253164,-0.11567119663011445,0.061536042239003455
9,interaction,Interaction,0.05602651011392673,0.012285642577526278,168,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.043808956002408334,0.06824406422544513,0.03581842636085321,0.07623459386700025
10,base,MP shock only,-0.030939638103203874,0.04861196118907389,164,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.07928218612596498,0.01740290991955723,-0.11089919877827623,0.049019922571868484
10,climate,MP shock + 1 SD climate shock,0.004325473861579075,0.06084556374815992,164,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.05618287666612014,0.06483382438927829,-0.09575657235348875,0.10440752007664689
10,interaction,Interaction,0.03526511196478295,0.017056005542369596,164,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.01830363279710426,0.05222659113246164,0.007210479387111918,0.06331974454245398
11,base,MP shock only,-0.07215268653057365,0.06764907380604024,160,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.1394268412688288,-0.004878531792318508,-0.1834255109403467,0.03912013787919942
11,climate,MP shock + 1 SD climate shock,-0.023971003942344173,0.06767699801387636,160,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.09127292812921434,0.043330920244525985,-0.13528975958665623,0.0873477517019679
11,interaction,Interaction,0.048181682588229476,0.010705250657734542,160,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.03753576167990896,0.05882760349654999,0.03057311221643019,0.06579025296002876
12,base,MP shock only,-0.11749128011478636,0.07368469773023727,156,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.19076760864454861,-0.0442149515850241,-0.23869182242719,0.0037092621976172607
12,climate,MP shock + 1 SD climate shock,-0.09176351100793714,0.07886487258495035,156,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,-0.17019130525837378,-0.013335716757500518,-0.22148468271835842,0.03795766070248413
12,interaction,Interaction,0.02572776910684922,0.016884933972522064,156,,household_unsecured_credit_rate,country_risk,land_precip_shock,household_unsecured_credit_rate__country_risk__land_precip_shock,0.00893641341039848,0.04251912480329996,-0.0020454757786898155,0.053501013992388255
