model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),0,-0.7902488652824333,0.578500386402769,-1.3655431349805554,-0.2149545955843113,-1.7417973240498557,0.161299593484989,196
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),0,0.8567500707179431,1.9175528183747277,-1.050175445985885,2.7636755874217713,-2.2973436374567444,4.010843778892631,196
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),1,-0.45929354378182935,1.0679380695486067,-1.521312975824247,0.6027258882605884,-2.215895350838408,1.2973082632747492,196
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),1,-1.092072487484329,3.6987507400619433,-4.770324318966837,2.5861793439981797,-7.1759760574646565,4.991831082495998,196
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),2,0.7327889238142261,1.4103265520809256,-0.669721433802681,2.1352992814311333,-1.5869918205620475,3.0525696681905,196
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),2,-5.9660407315089685,5.056873789649966,-10.994888736023157,-0.9371927269947804,-14.283857925450548,2.3517764624326105,196
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),3,1.1624012672823196,1.766489153614588,-0.594297797134232,2.9191003316988713,-1.7432148240110703,4.06801735857571,192
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),3,-8.058350936838568,5.773949787419597,-13.800300820195265,-2.3164010534818713,-17.55565318651137,1.4389513128342344,192
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),4,1.3039157332533853,2.140205530012328,-0.8244285277564825,3.4322599942632532,-2.2164090952089888,4.82424056171576,188
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),4,-8.887168253288626,6.735298795565491,-15.585139236311885,-2.1891972702653675,-19.9657489057764,2.19141239919915,188
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),5,1.0814299416496331,2.357830821323865,-1.2633335058908115,3.426193389190078,-2.796856636542893,4.959716519842159,184
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),5,-7.790060507908426,7.556334788166916,-15.304517206173117,-0.27560380964373543,-20.21912519068436,4.639004174867506,184
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),6,1.5305514303796195,2.010157479872956,-0.46846552197309244,3.5295683827323314,-1.7758633911330417,4.836966251892281,180
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),6,-9.6063218552871,6.543940393213012,-16.113994966572513,-3.0986487440016877,-20.37014594561776,1.1575022350435624,180
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),7,2.388401981086982,1.9176913120046557,0.4813387383010974,4.295465223872866,-0.7659195288372023,5.5427234910111665,176
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),7,-12.435873502284409,5.569471208902844,-17.974478051287598,-6.897268953281221,-21.596838420450048,-3.2749085841187675,176
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),8,3.2433093989468054,1.944970223914318,1.309118427166973,5.177500370726638,0.044118071828723515,6.442500726064887,172
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),8,-14.395049900152028,5.3292178155173735,-19.69473256813514,-9.095367232168915,-23.160833152820178,-5.6292666474838775,172
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),9,2.9978218477744942,1.4307053222254054,1.5750456615372896,4.420598034011698,0.6445210094132623,5.351122686135726,168
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),9,-12.16676475846508,3.747805234570741,-15.893799218718732,-8.439730298211428,-18.331355791656474,-6.0021737252736855,168
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),10,2.158567038311319,0.8641245020240104,1.2992316151988397,3.0179024614237986,0.7372087170194914,3.5799253596031466,164
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),10,-10.925816928891232,3.130652025520923,-14.039118515257096,-7.8125153425253675,-16.075281267792292,-5.776352589990171,164
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),11,1.902956250159305,0.8369683179680771,1.070626508359143,2.7352859919594668,0.5262658767060409,3.279646623612569,160
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),11,-9.716377649793452,2.6588200087043905,-12.360462167485359,-7.072293132101546,-14.089747384522013,-5.343007915064892,160
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock (purged),12,1.591524325452625,1.1729081584445538,0.42511656100640427,2.757932089898846,-0.3377379130458704,3.5207865639511207,156
household_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,household_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,Interaction (climate x MP),12,-7.7457685358210355,3.0882141959002922,-10.816867487974351,-4.67466958366772,-12.825428856750653,-2.666108214891418,156
