model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),0,0.010571458296084446,0.005750918893904967,0.004852411666340736,0.016290504925828155,0.0011120384951411148,0.020030878097027777,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),0,-0.005321194584783843,0.0032090085868460693,-0.008512418471260707,-0.0021299706983069796,-0.010599543997776018,-4.284517179166999e-5,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),1,0.018318450127662006,0.008578611886760745,0.009787381909875888,0.026849518345448124,0.00420788925151459,0.03242901100380942,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),1,-0.006093081372431673,0.0034025512350022036,-0.0094767752711046975,-0.00270938747375865,-0.011689780112213256,-4.963826326500904e-4,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),2,0.016039276531361453,0.005261935163246996,0.010806503627331878,0.02127204943539103,0.007384163393311148,0.02469438966941176,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),2,-0.008434895975444714,0.004732888678078211,-0.013141554431713779,-0.0037282375191756492,-0.016219805083539214,-6.499868673502133e-4,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),3,0.030109419114918382,0.009023688687961594,0.021135740763544297,0.03908309746629247,0.015266772048043789,0.044952066181792975,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),3,-0.008965937136105958,0.004835263581311965,-0.013774403121938665,-0.004157471150273251,-0.016919237975093305,-0.0010126362971186118,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),4,0.031063389795279842,0.007085039671207589,0.02401761624139362,0.038109163349166066,0.01940953659499898,0.042717242995560706,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),4,-0.012677871851161726,0.006398103399477228,-0.019040516214362976,-0.006315227487960476,-0.023201815433402384,-0.002153928268921069,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),5,0.03067718038800727,0.007874469328227841,0.02284635228845768,0.03850800848755686,0.017724830953153588,0.04362952982286095,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),5,-0.016876312777642972,0.00852510875448681,-0.025354174383762862,-0.008398451171523083,-0.030898868832616343,-0.0028537567226696,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),6,0.026061370400603346,0.008786438572351231,0.017323627296990413,0.03479911350421628,0.011608965046885114,0.04051377575432158,180
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),6,-0.025682745472266334,0.007152832865083723,-0.032795936502230644,-0.01856955444230202,-0.03744810855337698,-0.013917382391155687,180
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),7,0.019144302840381214,0.01073946640234669,0.00846435581510126,0.02982424986566117,0.0014794525769577897,0.03680915310380464,176
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),7,-0.029269315904070416,0.007020808357195688,-0.036251214121388584,-0.02228741768675225,-0.040817517994534945,-0.017721113813605888,176
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),8,0.014677557730183192,0.01212088336204673,0.002623849719329883,0.0267312657410365,-0.005259521229735116,0.0346146366901015,172
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),8,-0.028627153299290987,0.006457241495349462,-0.035048608008130394,-0.02220569859045158,-0.039248370393018095,-0.01800593620556388,172
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),9,0.011085742024676175,0.013171132667653825,-0.0020123946874736776,0.02418387873682603,-0.010578843314773231,0.03275032736412558,168
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),9,-0.028665872219804038,0.00681079509192871,-0.03543892108989884,-0.021892823349709236,-0.039868633229186254,-0.01746311121042182,168
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),10,0.01007917615607015,0.008177526274437711,0.0019469706873006844,0.018211381624839616,-0.003371657595929674,0.023530009908069974,164
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),10,-0.027485177197822817,0.0056228369653804205,-0.033076851744048584,-0.02189350265159705,-0.03673392097408561,-0.018236433421560026,164
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),11,-0.00254056410389012,0.009756189996116398,-0.012242684155620204,0.007161555947839964,-0.018588068604229843,0.0135069403964496,160
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),11,-0.02872001613602775,0.006907103695164987,-0.035588839855831784,-0.021851192416223714,-0.04008119070074979,-0.01735884157130571,160
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,MP shock (purged),12,-0.0047078447779193835,0.007451388249422374,-0.012117936563413987,0.0027022470075752196,-0.01696428776580535,0.007548598209966585,156
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,Interaction (climate x MP),12,-0.023080018366272905,0.005759736591944977,-0.028807833825344267,-0.017352202907201544,-0.03255394198981871,-0.013606094742727101,156
