model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,land_precip_shock,-0.019753627875573172,0.01245356615411303,-1.5861824341013482,0.11970085843090737
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,central_bank_information_land_precip_shock_resid,0.008968333464191923,0.0037256868354284445,2.4071624536206055,0.020241105114982484
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,"l(corporate_mortgage_rate, 1)",0.5175436883206733,0.049388019187400316,10.479134349504486,1.176112528348652e-13
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,"l(corporate_mortgage_rate, 2)",-0.562953519516843,0.05616819834824583,-10.022638006412475,4.844561334050255e-13
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,"l(land_precip_shock, 1)",0.021680292728036482,0.04688689527358727,0.4623955713324787,0.6460257451255393
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,"l(land_precip_shock, 2)",0.08227699701512187,0.037195050648892294,2.2120415372407125,0.032082960095222816
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,"l(central_bank_information_land_precip_shock_resid, 1)",-0.011853782215269691,0.0036144972553207705,-3.2795106422671,0.0020112716617727453
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,"l(central_bank_information_land_precip_shock_resid, 2)",-0.005683461330058837,0.0037066926577277366,-1.53329716134137,0.13220381611635493
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,as.numeric(date),2.2706592091453004e-5,1.5447376245621467e-5,1.469931963228328,0.14853776537603558
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,0,land_precip_shock:central_bank_information_land_precip_shock_resid,0.0022518630599750993,0.002075883244798698,1.0847734647973741,0.28379956640870063
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,1,land_precip_shock,-0.014894030488377692,0.020676519234790122,-0.7203354839008459,0.47504374627359247
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,1,central_bank_information_land_precip_shock_resid,0.004616806019207725,0.009316132928125725,0.4955710759846963,0.6226086507348914
corporate_mortgage_rate__central_bank_information__land_precip_shock,corporate_mortgage_rate,central_bank_information,land_precip_shock,1,"l(corporate_mortgage_rate, 1)",0.7329670436244217,0.13366594783794675,5.483573456667158,1.8114412385849057e-6
