model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,pop_temp_shock,0.4526360035130426,0.2502429535530057,1.8087862099068721,0.07716841385611192
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,central_bank_information_pop_temp_shock_resid,0.012280893630112609,0.003870164711303341,3.1732224714479447,0.00271731749603209
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(corporate_mortgage_rate, 1)",0.5338510368086151,0.03975052229907279,13.430038297158868,2.3785204950009405e-17
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(corporate_mortgage_rate, 2)",-0.5867282194952267,0.040448118958387895,-14.505698524542991,1.4037098621969447e-18
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(pop_temp_shock, 1)",-0.06969658686186589,0.15829468284774095,-0.4402964496849525,0.6618301716135332
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.7232964106707201,0.41365697665733103,-1.7485415488831246,0.0871897097817732
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(central_bank_information_pop_temp_shock_resid, 1)",-0.00850181292341299,0.0026495358587470858,-3.2087933044368504,0.002458363818225535
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(central_bank_information_pop_temp_shock_resid, 2)",-0.005900292297462927,0.0026839482769077188,-2.1983628925445924,0.03310762831079968
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,as.numeric(date),3.953360488259404e-5,1.7864346273882662e-5,2.2129891727631494,0.03201302418782454
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,0,pop_temp_shock:central_bank_information_pop_temp_shock_resid,-0.02488857231591266,0.024379932994519647,-1.0208630319659757,0.3127764407791566
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,pop_temp_shock,1.0105353970849285,0.5207042035466402,1.9407091208442941,0.05857360698364539
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,central_bank_information_pop_temp_shock_resid,0.005888560945702088,0.011620147601127484,0.5067544017367499,0.6148013621917483
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(corporate_mortgage_rate, 1)",0.7864201423554622,0.10509752054162039,7.482765894976814,1.9710701771090053e-9
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(corporate_mortgage_rate, 2)",-0.8905252338551767,0.11433014594456031,-7.789067585787918,7.001725106942351e-10
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.7336548460721345,0.4358149052563329,-1.6834092575163793,0.09922199008764922
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(pop_temp_shock, 2)",-1.8938654203719714,0.8525630070152588,-2.2213788362718345,0.031399730596154585
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(central_bank_information_pop_temp_shock_resid, 1)",-0.013517889315861004,0.005755410736881667,-2.3487271254570996,0.023289678181852857
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(central_bank_information_pop_temp_shock_resid, 2)",-0.021979002845473553,0.0060547710425180885,-3.6300303828388554,7.217490655720768e-4
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,as.numeric(date),7.733093365251686e-5,3.681059169477457e-5,2.100779424947259,0.04129430947921532
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,1,pop_temp_shock:central_bank_information_pop_temp_shock_resid,-0.036104962192437876,0.06594281416205748,-0.5475192809289012,0.5867275433601997
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,2,pop_temp_shock,0.7509706007617567,0.4783484532726084,1.5699237566757267,0.12343856116738236
corporate_mortgage_rate__central_bank_information__pop_temp_shock,corporate_mortgage_rate,central_bank_information,pop_temp_shock,2,central_bank_information_pop_temp_shock_resid,0.0035097884608094394,0.016012537836677866,0.21919001825994236,0.8274932095777565
