model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,pop_temp_shock,0.4943845338379406,0.29165031559311694,1.6951277177003277,0.09696126199678089
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,country_risk_pop_temp_shock_resid,-0.0017729906138696416,0.020026579685521788,-0.08853187322603194,0.9298467858688112
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,"l(corporate_mortgage_rate, 1)",0.5225549182520715,0.04796267391729267,10.89503306577883,3.314082215747638e-14
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,"l(corporate_mortgage_rate, 2)",-0.56107946470533,0.05185121980629216,-10.820950149320167,4.146115536151414e-14
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.05093342250121664,0.19313814564646925,0.26371498147470046,0.7932034648244797
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.8759183347739453,0.4298277281545374,-2.0378358058348054,0.04747078603884112
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,"l(country_risk_pop_temp_shock_resid, 1)",-0.021315872254652236,0.011183742444468377,-1.9059695232158482,0.06305368594956595
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,"l(country_risk_pop_temp_shock_resid, 2)",-0.007997098475498057,0.005152758969742007,-1.5520032127368193,0.1276668200448401
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,as.numeric(date),4.540710687230073e-5,1.7614066856018762e-5,2.5778888682249455,0.013285861418092461
corporate_mortgage_rate__country_risk__pop_temp_shock,corporate_mortgage_rate,country_risk,pop_temp_shock,0,pop_temp_shock:country_risk_pop_temp_shock_resid,-0.022250069176664517,0.08637693793232465,-0.2575927059847525,0.7978955964811814
