model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,land_temp_shock,0.5068555857743361,0.35272681682233653,1.4369635695423522,0.1576453156350584
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,forward_guidance_land_temp_shock_resid,2.6453671777732114e-4,0.005004667402467421,0.05285800164200686,0.9580790063768043
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,"l(corporate_mortgage_rate, 1)",0.4973172403558767,0.044083286764027514,11.281310375470767,1.0426370063188423e-14
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,"l(corporate_mortgage_rate, 2)",-0.5485506556155514,0.04650116784313533,-11.796492025017614,2.2980345720099308e-15
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,"l(land_temp_shock, 1)",0.039173598147649674,0.12408481049253384,0.3157001891863851,0.7536896524118177
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,"l(land_temp_shock, 2)",-0.8800410269775272,0.43466352172770534,-2.0246489134389067,0.04886206914277449
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,"l(forward_guidance_land_temp_shock_resid, 1)",-0.004204488696609161,0.0037439112596597598,-1.1230203936487688,0.26738477720027637
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,"l(forward_guidance_land_temp_shock_resid, 2)",-0.008489190460804681,0.0028100134836565125,-3.0210497245579675,0.0041441026791184995
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,as.numeric(date),2.047303617808301e-5,1.763736212102495e-5,1.1607765400290637,0.2518537231766163
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,0,land_temp_shock:forward_guidance_land_temp_shock_resid,-0.0064284761021962695,0.020979888650859875,-0.3064113546633525,0.7607047423079853
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,1,land_temp_shock,0.9927383288257883,0.6348718501723514,1.563683015015212,0.12489802663566471
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,1,forward_guidance_land_temp_shock_resid,-0.005822687961610501,0.00904162354743857,-0.6439869931612038,0.5228528312057468
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,1,"l(corporate_mortgage_rate, 1)",0.6870533595798194,0.09035129227125223,7.6042449677106,1.3064430311467403e-9
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,1,"l(corporate_mortgage_rate, 2)",-0.7923480569878945,0.09681981768226293,-8.183738370466381,1.8650871208263324e-10
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,1,"l(land_temp_shock, 1)",-0.5041682078274313,0.47448952855417853,-1.0625486496270782,0.2936558061405864
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,1,"l(land_temp_shock, 2)",-1.9121076571629525,0.7308577259499711,-2.6162515483811695,0.012059779756670348
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,1,"l(forward_guidance_land_temp_shock_resid, 1)",-0.018716717232936695,0.007656990998937801,-2.444395877640855,0.01849124443326146
corporate_mortgage_rate__forward_guidance__land_temp_shock,corporate_mortgage_rate,forward_guidance,land_temp_shock,1,"l(forward_guidance_land_temp_shock_resid, 2)",-0.01728755458091074,0.006763232747568531,-2.5561081846733487,0.014031656253384706
