model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,pop_temp_shock,0.05511308116869336,0.04419732916780203,1.2469776388398488,0.21845619333020685
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,romer_surprise_pop_temp_shock_resid,0.41541932848938323,0.14254461586294181,2.914310905217307,0.005400464565641974
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(corporate_mortgage_rate, 1)",0.3154612762972645,0.10744478442769748,2.936031543807015,0.0050906048287832455
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(corporate_mortgage_rate, 2)",-0.3726136553224908,0.10481419622827481,-3.554992250391117,8.6113823602636e-4
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(pop_temp_shock, 1)",-0.002630087925189455,0.04777084099397012,-0.05505634547069075,0.9563221020920485
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.12232253774985086,0.04675658997088401,-2.6161560932057455,0.011853263643178034
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.17544471798437627,0.13887879986155055,-1.2632937364038184,0.2125854558356531
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(romer_surprise_pop_temp_shock_resid, 2)",0.11848460944560613,0.0837867739341539,1.4141206765965288,0.16378020193039722
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,date,4.087304341697163e-5,2.5049510967672677e-5,1.6316902741023491,0.10928927691471427
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,0,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.006096504438345372,0.148635700510393,0.04101642080207432,0.9674529417689566
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,pop_temp_shock,0.13412920517175084,0.07563360526897166,1.7734075308819999,0.082505710040838
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,romer_surprise_pop_temp_shock_resid,0.34923753138248254,0.2710226832355062,1.2885915201385976,0.20371662309084673
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(corporate_mortgage_rate, 1)",0.45350293225246047,0.3107377137490612,1.4594396244373817,0.15095804811650201
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(corporate_mortgage_rate, 2)",-0.5906142788245425,0.3073703323187853,-1.9215071095800955,0.06061621250865592
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.0976626159523533,0.1299846124194794,-0.751339825033918,0.45611626545224737
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.37724237509218916,0.11389200755749936,-3.312281372349461,0.0017641066712656747
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.02565825653602042,0.13170360720493973,-0.19481817605871976,0.8463575590868887
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(romer_surprise_pop_temp_shock_resid, 2)",0.12377138940578668,0.1350012307779281,0.9168167482071767,0.36382227417045343
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,date,8.981832619738014e-5,5.539858945252377e-5,1.62131070637374,0.1115024686653378
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,1,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.16342355646982343,0.13075236718293087,1.2498707288502355,0.217406548516772
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,pop_temp_shock,0.06223683070917792,0.11337339576233214,0.548954455237865,0.5855814317861588
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,romer_surprise_pop_temp_shock_resid,0.2736267734258538,0.4502576298800217,0.6077115750348661,0.5462433868961307
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(corporate_mortgage_rate, 1)",0.682270101272159,0.46388790925498447,1.470765000898389,0.14788022746639112
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(corporate_mortgage_rate, 2)",-0.8963061770204855,0.4706501578236017,-1.904400034975487,0.06286071440222787
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(pop_temp_shock, 1)",-0.2977173011531158,0.1933558535957736,-1.5397377199426217,0.13019135691251166
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(pop_temp_shock, 2)",-0.4970787426476358,0.15863266457527875,-3.1335207283979543,0.002943081473238368
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.0530645431093032,0.1242868470078417,-0.4269522028019197,0.6713231824833967
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(romer_surprise_pop_temp_shock_resid, 2)",0.0944246635741268,0.18560100138420155,0.50875083038298885,0.6132574991244926
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,date,1.2661996284648648e-4,7.989660081620654e-5,1.5847978706598789,0.11957927443239046
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,2,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.31091482528592895,0.20218118627808235,1.537802952932985,0.1306633833370965
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,pop_temp_shock,-0.17199303448660286,0.173516588176378,-0.9912195502125338,0.3266542176801206
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,romer_surprise_pop_temp_shock_resid,0.06756030282942943,0.5143410967422665,0.13135311033347882,0.8960566462111597
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,"l(corporate_mortgage_rate, 1)",0.9743111146290842,0.510507465822856,1.9085149186969308,0.062442506134040725
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,"l(corporate_mortgage_rate, 2)",-1.28858016522423,0.5257168817885643,-2.451091471212214,0.018016719793816346
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,"l(pop_temp_shock, 1)",-0.3903746530612442,0.24974032557677525,-1.5631222236924454,0.12473281409575984
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,"l(pop_temp_shock, 2)",-0.5317754714367039,0.1442869462011025,-3.685541107062675,5.896626210425312e-4
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.24239983840736323,0.12622035870848747,-1.920449608031921,0.0608802462679862
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,"l(romer_surprise_pop_temp_shock_resid, 2)",0.14003889151656868,0.2476106956062916,0.565560753236745,0.5743826148186663
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,date,1.769536862063386e-4,1.0320837267458385e-4,1.714528401336913,0.09301965837273812
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,3,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.5025537232739047,0.2886279483607594,1.7411817744197005,0.08819460665337803
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,pop_temp_shock,-0.3492830479854236,0.24251964649061913,-1.4402257839301862,0.15657535869544534
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,romer_surprise_pop_temp_shock_resid,-0.1719905288036519,0.4768272398378586,-0.36069778409080816,0.7199765514638459
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,"l(corporate_mortgage_rate, 1)",1.1384008660028124,0.46362371189158147,2.455441421143334,0.017910194507142266
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,"l(corporate_mortgage_rate, 2)",-1.5957147737362665,0.4707761156878552,-3.3895406342030614,0.0014453652500772867
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,"l(pop_temp_shock, 1)",-0.40381032162437364,0.23194128401437544,-1.741002354713816,0.08836857358986176
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,"l(pop_temp_shock, 2)",-0.5125962934033123,0.1502791063977859,-3.4109618142556672,0.0013578364508052213
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.35679383269797194,0.1957307100591313,-1.8228812054591872,0.074824379422066
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,"l(romer_surprise_pop_temp_shock_resid, 2)",0.22750907334308873,0.3346720441675187,0.6797970649416119,0.5000398795726746
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,date,2.5211365604893386e-4,1.2953300702976415e-4,1.9463275178271982,0.05773837928249152
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,4,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.6390613882980178,0.2960547683203283,2.15859177652751,0.03613432910865948
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,pop_temp_shock,-0.43362832161065407,0.24851062768043783,-1.7449085604832193,0.08782725919066424
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,romer_surprise_pop_temp_shock_resid,-0.1610605322764148,0.390769555952989,-0.4121624364611222,0.6821772700780506
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,"l(corporate_mortgage_rate, 1)",0.9627929964696359,0.4887112629992617,1.9700650862042652,0.055003515110020176
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,"l(corporate_mortgage_rate, 2)",-1.5776957542940302,0.4878276564742942,-3.234125276325259,0.00228836716003528
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,"l(pop_temp_shock, 1)",-0.3759077112433086,0.2358488413119734,-1.5938501505973894,0.11797019879273046
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,"l(pop_temp_shock, 2)",-0.4945504753665937,0.14408413050104296,-3.4323729729764643,0.0012940133821415477
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.2802951916516121,0.1488104475978744,-1.8835719949518908,0.06609475661298353
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,"l(romer_surprise_pop_temp_shock_resid, 2)",0.22868747481993684,0.4109272416851174,0.556515732279375,0.5806155136040204
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,date,3.345917777623612e-4,1.6340908108810988e-4,2.0475715029689807,0.046465831095210464
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,5,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.5609577823437063,0.31143539521062075,1.8012011189811485,0.07837423686009012
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,pop_temp_shock,-0.4237833495861313,0.22906651783071103,-1.8500449284313278,0.07102969762410932
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,romer_surprise_pop_temp_shock_resid,-0.06381540219943671,0.3726902442972455,-0.1712290653590053,0.8648286960978809
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,"l(corporate_mortgage_rate, 1)",0.7600663827590742,0.521299955567151,1.4580211922944748,0.15193604083589762
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,"l(corporate_mortgage_rate, 2)",-1.533606177493424,0.5137750900871332,-2.9849757356537734,0.00461734899562729
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,"l(pop_temp_shock, 1)",-0.4088552342162923,0.23214801623160494,-1.7611834072637238,0.08515565103285029
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,"l(pop_temp_shock, 2)",-0.4426540597760913,0.13472870165196735,-3.285521602661622,0.0020031322788218635
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.21165340911259622,0.13598888032580975,-1.5564023220538707,0.126776820316185
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,"l(romer_surprise_pop_temp_shock_resid, 2)",0.13091061709053645,0.50630836072766106,0.2585590664598015,0.7971811791342189
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,date,3.9631873835877163e-4,1.878400761145442e-4,2.109873178059712,0.040591774563602294
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,6,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.4434201990431358,0.3033111255089144,1.4619318638547716,0.15086585932929714
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,7,pop_temp_shock,-0.4596055312421027,0.18792564744962165,-2.4456775191651894,0.01862636985897588
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,7,romer_surprise_pop_temp_shock_resid,-0.09409230386087723,0.30861497597845994,-0.30488573525169593,0.7619240483412362
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,7,"l(corporate_mortgage_rate, 1)",0.6253115847444578,0.5133665847883643,1.2180605502445059,0.2298424987294948
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,7,"l(corporate_mortgage_rate, 2)",-1.5442017291250647,0.5118385439490198,-3.0169703852527183,0.004276947923101796
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,7,"l(pop_temp_shock, 1)",-0.3950496857936324,0.1943625453793735,-2.032540194524313,0.04830395653275457
corporate_mortgage_rate__romer_surprise__pop_temp_shock,corporate_mortgage_rate,romer_surprise,pop_temp_shock,7,"l(pop_temp_shock, 2)",-0.371808777470424,0.1310889032539268,-2.836310078437447,0.006931981538571751
