model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,pop_temp_shock,0.01995540132292246,0.05255845372135098,0.3796801448672741,0.7059688557008525
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,target_pop_temp_shock_resid,-0.634566087118501,0.15462672822632942,-4.10385768616715,1.6859124778485172e-4
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,"l(corporate_mortgage_rate, 1)",0.4738055082464389,0.04849823518492902,9.769541230516271,1.0740034640212149e-12
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,"l(corporate_mortgage_rate, 2)",-0.5131040434558277,0.04639176285318811,-11.060240264626342,2.0162220547620813e-14
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.0027590841702148745,0.03562497440234874,0.07744803235656414,0.9386104728344131
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.17686295722242357,0.08946317060802257,-1.9769359393413166,0.05419552449201922
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 1)",0.9893541079998912,0.09010037145673641,10.98057746049305,2.561048436826828e-14
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 2)",0.002259814271058836,0.2292900968078864,0.009855699406644021,0.9921799815975028
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,date,3.4660129055313586e-5,2.0734671399539983e-5,1.6716025244597101,0.10154353608167332
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,0,pop_temp_shock:target_pop_temp_shock_resid,0.5982393512907227,0.2233271516434298,2.678757808391735,0.01028223246288027
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,pop_temp_shock,0.07061492615399548,0.08888223862075287,0.7944773584663943,0.4310877344027849
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,target_pop_temp_shock_resid,-0.645855003393863,0.3114611895320004,-2.073629155415224,0.043866631757233154
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,"l(corporate_mortgage_rate, 1)",0.5919904070405196,0.11500703641977232,5.147427718072588,5.621951331502289e-6
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,"l(corporate_mortgage_rate, 2)",-0.6834223215653392,0.1155262835132742,-5.915730176560321,4.1640712971454246e-7
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.1560626103789924,0.09663644822815702,-1.614945636355873,0.11331331411393694
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.3663292203344926,0.17618810429770027,-2.07919383544485,0.04332829828054404
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,"l(target_pop_temp_shock_resid, 1)",1.3600195814542766,0.21598042259203526,6.296957683165632,1.1301808907546958e-7
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,"l(target_pop_temp_shock_resid, 2)",0.7725580069013265,0.3906251031869208,1.9777479752284233,0.05410071133700003
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,date,9.603969717970997e-5,4.716709821255942e-5,2.0361586957693527,0.0476457975223099
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,1,pop_temp_shock:target_pop_temp_shock_resid,1.3541477407643414,0.3957513475595274,3.421713530768599,0.0013348355275017417
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,pop_temp_shock,0.00392175228715798,0.09656181962263873,0.04061390208349526,0.9677833634154709
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,target_pop_temp_shock_resid,0.27436759698862423,0.47726069051265685,0.5748799397115821,0.5682357428570182
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,"l(corporate_mortgage_rate, 1)",0.6704746950562986,0.15816193390842176,4.239166014778967,1.0994072169022117e-4
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,"l(corporate_mortgage_rate, 2)",-0.8353879306122214,0.1561005719080565,-5.3516007046038645,2.829791803279588e-6
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,"l(pop_temp_shock, 1)",-0.3792656687163618,0.13880127911055734,-2.732436409424375,0.008951558226703573
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,"l(pop_temp_shock, 2)",-0.4452713086136635,0.2439327502785103,-1.8253855134469432,0.07458401486695343
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,"l(target_pop_temp_shock_resid, 1)",2.1990601668615546,0.32534684884083376,6.759125452410265,2.321476740924097e-8
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,"l(target_pop_temp_shock_resid, 2)",1.2890748512653625,0.4417836451782438,2.9178872177245654,0.005483101247432558
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,date,1.3806031023942125e-4,7.113744440446812e-5,1.9407544282086935,0.058567947198418326
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,2,pop_temp_shock:target_pop_temp_shock_resid,0.4816752903375298,0.4704584769227804,1.0238423027003731,0.31138237306253785
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,pop_temp_shock,-0.24119102162237088,0.11144975777124286,-2.1641233363416505,0.035800419135679135
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,target_pop_temp_shock_resid,1.5169380188260184,0.605283507536716,2.5061611623938096,0.015888107639427784
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,"l(corporate_mortgage_rate, 1)",0.721830985615557,0.19049414378496843,3.789255518691255,4.463460454974041e-4
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,"l(corporate_mortgage_rate, 2)",-0.9781854800015412,0.18436960650995218,-5.305567975753852,3.3048393719960467e-6
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,"l(pop_temp_shock, 1)",-0.4993927589036209,0.1853368781373046,-2.694513708888804,0.009873900628285132
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,"l(pop_temp_shock, 2)",-0.38516117387902926,0.2541780260813189,-1.5153205012136064,0.13668466873220786
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,"l(target_pop_temp_shock_resid, 1)",2.8139828100750166,0.24688917078982447,11.397757143712658,7.385445144576348e-15
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,"l(target_pop_temp_shock_resid, 2)",1.3669423439104471,0.37696277792475197,3.6261997840627953,7.300623008000351e-4
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,date,1.8359578053724768e-4,9.168014758225999e-5,2.0025685535957107,0.05127090903468835
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,3,pop_temp_shock:target_pop_temp_shock_resid,-0.009947468886031294,0.43910375107544775,-0.022654028487955457,0.9820264036506648
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,pop_temp_shock,-0.5151667897888504,0.18153288460446732,-2.8378703446007645,0.006788839124024106
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,target_pop_temp_shock_resid,0.9762900337004261,1.000845820754013,0.9754649651880575,0.3345445498610179
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,"l(corporate_mortgage_rate, 1)",0.7247465929665133,0.23723430009576346,3.054982322008064,0.0037753521025902835
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,"l(corporate_mortgage_rate, 2)",-1.0928343953726058,0.23468700854140528,-4.656561103082106,2.8591966208353717e-5
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,"l(pop_temp_shock, 1)",-0.5377062472720815,0.16918113911163307,-3.1782871902598995,0.0026789352293919533
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,"l(pop_temp_shock, 2)",-0.28467032280483867,0.2507660407477091,-1.1352028446756075,0.2623007704320377
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,"l(target_pop_temp_shock_resid, 1)",3.3336263917679143,0.3132763867856101,10.641167136702432,7.161275025631674e-14
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,"l(target_pop_temp_shock_resid, 2)",0.9796577915388155,0.4994017653941118,1.961662652044694,0.05600570395346943
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,4,date,2.580045374874393e-4,1.0759302604044207e-4,2.3979671079281712,0.020695641714216253
