model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,land_temp_shock,0.03289629238312257,0.025364440242319947,1.2969453324751836,0.20126068342920864
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,forward_guidance_land_temp_shock_resid,6.455387031511904e-6,0.0010229637953283654,0.006310474584723462,0.9949928962729382
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(corporate_mortgages, 1)",0.24511289996429786,0.07305194600773682,3.3553233467365584,0.0016180700682684598
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(corporate_mortgages, 2)",-0.2661324699737759,0.07497081136753553,-3.5498144560433387,9.163361330998776e-4
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(land_temp_shock, 1)",0.0833577476154892,0.05808634276686988,1.435066207387963,0.15818249268981416
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(land_temp_shock, 2)",0.011730132444742164,0.041389751959258564,0.2834066861837819,0.778164893244972
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(forward_guidance_land_temp_shock_resid, 1)",0.0013494142485479383,0.0018867993589881513,0.7151869339576198,0.4781879139577292
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(forward_guidance_land_temp_shock_resid, 2)",-3.4376885318793327e-4,0.001153278422000011,-0.29807967150878506,0.7670143437253691
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,as.numeric(date),5.5129331216917984e-6,9.573298715164315e-6,0.5758655700316957,0.567575010426377
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,land_temp_shock:forward_guidance_land_temp_shock_resid,-9.906916978286162e-4,0.002317254983733922,-0.4275281334090647,0.6710336697911143
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,land_temp_shock,0.11169293357297622,0.041105562008428916,2.7172219066138297,0.009311613038618837
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,forward_guidance_land_temp_shock_resid,0.004902893817944366,0.0010903691229266698,4.496544990915061,4.8135952605482187e-5
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,"l(corporate_mortgages, 1)",0.27861054173136246,0.15130830181318192,1.841343392217558,0.07216876011979036
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,"l(corporate_mortgages, 2)",-0.31570569127215536,0.1592838752105445,-1.982031708199273,0.053602908128428196
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,"l(land_temp_shock, 1)",0.08562942790080438,0.046960042307441,1.823452954752472,0.07488109305057158
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,"l(land_temp_shock, 2)",0.004593191778244973,0.05376845465480734,0.08542540059470174,0.932302148953069
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,"l(forward_guidance_land_temp_shock_resid, 1)",0.0022407989546931097,0.0010591435653243227,2.115670649433582,0.039940300431328304
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,"l(forward_guidance_land_temp_shock_resid, 2)",-0.001998757094306234,0.0018961037705984593,-1.05413908526503,0.2974464702388856
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,as.numeric(date),1.1959984693670465e-5,2.032549172411528e-5,0.5884228955445384,0.5591904579508584
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,1,land_temp_shock:forward_guidance_land_temp_shock_resid,-0.02773594116609926,0.003934504368772554,-7.049411708939601,8.608373970350975e-9
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,land_temp_shock,0.206890489862434,0.04974948801958637,4.158645608191611,1.4187625206665467e-4
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,forward_guidance_land_temp_shock_resid,0.003356302611960457,0.0013576691597492767,2.472106394889512,0.017279010454487247
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,"l(corporate_mortgages, 1)",0.28859675146002073,0.18170519658295045,1.5882691133066913,0.11922785601672238
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,"l(corporate_mortgages, 2)",-0.3622137403658729,0.1965784278858514,-1.8425915003054258,0.07198267946771354
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,"l(land_temp_shock, 1)",0.09059011662211706,0.030941530819279858,2.9277839274089765,0.0053389693222439735
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,"l(land_temp_shock, 2)",0.021374175424445974,0.030264785920240903,0.7062391084072085,0.48368013008952504
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,"l(forward_guidance_land_temp_shock_resid, 1)",0.002020458849671417,7.718690091009431e-4,2.617618826314591,0.012018057411197833
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,"l(forward_guidance_land_temp_shock_resid, 2)",-0.0010072113830634204,0.002098719681749969,-0.47991706173145543,0.633610936334116
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,as.numeric(date),2.03199958379143e-5,2.6924298947179147e-5,0.7547084467372259,0.45435569374496887
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,2,land_temp_shock:forward_guidance_land_temp_shock_resid,-0.019020319773087463,0.004647165637978926,-4.0928861277601225,1.7450018482114056e-4
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,land_temp_shock,0.22999441096265882,0.0493416552875254,4.6612625705892405,2.8155509616642404e-5
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,forward_guidance_land_temp_shock_resid,0.0016495724712008524,0.001454482315186587,1.1341303046295468,0.26274557581220936
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,"l(corporate_mortgages, 1)",0.3633882780545561,0.21292319473137064,1.7066636564091389,0.09477749611966967
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,"l(corporate_mortgages, 2)",-0.4833723789201666,0.228924865697676,-2.111489188590463,0.04031652030503827
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,"l(land_temp_shock, 1)",0.13975083007501465,0.06648225657300084,2.1020771146894095,0.04117473689736424
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,"l(land_temp_shock, 2)",0.007309425170103809,0.03326423924080957,0.21973823351824584,0.8270687922197292
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,"l(forward_guidance_land_temp_shock_resid, 1)",0.002171574539490473,0.0011843067530093161,1.8336250586873,0.0733285528668586
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,"l(forward_guidance_land_temp_shock_resid, 2)",-0.0010003650521371724,0.0020217015287712077,-0.49481342220935814,0.6231391868329864
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,3,as.numeric(date),3.2957404020192955e-5,3.089756620493582e-5,1.0666666688759479,0.2918118508433146
