model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,land_precip_shock,0.001407876702144986,0.00663645671513737,0.21214282900899534,0.8328938928667013
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,miyajima_surprise_land_precip_shock_resid,0.011676250378953184,0.013996553774235818,0.83422323575438,0.4082877895788529
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,"l(corporate_mortgages, 1)",0.32730742941390895,0.06042729988926021,5.416548977262536,1.925393656875139e-6
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,"l(corporate_mortgages, 2)",-0.3569053684744756,0.05354339799211188,-6.665721300076167,2.3946986005141475e-8
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,"l(land_precip_shock, 1)",-5.442073711352035e-4,0.005585686689679981,-0.09742891095926876,0.9227914812247109
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,"l(land_precip_shock, 2)",-0.004238241666637292,0.006698098154771036,-0.6327529947614167,0.5298979687116199
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,"l(miyajima_surprise_land_precip_shock_resid, 1)",-0.004590424939336077,0.019841780230507033,-0.23135146574591275,0.8180251594380846
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,"l(miyajima_surprise_land_precip_shock_resid, 2)",0.007782731358909724,0.015523463029536548,0.5013527808905457,0.6184145474218956
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,as.numeric(date),1.0753164599659088e-5,6.697561994501518e-6,1.6055341642954688,0.11493616004751368
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,0,land_precip_shock:miyajima_surprise_land_precip_shock_resid,-0.016873400195767746,0.018225521488224136,-0.9258116540956032,0.3591754077928957
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,land_precip_shock,6.546171756357876e-4,0.004914497508370269,0.13320124275591907,0.8945911020016728
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,miyajima_surprise_land_precip_shock_resid,0.01653524329968528,0.025755442578447058,0.6420096742395908,0.5239213360906314
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,"l(corporate_mortgages, 1)",0.43433416527281826,0.13715259652134953,3.166795061041434,0.0026786047056282262
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,"l(corporate_mortgages, 2)",-0.4977830162876092,0.1200684809653279,-4.145825884408029,1.369862294679055e-4
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,"l(land_precip_shock, 1)",-0.003978392243531471,0.0053665962183892186,-0.7413250562617479,0.46210804539360595
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,"l(land_precip_shock, 2)",-0.008866139613401061,0.009989901653496565,-0.8875101998924908,0.3792298826486413
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,"l(miyajima_surprise_land_precip_shock_resid, 1)",-0.016819256416285483,0.02082137334638695,-0.8077880424349655,0.4231978337279819
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,"l(miyajima_surprise_land_precip_shock_resid, 2)",0.04168066800292648,0.015272196254015921,2.729186248635738,0.008847977169310047
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,as.numeric(date),2.368668886171451e-5,1.4022170899870307e-5,1.6892312203906736,0.09766167716643133
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,1,land_precip_shock:miyajima_surprise_land_precip_shock_resid,-0.005867233955615868,0.017166186569977492,-0.3417901775503982,0.7340007222535168
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,land_precip_shock,-0.6213797004696974,0.3641980748340194,-1.7061586631200252,0.09444185441064287
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,miyajima_surprise_land_precip_shock_resid,1.9456586006991756,3.90756297290557,0.4979212399621114,0.6208132331416916
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,"l(corporate_mortgages, 1)",-10.753375430304326,10.0777907487925,-1.0670369824450634,0.29129266942848575
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,"l(corporate_mortgages, 2)",11.994927531619412,10.39954562384505,1.1534088089499142,0.2544538208206194
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,"l(land_precip_shock, 1)",-0.021586071969316736,0.2641087648775552,-0.08173175161121353,0.935199891595021
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,"l(land_precip_shock, 2)",-1.6154725233826768,1.414599571055497,-1.141999867974864,0.25911899909132646
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,"l(miyajima_surprise_land_precip_shock_resid, 1)",-5.248597950641903,6.330869150772193,-0.8290485596281385,0.41118075684270716
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,"l(miyajima_surprise_land_precip_shock_resid, 2)",0.12673301426240938,1.066882608366152,0.11878815276264665,0.9059389426431367
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,as.numeric(date),-0.0012211366690899875,5.86178089153863e-4,-2.083217867888367,0.04258124307966313
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,2,land_precip_shock:miyajima_surprise_land_precip_shock_resid,-1.222084824440602,1.934927798440577,-0.6315919516095231,0.5306501183859148
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,3,land_precip_shock,-0.17266687016276597,0.3591805801029806,-0.48072440362243607,0.6329426471229578
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,3,miyajima_surprise_land_precip_shock_resid,-1.8788168418603506,1.6286126265598277,-1.1536302809029777,0.2544846943834243
corporate_mortgages__miyajima_surprise__land_precip_shock,corporate_mortgages,miyajima_surprise,land_precip_shock,3,"l(corporate_mortgages, 1)",-9.169747485940823,7.519242541051049,-1.2195041503022277,0.22873758625428417
