model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,pop_temp_shock,0.0010928029472959107,0.007906005917305696,0.13822440290663598,0.8906413221223358
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,romer_surprise_pop_temp_shock_resid,0.010608996818902315,0.037683431290773346,0.2815294800794823,0.7795144921986762
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,"l(corporate_mortgages, 1)",0.2790263619728016,0.09384251823093222,2.9733469138814033,0.0045966618344997455
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,"l(corporate_mortgages, 2)",-0.301156079233382,0.08997658163669303,-3.3470495739590156,0.00159430860109258
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.024118195516491383,0.015305390438878094,1.5757974690555676,0.12164120575862637
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,"l(pop_temp_shock, 2)",0.004182039941623663,0.011895693766407003,0.35155914600236166,0.7267075315460836
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.009608728588903229,0.031628849885200726,-0.30379633226560016,0.7625960946567103
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,"l(romer_surprise_pop_temp_shock_resid, 2)",0.001691872503329844,0.020844745714967226,0.08116541820488714,0.9356478936565678
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,date,7.813532499265864e-6,5.645109036934867e-6,1.3841242831880516,0.1727224597311231
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,0,pop_temp_shock:romer_surprise_pop_temp_shock_resid,-0.015967561890108825,0.025215194361591094,-0.6332515887496519,0.5295751399953224
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,1,pop_temp_shock,0.02590551836656887,0.020069657041927307,1.2907803213801774,0.20296252888034816
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,1,romer_surprise_pop_temp_shock_resid,0.002921570498320198,0.03589857025598835,0.08138403500437018,0.935474952786435
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,1,"l(corporate_mortgages, 1)",0.3583002221762798,0.15953958259422266,2.2458390347403028,0.02935404574747089
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,1,"l(corporate_mortgages, 2)",-0.4072199517354999,0.15006667365345555,-2.7135935102811746,0.009216020710989608
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,1,"l(pop_temp_shock, 1)",0.03700204430626895,0.01658800693256988,2.230650400417722,0.030413075490281945
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.002751611125137818,0.023231755470760236,-0.11844180817937018,0.9062118833576094
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,1,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.0031837462318309844,0.025880649969553898,-0.12301647120827168,0.9026077029577217
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,1,"l(romer_surprise_pop_temp_shock_resid, 2)",-0.008837138788488016,0.019393713363677685,-0.45567027947515276,0.6506818738849344
