model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,land_precip_shock,-2.91299563655976e-4,0.0046308178746962995,-0.06290456060638752,0.9501210902919843
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,target_land_precip_shock_resid,-7.709078748532747e-4,8.437854648346199e-4,-0.9136301903522016,0.3657805767619754
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,"l(corporate_mortgages, 1)",0.3034460553074238,0.04728960043824011,6.416760820462466,7.497680032303735e-8
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,"l(corporate_mortgages, 2)",-0.33344435167992087,0.049018850467271814,-6.802369874066103,2.0022147111181878e-8
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,"l(land_precip_shock, 1)",-0.003281125534503965,0.0055378811800363996,-0.5924875286837409,0.5564898662452087
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,"l(land_precip_shock, 2)",-0.005477324161283095,0.007432497483361391,-0.7369426190247349,0.46498228263072294
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,"l(target_land_precip_shock_resid, 1)",-2.0317874727817357e-4,2.7765443298285986e-4,-0.7317684255763933,0.46810387746733795
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,"l(target_land_precip_shock_resid, 2)",2.240831328406945e-4,3.154920360015989e-4,0.7102655765280834,0.48120429684095856
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,as.numeric(date),8.004250111196006e-6,8.43023464879647e-6,0.9494694328987295,0.34745349440642603
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,0,land_precip_shock:target_land_precip_shock_resid,0.0011412094998161293,4.461310450124844e-4,2.558014091541632,0.013964902676937499
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,1,land_precip_shock,-0.003035648083634092,0.003779085946309141,-0.8032757462419899,0.42603808206814
