model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,land_temp_shock,0.03913859387008949,0.022725692802443388,1.7222178531728392,0.09189770644254411
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,target_land_temp_shock_resid,-6.087254081590385e-4,8.079866355444996e-4,-0.7533854910221632,0.4551421104537886
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,"l(corporate_mortgages, 1)",0.24380100005898966,0.09938363067613291,2.4531303435017167,0.018101086409350306
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,"l(corporate_mortgages, 2)",-0.2618816579436835,0.10602844064190477,-2.4699189798343797,0.01737201672569224
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,"l(land_temp_shock, 1)",0.08045165875515967,0.06780086014427295,1.1865875828708836,0.2416172367232543
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,"l(land_temp_shock, 2)",-0.0021392062968608487,0.048826647105838665,-0.0438122710376532,0.9652478824772586
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 1)",3.1556090109277255e-4,1.8870504517750155e-4,1.6722441140667257,0.10141624221356516
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 2)",3.1287463511896213e-4,3.4135202615154876e-4,0.9165747121713476,0.3642517160256816
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,as.numeric(date),3.66371029932829e-6,9.69472331886408e-6,0.3779076698557668,0.7072759548608971
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,0,land_temp_shock:target_land_temp_shock_resid,-3.726291185211445e-4,0.0027575767939043943,-0.13512918999929166,0.8931123659957948
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,land_temp_shock,0.12945595872844584,0.09005085594856217,1.4375872096362106,0.1574690642640359
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,target_land_temp_shock_resid,-3.0000715971242626e-4,0.0011134679424504516,-0.26943493231802346,0.7888266535562966
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,"l(corporate_mortgages, 1)",0.3172792244604533,0.15967689443365082,1.9870077357515845,0.053029622156336234
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,"l(corporate_mortgages, 2)",-0.36624653648907163,0.1639852669452225,-2.2334112284087833,0.030538334558939437
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,"l(land_temp_shock, 1)",0.13903516123396475,0.041173325338460715,3.3768261390364214,0.0015205994727519063
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,"l(land_temp_shock, 2)",-0.0037246899139674037,0.08168168872514137,-0.04560006008814257,0.9638307837992557
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,"l(target_land_temp_shock_resid, 1)",0.001069827757307916,3.5091003287374785e-4,3.0487237670198617,0.0038409603011483823
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,"l(target_land_temp_shock_resid, 2)",-0.0011691382536634174,4.1048198784818696e-4,-2.8482084190642065,0.006605221691679155
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,as.numeric(date),1.0542609357504485e-5,1.7876432473122946e-5,0.5897490661716314,0.5583086116410356
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,1,land_temp_shock:target_land_temp_shock_resid,-7.164116701426892e-4,0.004185798156534289,-0.17115294224694672,0.8648708062679303
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,land_temp_shock,0.23387399092152533,0.09273303513428925,2.5220137633028616,0.015276012071483654
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,target_land_temp_shock_resid,0.0026714370760959035,0.0010572529812014108,2.5267718546040063,0.015096525353155019
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,"l(corporate_mortgages, 1)",0.36388788743616535,0.17147791294311757,2.1220685579306866,0.0393706174243752
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,"l(corporate_mortgages, 2)",-0.44850272704237676,0.17841363772678703,-2.513836569652761,0.015589016410836433
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,"l(land_temp_shock, 1)",0.16857323235441252,0.03505158962042576,4.809289227104814,1.7310429128768943e-5
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,"l(land_temp_shock, 2)",-0.008646819198641503,0.05372271346864187,-0.16095276355853994,0.87285102369056
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,"l(target_land_temp_shock_resid, 1)",-7.131285819370938e-4,5.513224955047534e-4,-1.293487183547992,0.2024430889225552
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,"l(target_land_temp_shock_resid, 2)",-6.178212051775803e-4,6.585567067421672e-4,-0.9381442764950303,0.35317850308487075
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,as.numeric(date),1.7631578156371978e-5,2.4372871409478643e-5,0.7234099692297655,0.4731717955177439
corporate_mortgages__target__land_temp_shock,corporate_mortgages,target,land_temp_shock,2,land_temp_shock:target_land_temp_shock_resid,-0.011294350952615292,0.004579185647566363,-2.466454042678472,0.01752027046479251
