model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,pop_temp_shock,-3.8752791602291847e-4,0.0020109797206797272,-0.19270602882655172,0.8480562862416807
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,forward_guidance_pop_temp_shock_resid,0.032506357159686305,0.01689363333656015,1.924177973564637,0.060670248483994445
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,"l(corporate_secured_credit, 1)",0.2990351870240379,0.10431505917191657,2.866654051657226,0.006289019189236554
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,"l(corporate_secured_credit, 2)",-0.34012843400204384,0.1072601530934686,-3.171060493505442,0.0027338593501262053
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.003383247158131337,0.0016859152671120409,2.0067717661320024,0.050804597770522895
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.007803630504850945,0.0015974449323295666,-4.885070118486556,1.3474436948630491e-5
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,"l(forward_guidance_pop_temp_shock_resid, 1)",-0.019256609568132875,0.01778644233504878,-1.0826566215654652,0.2847282478368401
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,"l(forward_guidance_pop_temp_shock_resid, 2)",-0.008116822233954843,0.012943910709416077,-0.6270765007711496,0.5337779407771011
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,date,7.681492696307379e-6,1.6048799218937322e-6,4.786334847558777,1.867150879180456e-5
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,0,pop_temp_shock:forward_guidance_pop_temp_shock_resid,-0.026581426146152304,0.01514494954944895,-1.7551346776932295,0.08604254825803428
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,pop_temp_shock,0.0024549906876113023,0.0038148996247215385,0.6435269414960033,0.5231484721017798
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,forward_guidance_pop_temp_shock_resid,0.04832241551578308,0.027158591477253247,1.7792681021862145,0.0819504742423515
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,"l(corporate_secured_credit, 1)",0.4852478293236795,0.184215459696255,2.634131956806361,0.011524498792372377
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,"l(corporate_secured_credit, 2)",-0.5802570163098578,0.19172052515222532,-3.026577440517316,0.004081814108619271
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.0035942254853814745,0.002174288425671209,-1.6530582801000409,0.10527996555098112
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.009291262106625706,0.0021325989964665784,-4.356778804651058,7.552633057135841e-5
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,"l(forward_guidance_pop_temp_shock_resid, 1)",-0.015458109290626382,0.028699024713834346,-0.5386283835343997,0.5927979736128899
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,"l(forward_guidance_pop_temp_shock_resid, 2)",-0.047781782860733195,0.012962963389083792,-3.6860231280889515,6.101343282237469e-4
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,date,1.7848417050201742e-5,3.579094337633093e-6,4.9868529204528205,9.61063095202452e-6
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,1,pop_temp_shock:forward_guidance_pop_temp_shock_resid,-0.07377575023951718,0.03158055841083472,-2.3361129109802583,0.023999534003836923
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,pop_temp_shock,-0.0029711689524728573,0.0049890685285033055,-0.5955358070345432,0.5544688749044242
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,forward_guidance_pop_temp_shock_resid,0.05384997469157163,0.04487390240631992,1.2000287874224984,0.23640793422122153
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,"l(corporate_secured_credit, 1)",0.6064070797183145,0.2584414448906095,2.3464002841146026,0.02341918549754869
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,"l(corporate_secured_credit, 2)",-0.7604778987597244,0.27044902592605075,-2.8119084406229766,0.007271056530631895
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,"l(pop_temp_shock, 1)",-0.003867351211086805,0.0027667537785375264,-1.3977937758997265,0.16902787407027914
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,"l(pop_temp_shock, 2)",-0.012713964119206826,0.003295079862237351,-3.8584691876251145,3.612342525988227e-4
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,"l(forward_guidance_pop_temp_shock_resid, 1)",-0.020034591460800232,0.02967819771146825,-0.6750609203286784,0.503091060498372
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,"l(forward_guidance_pop_temp_shock_resid, 2)",-0.054837441754032455,0.01830011921094569,-2.9965619962318613,0.004430909512906695
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,date,2.909217364562317e-5,5.3350143450730706e-6,5.4530638090017565,2.0085128305002374e-6
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,2,pop_temp_shock:forward_guidance_pop_temp_shock_resid,-0.12102703838779845,0.03570306710711259,-3.3898218891028566,0.0014644275203350775
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,pop_temp_shock,-0.0041492248295686126,0.005600309957664369,-0.7408919972170723,0.46260769261994483
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,forward_guidance_pop_temp_shock_resid,0.04680218696625857,0.05351401929444631,0.874578056055597,0.38644749084412944
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,"l(corporate_secured_credit, 1)",0.7072987443550972,0.24879558786481826,2.8428910272291654,0.006699081213733262
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,"l(corporate_secured_credit, 2)",-0.9257141619296003,0.267295571963131,-3.463260371770346,0.0011823410031470793
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,"l(pop_temp_shock, 1)",-0.006986993223683788,0.003001650038034014,-2.327717467110206,0.024482667450657726
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,"l(pop_temp_shock, 2)",-0.013862524292295552,0.00403523563920552,-3.4353692155199353,0.0012827548487598921
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,"l(forward_guidance_pop_temp_shock_resid, 1)",-0.022026070653581323,0.03901148431555086,-0.5646047834381229,0.5751464032440758
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,"l(forward_guidance_pop_temp_shock_resid, 2)",-0.10015155786939539,0.02212504600115387,-4.526614672989709,4.366509423601894e-5
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,date,4.087892301829736e-5,7.043488866825496e-6,5.803788973222514,6.100878543930121e-7
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,3,pop_temp_shock:forward_guidance_pop_temp_shock_resid,-0.10916893128876959,0.04264308097392213,-2.5600620029197834,0.013893498430792555
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,4,pop_temp_shock,-0.00694869553223913,0.005890742921467183,-1.1795957869620368,0.24435978459887733
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,4,forward_guidance_pop_temp_shock_resid,0.01972757249654844,0.05104669684483319,0.3864612935977896,0.7009764476210936
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,4,"l(corporate_secured_credit, 1)",0.6714479402031207,0.26414644012206223,2.5419533948397874,0.01453659944631144
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,4,"l(corporate_secured_credit, 2)",-0.9522879884479969,0.2854721886489983,-3.3358345447054405,0.001711519283083515
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,4,"l(pop_temp_shock, 1)",-0.0066368334702048525,0.003453608948401713,-1.9217095998307208,0.06098876323260692
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,4,"l(pop_temp_shock, 2)",-0.01624440214417984,0.005142864704892886,-3.158629105822097,0.002830834782902213
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,4,"l(forward_guidance_pop_temp_shock_resid, 1)",-0.08551761440829182,0.0428993609366792,-1.9934472808235653,0.05229559015632028
corporate_secured_credit__forward_guidance__pop_temp_shock,corporate_secured_credit,forward_guidance,pop_temp_shock,4,"l(forward_guidance_pop_temp_shock_resid, 2)",-0.10196379624426752,0.0268105215314362,-3.803126176591219,4.2787071044560605e-4
