model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,pop_temp_shock,0.1876459922142228,0.10095960325202791,1.8586245009877618,0.06962822215914087
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,central_bank_information_pop_temp_shock_resid,0.0030613877295871013,0.008784088594572118,0.34851512443519755,0.7290786734908212
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,"l(corporate_secured_credit_rate, 1)",0.2996941629751758,0.08468522993837624,3.538918925924359,9.463596769317148e-4
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,"l(corporate_secured_credit_rate, 2)",-0.5008019031107886,0.06025001381740949,-8.31206287567821,1.2166989067158994e-10
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.025095840601623252,0.038845561483878,0.6460413916796834,0.5215337054915306
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,"l(pop_temp_shock, 2)",0.055358973779691824,0.051946728561453374,1.065687393850062,0.2922496174499624
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,"l(central_bank_information_pop_temp_shock_resid, 1)",0.013238739476050258,0.007376897338666389,1.7946216231936318,0.079432997689175
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,"l(central_bank_information_pop_temp_shock_resid, 2)",-0.004346626321983299,0.005158508478666831,-0.8426130033436805,0.4039012645859471
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,date,4.601294564465467e-5,4.668437168179897e-5,0.9856177557294603,0.32959070157340087
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,0,pop_temp_shock:central_bank_information_pop_temp_shock_resid,0.005201889065835166,0.008238396866619462,0.6314200626716961,0.5309604215495247
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,1,pop_temp_shock,0.3489139424472111,0.1670101168120821,2.089178482761048,0.04237682322740554
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,1,central_bank_information_pop_temp_shock_resid,0.01023146300548986,0.014650674841507012,0.6983612097173144,0.48854476655207824
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,1,"l(corporate_secured_credit_rate, 1)",0.1917889512354042,0.13418697802076548,1.4292664911622408,0.15983338088130436
