model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,pop_precip_shock,-0.005019892602198157,0.0108886111718776,-0.46102230330009497,0.6470031521473506
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,country_risk_pop_precip_shock_resid,0.004323968908667271,0.009555587084949153,0.45250688107671405,0.6530779055045732
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,"l(corporate_secured_credit_rate, 1)",0.37378030303163434,0.06671546554328725,5.6026035340953,1.2098071799576014e-6
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,"l(corporate_secured_credit_rate, 2)",-0.5384318733057523,0.06612960702401573,-8.142069755687714,2.1432840727182997e-10
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,"l(pop_precip_shock, 1)",-0.01472096897671844,0.013235092181964905,-1.1122679596276857,0.2719298516500203
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,"l(pop_precip_shock, 2)",-0.014792599194113923,0.016965518981602513,-0.8719214077774505,0.38787971532478127
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,"l(country_risk_pop_precip_shock_resid, 1)",0.0038575602104687075,0.012695895333135886,0.30384310119512387,0.7626479552366399
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,"l(country_risk_pop_precip_shock_resid, 2)",-0.0054511988718507695,0.008036904572748015,-0.6782709465451412,0.5010730964379173
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,date,3.596016516586489e-5,4.4745850115684e-5,0.8036536365471888,0.42582200153061056
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,0,pop_precip_shock:country_risk_pop_precip_shock_resid,0.001526244906089844,0.0029224884983519088,0.5222415441328668,0.6040636989138148
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,pop_precip_shock,-0.03072158668905457,0.021631203030488586,-1.4202440172076116,0.16242835715217444
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,country_risk_pop_precip_shock_resid,0.005783259153302491,0.027634420166205993,0.20927738373084492,0.8351762371880433
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,"l(corporate_secured_credit_rate, 1)",0.297185649912907,0.10218997177338442,2.908168431359814,0.005628166883747199
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,"l(corporate_secured_credit_rate, 2)",-0.6503243417809296,0.09041335411137677,-7.192790801454172,5.2799879635228134e-9
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,"l(pop_precip_shock, 1)",-0.020062949405311187,0.025718684231113037,-0.7800923727287784,0.4394205535990018
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.04234392771560838,0.02465844828667993,1.7172178566678846,0.09281540542276218
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,"l(country_risk_pop_precip_shock_resid, 1)",-0.004586155625354201,0.020168595270421343,-0.22739092950514603,0.8211497333493681
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,"l(country_risk_pop_precip_shock_resid, 2)",0.0019392363926663693,0.019572285967503548,0.0990807305741466,0.9215142381722997
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,date,6.853067614419025e-5,9.437379836161676e-5,0.7261621057319093,0.47149967639091594
corporate_secured_credit_rate__country_risk__pop_precip_shock,corporate_secured_credit_rate,country_risk,pop_precip_shock,1,pop_precip_shock:country_risk_pop_precip_shock_resid,-0.002813339464484989,0.0055060607786782375,-0.5109532163864613,0.6118816313266412
