model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,pop_precip_shock,-0.032353873397949574,0.025083576310855775,-1.2898429233931579,0.20369478301523564
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,forward_guidance_pop_precip_shock_resid,0.00769445326037695,0.0024777527901821902,3.1054160410454723,0.0032837988129772824
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(corporate_secured_credit_rate, 1)",0.35024735689874514,0.06418107812167535,5.457174717986842,1.9807677167329075e-6
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(corporate_secured_credit_rate, 2)",-0.5292826649238899,0.05908063603387343,-8.958648729178028,1.449590205972702e-11
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(pop_precip_shock, 1)",-0.05346131099156937,0.022581584709833367,-2.3674738366917683,0.022269498534710476
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(pop_precip_shock, 2)",-0.06876052511521746,0.044258715502934705,-1.553604173412084,0.12728440549442782
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(forward_guidance_pop_precip_shock_resid, 1)",-0.003982544074725096,0.003227225088221363,-1.2340459577054217,0.22359200312519614
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(forward_guidance_pop_precip_shock_resid, 2)",-0.009931821439836027,0.003914684705658279,-2.537068036534485,0.014714682195775017
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,as.numeric(date),4.868232067232038e-5,4.411232730065243e-5,1.1035990085157072,0.2756338373368569
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,0,pop_precip_shock:forward_guidance_pop_precip_shock_resid,-4.7119087253901507e-4,0.001817831696318006,-0.25920489421182713,0.7966592702260447
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,pop_precip_shock,-0.06836988627884052,0.041438590476267044,-1.6499085874553994,0.10592565764314575
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,forward_guidance_pop_precip_shock_resid,0.009695955435235028,0.004639164311448563,2.0900219919581806,0.042297285026770624
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(corporate_secured_credit_rate, 1)",0.26692950599336995,0.10568317781197399,2.525752078237816,0.015134831400262937
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(corporate_secured_credit_rate, 2)",-0.6182789326034279,0.08752285324426153,-7.064199916768203,8.184786804509602e-9
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(pop_precip_shock, 1)",-0.11658566870041982,0.06144242456705336,-1.8974783225422287,0.06419223480297255
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(pop_precip_shock, 2)",-0.011934859988360315,0.05006651147395466,-0.2383800995315802,0.8126685058249774
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(forward_guidance_pop_precip_shock_resid, 1)",-0.02109587902563124,0.008752419503839062,-2.410291121943822,0.02008851588786331
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(forward_guidance_pop_precip_shock_resid, 2)",-0.02538536656933017,0.013341567956628952,-1.9027273744625406,0.06348635978445241
corporate_secured_credit_rate__forward_guidance__pop_precip_shock,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,1,as.numeric(date),6.76115634924392e-5,7.829426048793e-5,0.8635570867019343,0.3924107956172911
