model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,land_temp_shock,0.5946361189949991,0.1556582167243678,3.8201396078432057,3.830780365256669e-4
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,miyajima_surprise_land_temp_shock_resid,-0.7668647111007357,0.3492163622121642,-2.195958706639387,0.032959807690602104
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,"l(corporate_secured_credit_rate, 1)",0.2696386203865628,0.08457902275767729,3.1880082270409957,0.0025218620632315447
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,"l(corporate_secured_credit_rate, 2)",-0.4281194491669554,0.07413446864914162,-5.774904129860684,5.523595437454938e-7
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,"l(land_temp_shock, 1)",0.12837936727035473,0.13304976758237574,0.9648973433258393,0.339432577581548
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,"l(land_temp_shock, 2)",0.09235355649664057,0.2242517451642938,0.41182982290273584,0.6822974812404494
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,"l(miyajima_surprise_land_temp_shock_resid, 1)",0.15365964658981932,0.1617471423071096,0.9499991430950011,0.34687167872344693
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,"l(miyajima_surprise_land_temp_shock_resid, 2)",-0.2865655653081743,0.1788265134497223,-1.6024780653610584,0.11561112664915127
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,as.numeric(date),5.8107987929949054e-5,3.9055351984102575e-5,1.4878367490735156,0.14333447892797838
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,0,land_temp_shock:miyajima_surprise_land_temp_shock_resid,1.738746302130386,1.0086742093618937,1.7237937542096469,0.09118128123605164
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,land_temp_shock,1.013015421763227,0.2644164448103382,3.8311362309172834,3.702174065334561e-4
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,miyajima_surprise_land_temp_shock_resid,-1.0857182294758172,0.5274269221432121,-2.058518789795513,0.04499032546743199
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,"l(corporate_secured_credit_rate, 1)",0.07427105750436513,0.14475220656330026,0.5130910213233008,0.6102411711682504
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,"l(corporate_secured_credit_rate, 2)",-0.3879286509211004,0.1175809716684991,-3.2992468544553595,0.0018320754876841748
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,"l(land_temp_shock, 1)",0.5069054085211896,0.3554936896572896,1.4259195683891521,0.16036303863311535
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,"l(land_temp_shock, 2)",-0.6913212383987373,0.30375294521864926,-2.2759326264346385,0.02735196852944629
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,"l(miyajima_surprise_land_temp_shock_resid, 1)",-0.13496631953876934,0.3468353523038331,-0.38913657054352624,0.6988961512005816
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,"l(miyajima_surprise_land_temp_shock_resid, 2)",-0.591396518977845,0.32756841698860806,-1.805413734372359,0.07728374558237296
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,as.numeric(date),1.2816162133190008e-4,8.56335861980442e-5,1.4966279823374626,0.14103711845677538
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,1,land_temp_shock:miyajima_surprise_land_temp_shock_resid,1.816408243532327,1.5846255631820798,1.146269683978091,0.25736594017733316
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,land_temp_shock,1.3498638376006713,0.3483750099842122,3.874743592147568,3.231969194774823e-4
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,miyajima_surprise_land_temp_shock_resid,-0.8549303535439648,0.6652023040430098,-1.2852185693702705,0.20488280041874854
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,"l(corporate_secured_credit_rate, 1)",-0.09064744144273085,0.19687942035754602,-0.46042111094246985,0.6472931122751959
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,"l(corporate_secured_credit_rate, 2)",-0.3630258521611028,0.16985663467603537,-2.1372485852760224,0.03770030418269622
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,"l(land_temp_shock, 1)",-0.21681005631323716,0.4870647307272899,-0.4451360212214385,0.6582224845778082
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,"l(land_temp_shock, 2)",-0.8945489981052678,0.28981185361519063,-3.086654279134632,0.0033575046144321123
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,"l(miyajima_surprise_land_temp_shock_resid, 1)",-0.39964504590858907,0.4637906212468407,-0.8616928148184528,0.3931410179083853
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,"l(miyajima_surprise_land_temp_shock_resid, 2)",-0.8704141987750674,0.40141819172911136,-2.168347665126368,0.03511948447869173
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,as.numeric(date),1.9114538255060847e-4,1.2252577876897851e-4,1.560042176193891,0.1253195908021903
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,2,land_temp_shock:miyajima_surprise_land_temp_shock_resid,-0.08694047308731848,1.7252641695564497,-0.050392557048043324,0.9600186855471331
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,land_temp_shock,0.7811628581022698,0.5518683708035627,1.4154876405850851,0.1635180840565863
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,miyajima_surprise_land_temp_shock_resid,-0.9097401940051283,1.0674194427001713,-0.852279954451482,0.39838092812852355
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,"l(corporate_secured_credit_rate, 1)",-0.10879027295558015,0.2033790426909345,-0.5349138805855409,0.5952312383080915
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,"l(corporate_secured_credit_rate, 2)",-0.521510373437135,0.16774416801371464,-3.108962771179602,0.0031848657524604666
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,"l(land_temp_shock, 1)",-0.2503300083845327,0.41547936673556507,-0.6025088811302081,0.5497315535162468
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,"l(land_temp_shock, 2)",-0.8358514188580086,0.4755938427307481,-1.7574899920039884,0.08534635867622006
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,"l(miyajima_surprise_land_temp_shock_resid, 1)",-0.5072655006006517,0.47656030388934445,-1.06443087361812,0.29257170278834793
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,"l(miyajima_surprise_land_temp_shock_resid, 2)",-0.8308173791587555,0.4024934966786366,-2.0641759084671776,0.04454513857578609
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,3,as.numeric(date),2.234227155278184e-4,1.4505507413611652e-4,1.5402612894338559,0.13020303225307048
