model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,pop_precip_shock,8.484166477331597e-4,0.001873410086284064,0.4528728941648897,0.6528163047870812
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,country_risk_pop_precip_shock_resid,0.22375139129876573,0.09480301973194362,2.3601715634314684,0.02266200971771983
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,"l(corporate_unsecured_credit, 1)",0.040441377924455506,0.08486768487328308,0.47652269512051604,0.6360078410420315
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,"l(corporate_unsecured_credit, 2)",-0.09755586082176668,0.0793100054254215,-1.2300574221181022,0.22506755884900778
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,"l(pop_precip_shock, 1)",-6.3440409642018e-4,0.0013043837119568547,-0.4863630928574216,0.6290700626659007
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,"l(pop_precip_shock, 2)",3.9337322992836674e-4,0.0020520626887010176,0.19169649742882716,0.8488423372374028
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,"l(country_risk_pop_precip_shock_resid, 1)",-0.30619249010967503,0.05975874168434025,-5.1238108681581,6.084591545885605e-6
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,"l(country_risk_pop_precip_shock_resid, 2)",-0.09870172809768211,0.10089647851584962,-0.9782475022869828,0.33318195732260425
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,date,7.345229360795211e-6,3.7266295392217635e-6,1.9710114148692988,0.05489161706449064
corporate_unsecured_credit__country_risk__pop_precip_shock,corporate_unsecured_credit,country_risk,pop_precip_shock,0,pop_precip_shock:country_risk_pop_precip_shock_resid,-0.06811545665219067,0.03938336388839726,-1.7295489751767539,0.09056578635189033
