model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,land_precip_shock,0.003634292881513044,0.005510840891935492,0.6594806405736429,0.5127389920745485
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,miyajima_surprise_land_precip_shock_resid,-0.11043562639497229,0.02386681144131884,-4.627162981804234,2.8333293710840284e-5
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,"l(corporate_unsecured_credit, 1)",0.16109808523621091,0.09794858176759212,1.6447209579660584,0.10656165914145305
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,"l(corporate_unsecured_credit, 2)",-0.1996213448940738,0.09890136284757726,-2.018388211714757,0.04915745871843487
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,"l(land_precip_shock, 1)",-0.015395739272780018,0.007416058045619675,-2.076000373523718,0.04327330907838601
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,"l(land_precip_shock, 2)",0.005162644367300972,0.008531671749709525,0.605115212909679,0.5479527621402098
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,"l(miyajima_surprise_land_precip_shock_resid, 1)",0.03872570239458367,0.016011582411032507,2.41860556942207,0.01942201240883947
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,"l(miyajima_surprise_land_precip_shock_resid, 2)",0.010648554275635233,0.02977251754848843,0.3576638844294129,0.7221628213739513
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,as.numeric(date),2.0843322599871956e-5,8.283161171346958e-6,2.5163487910838924,0.015254688261607417
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,0,land_precip_shock:miyajima_surprise_land_precip_shock_resid,0.045430235290993534,0.02133542443165008,2.1293335614922175,0.03838315260691045
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,land_precip_shock,-0.0035192997294862236,0.006403827577397265,-0.5495619123019218,0.5851678814499526
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,miyajima_surprise_land_precip_shock_resid,-0.13303080517314647,0.06743879986152149,-1.9726152518477686,0.05431446623968319
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,"l(corporate_unsecured_credit, 1)",0.20914406405587446,0.09827110964455027,2.128235498839437,0.038478736639107156
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,"l(corporate_unsecured_credit, 2)",-0.30574143980792895,0.09900901478698791,-3.0880161818165117,0.0033447249450906298
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,"l(land_precip_shock, 1)",-0.01642874769991314,0.01803109751905194,-0.9111340938927465,0.3667778973023299
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,"l(land_precip_shock, 2)",0.01936003565619905,0.007792613789131568,2.484408464230664,0.016517516369570072
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,"l(miyajima_surprise_land_precip_shock_resid, 1)",0.06585812277422631,0.024961864180859678,2.6383495357980986,0.011198088182343632
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,"l(miyajima_surprise_land_precip_shock_resid, 2)",0.013117521094849632,0.04225659405600143,0.3104254232479164,0.7575813980640597
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,as.numeric(date),4.401116176797039e-5,1.689634479288436e-5,2.6047741276270013,0.012202703871359357
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,1,land_precip_shock:miyajima_surprise_land_precip_shock_resid,0.05663883119419657,0.027349790426295716,2.070905491829313,0.04376772681558275
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,2,land_precip_shock,-0.5661326368514157,0.3431429536908888,-1.64984485550999,0.10550446827047076
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,2,miyajima_surprise_land_precip_shock_resid,1.7757406402949902,3.8937983611521916,0.4560432964406357,0.6504155305577413
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,2,"l(corporate_unsecured_credit, 1)",-5.686537771370091,3.4551100151065866,-1.6458340679478094,0.10633126271988301
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,2,"l(corporate_unsecured_credit, 2)",3.7529315261825396,2.5607835287727005,1.4655403254570278,0.14929390236616363
corporate_unsecured_credit__miyajima_surprise__land_precip_shock,corporate_unsecured_credit,miyajima_surprise,land_precip_shock,2,"l(land_precip_shock, 1)",0.003151101950761064,0.2665083561300736,0.011823651597712452,0.9906153178300563
