model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,land_precip_shock,0.0016808859792214056,0.006029266361394181,0.2787878123919416,0.7816052727612095
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,romer_surprise_land_precip_shock_resid,0.01742201422619802,0.01766623505199924,0.9861758419333619,0.3289919864399209
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,"l(corporate_unsecured_credit, 1)",0.19246655169739588,0.09312705177011506,2.066709382924537,0.04417861333221044
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,"l(corporate_unsecured_credit, 2)",-0.23611187643165946,0.09299056947671852,-2.5390948540300458,0.014409522800518831
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,"l(land_precip_shock, 1)",-0.0116619162824176,0.006453335869595297,-1.8071144161831676,0.07701422096303194
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,"l(land_precip_shock, 2)",0.003365024888370823,0.0062335784392929285,0.5398223381869429,0.5918152837732669
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,"l(romer_surprise_land_precip_shock_resid, 1)",0.06404031783383987,0.035344587773430226,1.8118847005475966,0.0762624380154771
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,"l(romer_surprise_land_precip_shock_resid, 2)",-0.0629696580401876,0.013335167575692251,-4.722074745800016,2.0629121397200467e-5
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,as.numeric(date),2.1707151075458046e-5,7.313791982929694e-6,2.9679749063307086,0.004664902690901424
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,0,land_precip_shock:romer_surprise_land_precip_shock_resid,-0.03217439474109666,0.012201622614083132,-2.6368947605346293,0.01123999753598066
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,1,land_precip_shock,-0.001962150756052964,0.008358921268573563,-0.2347373175328163,0.8154111091780002
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,1,romer_surprise_land_precip_shock_resid,0.10878953052897436,0.04108139320152952,2.648146083928915,0.010919574747074943
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,1,"l(corporate_unsecured_credit, 1)",0.2286548096506318,0.12473618329941774,1.8331073117875265,0.07299224660615702
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,1,"l(corporate_unsecured_credit, 2)",-0.32965081786574274,0.1278394645728211,-2.5786310899164,0.013041240765352053
corporate_unsecured_credit__romer_surprise__land_precip_shock,corporate_unsecured_credit,romer_surprise,land_precip_shock,1,"l(land_precip_shock, 1)",-0.014154775197432159,0.012380109706321134,-1.1433481231757503,0.25856452633220006
