model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,pop_precip_shock,9.332289729376831e-4,0.005101799487246044,0.18292153097562072,0.8556300366206282
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,romer_surprise_pop_precip_shock_resid,0.013940149195633803,0.013438365374568356,1.0373396471281437,0.3047752601809788
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,"l(corporate_unsecured_credit, 1)",0.18328439241522834,0.08640492529418844,2.121226212408472,0.039093811191077923
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,"l(corporate_unsecured_credit, 2)",-0.22621258752027693,0.08580994961857022,-2.6362046420701084,0.011259928748619598
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,"l(pop_precip_shock, 1)",-0.006106152489352773,0.005445434418749621,-1.1213343178513324,0.2677242033260152
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.0040586860941070405,0.007092415040209819,0.572257273593928,0.5698183701410329
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,"l(romer_surprise_pop_precip_shock_resid, 1)",0.063862258234537,0.033794338364898716,1.8897324618394968,0.06484120881214302
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,"l(romer_surprise_pop_precip_shock_resid, 2)",-0.06022796335121502,0.014319318754964836,-4.206063457476467,1.1285075187070398e-4
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,as.numeric(date),1.9802251637258124e-5,6.895058081998402e-6,2.871948488578767,0.006055915712217315
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,0,pop_precip_shock:romer_surprise_pop_precip_shock_resid,-0.03349884591532824,0.018049827714607156,-1.855909454926192,0.06961135360337702
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,pop_precip_shock,-4.007711236603482e-4,0.00904597156469063,-0.04430382306580404,0.964846022893032
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,romer_surprise_pop_precip_shock_resid,0.0974650233099764,0.041367910953377544,2.3560537881601373,0.022601619571869073
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,"l(corporate_unsecured_credit, 1)",0.20461707722609015,0.10749695348874358,1.9034686154851486,0.06298492807152727
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,"l(corporate_unsecured_credit, 2)",-0.3055126918397195,0.11027213091741861,-2.7705340351907597,0.007936603127147342
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,"l(pop_precip_shock, 1)",-0.005775267840273861,0.01058982468194926,-0.5453600993147709,0.58803129111991
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.01224426039032158,0.01049745887031651,1.1664023209411636,0.2492144765852777
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,"l(romer_surprise_pop_precip_shock_resid, 1)",-0.03781376112671056,0.025223524241847546,-1.4991466205969328,0.14038434556122342
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,"l(romer_surprise_pop_precip_shock_resid, 2)",-0.006241805215236593,0.022218938231436596,-0.2809227493330594,0.7799770405567998
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,as.numeric(date),4.366797578011807e-5,1.6180677271375268e-5,2.698773051815929,0.00957884634651002
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,1,pop_precip_shock:romer_surprise_pop_precip_shock_resid,-0.08424168782629618,0.03741948854309811,-2.2512784408923796,0.028982815514786577
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,pop_precip_shock,-0.11848157370445397,0.3485066886402146,-0.33996929633327627,0.7353628975519338
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,romer_surprise_pop_precip_shock_resid,1.0092589521071373,0.5585261102424366,1.8070040658780544,0.07703168531396472
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,"l(corporate_unsecured_credit, 1)",-6.130051134425629,2.8277070910292816,-2.167852234014202,0.035159348314070894
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,"l(corporate_unsecured_credit, 2)",4.938474417231012,2.408538726129234,2.0504027457211125,0.045807412611952994
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,"l(pop_precip_shock, 1)",0.18168369939885537,0.2640032367214036,0.6881873936666235,0.4946473805702889
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,"l(pop_precip_shock, 2)",-1.1970497607243078,0.5698034040396468,-2.100811880444676,0.040934515948397913
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,"l(romer_surprise_pop_precip_shock_resid, 1)",1.4897977347502434,0.9685463075553958,1.5381791486154983,0.13057149553188735
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,"l(romer_surprise_pop_precip_shock_resid, 2)",1.1892833332880712,2.221459108722881,0.5353613436403929,0.594871877656612
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,as.numeric(date),-6.268679293550095e-4,5.058471682879517e-4,-1.2392437254846254,0.2212805725328784
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,2,pop_precip_shock:romer_surprise_pop_precip_shock_resid,3.8100260110403106,1.7492626049498783,2.1780754932158852,0.034344776692156506
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,pop_precip_shock,0.3199487007182593,0.6142113125782378,0.520909814205847,0.6048752945867693
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,romer_surprise_pop_precip_shock_resid,3.483229708466265,2.837146011685735,1.227723104175611,0.22566439583260275
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,"l(corporate_unsecured_credit, 1)",-9.43733848464389,4.4272838534896,-2.1316316723639366,0.038294969450477744
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,"l(corporate_unsecured_credit, 2)",7.376844650710738,3.7811560247289546,1.9509495515302184,0.05703888218378924
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,"l(pop_precip_shock, 1)",-1.0143913782783394,0.6858296003844849,-1.479072028547118,0.14579265166507982
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,"l(pop_precip_shock, 2)",-3.476140711130132,2.2538823623384867,-1.5422902140835366,0.12970990150750453
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,"l(romer_surprise_pop_precip_shock_resid, 1)",0.8268456717386992,1.776533475811108,0.4654264515680956,0.6437755871455699
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,"l(romer_surprise_pop_precip_shock_resid, 2)",1.5174770913315445,2.4860026839757277,0.610408468628331,0.5445317485902206
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,as.numeric(date),2.4936639518862054e-4,2.577615004455361e-4,0.9674307247497986,0.3382807981014534
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,3,pop_precip_shock:romer_surprise_pop_precip_shock_resid,2.9682728851201534,1.2011873168158236,2.471115739873629,0.017150285419779945
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,pop_precip_shock,-1.1760259107802118,0.596950236339175,-1.9700568643581502,0.05486931347070135
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,romer_surprise_pop_precip_shock_resid,1.4716226535542352,1.361870747808178,1.0805890764029509,0.28551290933039564
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,"l(corporate_unsecured_credit, 1)",-5.123250257511914,1.8826497435805785,-2.7212976152261303,0.009150594934747583
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,"l(corporate_unsecured_credit, 2)",3.2299942266558674,2.0178037625876724,1.600747449550623,0.11627916790493459
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,"l(pop_precip_shock, 1)",-2.698748976146827,2.0979880891887634,-1.2863509521592955,0.2047574346137751
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,"l(pop_precip_shock, 2)",0.2250107620075712,0.4657842552762026,0.4830793644455488,0.6313307318863708
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,"l(romer_surprise_pop_precip_shock_resid, 1)",2.911848098269229,2.4576101942411124,1.1848291096336299,0.24217046946746681
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,"l(romer_surprise_pop_precip_shock_resid, 2)",-1.0168070695718336,1.384193569199259,-0.7345844484453468,0.46632100060307335
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,as.numeric(date),1.0333668419437196e-4,4.628683069717345e-4,0.22325288346147734,0.8243271661935607
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,4,pop_precip_shock:romer_surprise_pop_precip_shock_resid,3.504058687946162,1.6246846179737024,2.1567623951018904,0.03628497386548822
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,pop_precip_shock,-2.6561844672067942,0.5597037245266375,-4.7456973230850465,2.1343962307019283e-5
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,romer_surprise_pop_precip_shock_resid,0.5812471175698263,1.0739440269597715,0.5412266402889533,0.5910208881191961
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,"l(corporate_unsecured_credit, 1)",-9.830767135143743,4.805771406375681,-2.04561688516885,0.046666096234183274
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,"l(corporate_unsecured_credit, 2)",8.105667886360395,4.311273730296297,1.8801097757723038,0.06657582072711338
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,"l(pop_precip_shock, 1)",0.8788501679729466,0.24581544275027217,3.5752439234087685,8.497705267440578e-4
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,"l(pop_precip_shock, 2)",-2.221808420726877,0.8224037354873079,-2.7016030264142277,0.009695088117361694
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,"l(romer_surprise_pop_precip_shock_resid, 1)",6.4783841067063745,2.0434547794374756,3.170309503247119,0.002739627582876918
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,"l(romer_surprise_pop_precip_shock_resid, 2)",-6.4363494964089005,1.2184742838461855,-5.282302287162095,3.5741727878439155e-6
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,as.numeric(date),-8.073788221369197e-4,5.061985924557884e-4,-1.5949843286208594,0.11771593744293736
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,5,pop_precip_shock:romer_surprise_pop_precip_shock_resid,17.192235936139912,3.6308353041639654,4.7350635586316105,2.210323588565549e-5
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,6,pop_precip_shock,2.329152789380835,1.6000005496410008,1.4557199932859006,0.15256856811208758
