model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,pop_precip_shock,-0.014524018340131185,0.029785144091237392,-0.4876262574269051,0.6280344539888603
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,miyajima_surprise_pop_precip_shock_resid,-0.3505524143164004,0.11596031279701338,-3.023037846836759,0.004008188878580018
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,"l(corporate_unsecured_credit_rate, 1)",0.2070457278062585,0.11964939836014633,1.7304368483579666,0.08997748296375006
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,"l(corporate_unsecured_credit_rate, 2)",-0.24401145253582257,0.1139684434613989,-2.141044004154266,0.0373766620022467
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,"l(pop_precip_shock, 1)",0.01412725612059554,0.016744931190321288,0.8436735845627849,0.4030368294794239
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.0063712044583805255,0.030495240876623142,0.20892454937991733,0.8353912517345774
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,"l(miyajima_surprise_pop_precip_shock_resid, 1)",-0.28698740203996626,0.23438002124360122,-1.2244533493820615,0.22675693492785268
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,"l(miyajima_surprise_pop_precip_shock_resid, 2)",-0.13484217952014732,0.08861643606079583,-1.5216384850733338,0.13466074113847104
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,as.numeric(date),5.939424602426074e-5,4.01382163957361e-5,1.479743031894417,0.14547564806762156
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,0,pop_precip_shock:miyajima_surprise_pop_precip_shock_resid,0.10417862945669146,0.11191651574368679,0.9308601931039671,0.356584208625057
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,pop_precip_shock,-0.003028191565629581,0.014012128198211998,-0.2161121795913907,0.8298161059052536
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,miyajima_surprise_pop_precip_shock_resid,-0.7329908415250447,0.3312550811933084,-2.212768597796385,0.03170316222050921
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,"l(corporate_unsecured_credit_rate, 1)",0.35934979331617106,0.1398397586855269,2.5697254964825893,0.013338678524406039
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,"l(corporate_unsecured_credit_rate, 2)",-0.4670496619032055,0.1279404056429207,-3.6505250984331914,6.451256916767492e-4
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.016767119763034223,0.02994240543460972,0.5599790504357243,0.5780978824391743
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.044687927776509255,0.050416853667549846,0.8863688335488508,0.3798382090295189
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,"l(miyajima_surprise_pop_precip_shock_resid, 1)",-0.2859970539380704,0.25274086089987075,-1.1315821783616338,0.2634319494601218
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,"l(miyajima_surprise_pop_precip_shock_resid, 2)",-0.4583490467015598,0.08143786434574844,-5.628205631174419,9.222959085734243e-7
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,as.numeric(date),1.1793352541167777e-4,6.98465701620705e-5,1.6884655200395282,0.09780943714658981
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,1,pop_precip_shock:miyajima_surprise_pop_precip_shock_resid,0.15802460770964205,0.07168758726433037,2.2043510423494252,0.03232703207587463
