model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,pop_temp_shock,0.059295008267303204,0.10688360882645048,0.5547624085521097,0.5818042700888723
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,target_pop_temp_shock_resid,0.007636367890526632,0.005121111363717698,1.4911544288275291,0.14289819011842292
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,"l(corporate_unsecured_credit_rate, 1)",0.28755181784817885,0.08786378341481567,3.272700157818285,0.0020507207777047715
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,"l(corporate_unsecured_credit_rate, 2)",-0.32303013706369516,0.09067248918247503,-3.5626036075132883,8.822576234946945e-4
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,"l(pop_temp_shock, 1)",-0.06871828011409341,0.08726264330319665,-0.7874879503171787,0.43512461739107133
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.02204294861652546,0.06807690053542799,-0.3237948326547866,0.7475935009577623
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 1)",0.005322612129696383,0.0010814927052242873,4.9215423312472035,1.1939952538459701e-5
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 2)",0.0013366682160465678,0.00217170694892529,0.6154919827963174,0.541330414711592
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,date,3.945655370290139e-5,3.139943754356603e-5,1.2566006524211233,0.21538231157866955
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,0,pop_temp_shock:target_pop_temp_shock_resid,-0.003656803822687302,0.005192738658170913,-0.7042148783923919,0.4849275017842496
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,pop_temp_shock,0.10535311416628938,0.14493220713828547,0.7269130598816305,0.47104400372076727
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,target_pop_temp_shock_resid,0.018523054741095044,0.008738713397559508,2.119654678944848,0.039584711314937335
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,"l(corporate_unsecured_credit_rate, 1)",0.45040717080513115,0.12001318433355271,3.752980752125652,4.983715965040633e-4
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,"l(corporate_unsecured_credit_rate, 2)",-0.5561043639404958,0.12266571036237038,-4.533494831584894,4.270079916934171e-5
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.10705375422818214,0.1325814926895532,-0.8074562448836985,0.42365132330640276
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.14382271440816374,0.1546019327478311,-0.9302775964822563,0.3571912969308675
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,"l(target_pop_temp_shock_resid, 1)",0.002590966057208302,0.00295562829748223,0.8766210755985224,0.385348351873109
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,"l(target_pop_temp_shock_resid, 2)",0.012699044942727108,0.00543802908201111,2.3352293176833663,0.024049976871991393
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,date,1.0357324677062675e-4,5.6169249484454075e-5,1.843949273334917,0.07178071026452622
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,1,pop_temp_shock:target_pop_temp_shock_resid,-0.011597242726892795,0.008250544906094871,-1.405633550133839,0.1667000360667412
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,2,pop_temp_shock,0.13253680175188473,0.15600015508133627,0.8495940384340126,0.40004834844472703
corporate_unsecured_credit_rate__target__pop_temp_shock,corporate_unsecured_credit_rate,target,pop_temp_shock,2,target_pop_temp_shock_resid,0.01598283948036201,0.009344268248651215,1.710443135305863,0.09407095520474444
