model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,pop_temp_shock,0.06782170498767064,0.04175725683290005,1.624189665022122,0.11132037539593298
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,central_bank_information_pop_temp_shock_resid,0.8102846281702049,0.5839245375303587,1.3876529861156546,0.1720762349179304
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(household_mortgage_rate, 1)",0.5217269871362933,0.07062776237533218,7.386995843981522,2.7277391224806288e-9
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(household_mortgage_rate, 2)",-0.593539354842672,0.08000127898054334,-7.419123324103648,2.4459149469584765e-9
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.032829597725243555,0.03584543092245798,0.9158656174691169,0.364619515721311
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.19076568945178435,0.12686962746870445,-1.50363560812726,0.13966163083664723
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(central_bank_information_pop_temp_shock_resid, 1)",-0.761820838759404,0.37214886279328663,-2.0470863004694015,0.04651547381451674
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,"l(central_bank_information_pop_temp_shock_resid, 2)",-0.11142537595799613,0.36463146789082856,-0.30558354330339127,0.761330917971301
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,date,1.5450148448679713e-5,2.5185400683482924e-5,0.6134565275672672,0.5426630967015557
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,0,pop_temp_shock:central_bank_information_pop_temp_shock_resid,-0.30225475234978444,0.9293676586296556,-0.32522624339591977,0.7465171751426191
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,pop_temp_shock,0.14351684637652593,0.06718377424391155,2.1361831482626474,0.03813898034815212
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,central_bank_information_pop_temp_shock_resid,0.49543110741569923,0.8714552342072704,0.5685101058190029,0.5725150043041036
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(household_mortgage_rate, 1)",0.7956141034735248,0.14422969075448697,5.516299031853629,1.6213496795119272e-6
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(household_mortgage_rate, 2)",-0.9144401449238431,0.176966258861684,-5.16731353652317,5.259499860651179e-6
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.16312254672301282,0.14175929026879855,-1.1507009269989013,0.255933335114222
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.4449829453979539,0.22098839688800415,-2.0136032102331107,0.0500545383299014
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(central_bank_information_pop_temp_shock_resid, 1)",-1.3172993066317538,0.5677348241817354,-2.320272159683617,0.02491839073263626
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,"l(central_bank_information_pop_temp_shock_resid, 2)",-2.0602087325327836,0.7313532864101608,-2.816981574862806,0.0071744002202812395
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,date,1.5529202442766452e-5,5.3052639307002275e-5,0.29271309864345985,0.7710869618681371
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,1,pop_temp_shock:central_bank_information_pop_temp_shock_resid,-1.0037333047133195,1.9366170349950986,-0.5182920972890542,0.6067936855556422
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,pop_temp_shock,0.002148184650281625,0.13329287511214583,0.016116275145796444,0.9872128732956504
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,central_bank_information_pop_temp_shock_resid,0.5897781869952688,1.0672070234142843,0.5526370929497902,0.5832468122084051
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,"l(household_mortgage_rate, 1)",1.0277936757108028,0.164311873779897,6.255139400866293,1.3042019259405338e-7
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,"l(household_mortgage_rate, 2)",-1.1938938764453255,0.22273913539873827,-5.360054371711853,2.750217869536669e-6
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,"l(pop_temp_shock, 1)",-0.437477900652777,0.2204523165853816,-1.9844559015252667,0.05332295312413085
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,"l(pop_temp_shock, 2)",-0.5523597535782212,0.2704467985274765,-2.0423970872855546,0.04699762547455769
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,"l(central_bank_information_pop_temp_shock_resid, 1)",-3.2739378617234842,0.8249514846382502,-3.968642911357557,2.571391427076116e-4
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,"l(central_bank_information_pop_temp_shock_resid, 2)",-3.711624884974554,1.098131440501668,-3.3799459227566997,0.0015069306088698422
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,date,8.535522661656766e-6,7.674803782007624e-5,0.1112148649541629,0.9119405389302568
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,2,pop_temp_shock:central_bank_information_pop_temp_shock_resid,-2.0963734008964328,2.6990413758848013,-0.776710360806973,0.44139345227179483
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,pop_temp_shock,-0.26610544357849175,0.23201086873110044,-1.1469524899150598,0.2574631240167196
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,central_bank_information_pop_temp_shock_resid,-1.0038140992005065,1.232455479535902,-0.8144830510052229,0.41965779741313436
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,"l(household_mortgage_rate, 1)",1.1608273213785463,0.1727041654122777,6.721478422986675,2.6406855387770598e-8
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,"l(household_mortgage_rate, 2)",-1.4280897727021042,0.24497872376497887,-5.82944408703895,5.589859939139008e-7
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,"l(pop_temp_shock, 1)",-0.5357816735223199,0.28283737336395137,-1.8943100310611467,0.06462152869865251
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,"l(pop_temp_shock, 2)",-0.5512431662273626,0.2434913378608572,-2.2639128400632047,0.028448025906624243
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,"l(central_bank_information_pop_temp_shock_resid, 1)",-5.275196297471031,0.8596870907637539,-6.136181820276605,1.959767077999106e-7
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,"l(central_bank_information_pop_temp_shock_resid, 2)",-3.9410827181086967,1.2072535661058268,-3.2645028590151415,0.0020991757526508752
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,date,1.0319784900890755e-5,9.558581752154903e-5,0.10796355744474587,0.9145045498800373
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,3,pop_temp_shock:central_bank_information_pop_temp_shock_resid,-1.5024296527044603,2.841444589075587,-0.5287555697833435,0.5995734930763925
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,4,pop_temp_shock,-0.4353655304354169,0.3240762600145719,-1.3434045752559627,0.18587680201356718
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,4,central_bank_information_pop_temp_shock_resid,-3.02509133485648,1.4085859631547037,-2.1476086046473237,0.03716692361258766
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,4,"l(household_mortgage_rate, 1)",1.1139006186487173,0.1628889763074976,6.838403947888557,1.770053210410673e-8
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,4,"l(household_mortgage_rate, 2)",-1.566562962900819,0.23102555421666002,-6.780907714787549,2.154751467380043e-8
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,4,"l(pop_temp_shock, 1)",-0.45507327015817933,0.25062580330880824,-1.8157478765163755,0.0760754862808467
