model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,pop_temp_shock,0.6188226967931474,0.446673742650974,1.3854020008440227,0.1727586217187337
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,forward_guidance_pop_temp_shock_resid,-0.002422118785454721,0.008845427592746674,-0.27382721299317164,0.7854704154081236
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,"l(household_mortgage_rate, 1)",0.48673509643523455,0.06110215960307099,7.965922965687963,3.8642197715396876e-10
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,"l(household_mortgage_rate, 2)",-0.5664534123147085,0.06804302272243538,-8.32493016404363,1.1657840349612757e-10
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.022903589175189153,0.21640644887086466,0.10583598268301292,0.9161828745373247
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.6768238938042975,0.49983286240825575,-1.354100429778221,0.18246569719130426
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,"l(forward_guidance_pop_temp_shock_resid, 1)",0.0028083377372186114,0.003827094360540592,0.7338041534000543,0.4668742918664993
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,"l(forward_guidance_pop_temp_shock_resid, 2)",-0.012188750841520607,0.003378685040598128,-3.607542785154912,7.718830450838313e-4
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,as.numeric(date),2.8018029071831917e-6,2.114699165392069e-5,0.1324917961398889,0.8951859836944304
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,0,pop_temp_shock:forward_guidance_pop_temp_shock_resid,-0.001323724436959078,0.03291849338469819,-0.040212181690380676,0.9681018483301888
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,1,pop_temp_shock,1.1510783122309225,0.6922650192791125,1.6627711644733882,0.10330911052767866
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,1,forward_guidance_pop_temp_shock_resid,-0.008025817656331985,0.016435009005779055,-0.48833667529539293,0.6276826659913981
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,1,"l(household_mortgage_rate, 1)",0.7147453398115998,0.11178550522281047,6.393899981817606,8.108442404350495e-8
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,1,"l(household_mortgage_rate, 2)",-0.8532461832659475,0.13829212425027845,-6.169882687764336,1.7462732932078148e-7
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.25699973030103745,0.5568075255765946,-0.46155936925404306,0.6466208268398197
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,1,"l(pop_temp_shock, 2)",-1.9499621561138016,1.045234035775054,-1.8655746841116596,0.06862806810431177
