model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,land_precip_shock,0.004590770615670053,0.013173671436871271,0.3484807282213769,0.7290030589012384
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,romer_surprise_land_precip_shock_resid,0.5905924339512614,0.35433037712832915,1.6667846509173678,0.10207030600723402
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,"l(household_mortgage_rate, 1)",0.23523088322557012,0.14556750663883483,1.6159573565356014,0.11265812207856817
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,"l(household_mortgage_rate, 2)",-0.30501543668758474,0.1617121815221139,-1.8861624017228062,0.06533121513610128
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,"l(land_precip_shock, 1)",-0.003928499711474651,0.04730415914781007,-0.08304765970365038,0.9341590151295088
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,"l(land_precip_shock, 2)",0.009619379923035272,0.029036215126789396,0.3312890430461179,0.7418682095278201
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,"l(romer_surprise_land_precip_shock_resid, 1)",-0.33401791303621736,0.21324126897299886,-1.5663849434253345,0.12382812986674178
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,"l(romer_surprise_land_precip_shock_resid, 2)",0.24089061251827526,0.1319893580143803,1.8250760223565154,0.07421560061096162
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,as.numeric(date),1.4721760976215723e-5,2.3943615626881332e-5,0.6148512073376129,0.5415569414858479
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,0,land_precip_shock:romer_surprise_land_precip_shock_resid,-0.005144382647051867,0.09421960885727608,-0.05459991512854379,0.956683833674312
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,land_precip_shock,-0.016611376377748076,0.04370248227908178,-0.38010143844161276,0.7055468876004587
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,romer_surprise_land_precip_shock_resid,0.32564167325514354,0.40847705049395583,0.7972092259806454,0.4292555198542891
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,"l(household_mortgage_rate, 1)",0.5894931733803581,0.2798950069952281,2.1061225053950614,0.04044852245623653
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,"l(household_mortgage_rate, 2)",-0.8191052317119553,0.3013864819181207,-2.71779021573531,0.009115601800760657
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,"l(land_precip_shock, 1)",0.024762871423500553,0.07868912872300733,0.31469240828257283,0.7543591025585609
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,"l(land_precip_shock, 2)",0.049732673443689715,0.05257266585168921,0.9459796766629394,0.3488969178102992
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,"l(romer_surprise_land_precip_shock_resid, 1)",-0.2794923101614285,0.16059332913274973,-1.7403731006186094,0.0882015803873052
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,"l(romer_surprise_land_precip_shock_resid, 2)",0.4261905345148401,0.20204361392558737,2.109398689887848,0.04015123049247061
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,as.numeric(date),3.627679489210221e-5,6.179635355703805e-5,0.5870377911314576,0.5599295330166849
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,1,land_precip_shock:romer_surprise_land_precip_shock_resid,0.10171304332175768,0.12184171282054453,0.8347965648805881,0.407968033993784
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,2,land_precip_shock,0.013748537907980462,0.06754574439683758,0.20354410230800793,0.8395702486761256
household_mortgage_rate__romer_surprise__land_precip_shock,household_mortgage_rate,romer_surprise,land_precip_shock,2,romer_surprise_land_precip_shock_resid,0.1387751251426612,0.5021211764542713,0.27637775829854805,0.7834445127943219
