model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,land_temp_shock,9.23633967902483e-4,0.01113497974016337,0.08294886829214218,0.9342600840675502
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,central_bank_information_land_temp_shock_resid,-1.083736164978049e-4,4.377411939963039e-4,-0.24757463538768518,0.805589706147102
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,"l(household_mortgages, 1)",0.17826207663693822,0.1304840663491274,1.3661597283454856,0.1786775325678651
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,"l(household_mortgages, 2)",-0.22978551398912916,0.11906438120078813,-1.9299265798192224,0.05993397618875388
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,"l(land_temp_shock, 1)",-0.03195296660888338,0.03188534528369386,-1.0021207650281931,0.32164370116077295
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,"l(land_temp_shock, 2)",-0.02649832968250446,0.012915790518206653,-2.0516227516350067,0.04605313012806666
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,"l(central_bank_information_land_temp_shock_resid, 1)",-0.0013782750948550262,6.704041460188258e-4,-2.0558868900794693,0.04562219196590381
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,"l(central_bank_information_land_temp_shock_resid, 2)",-9.013795223901e-6,2.5348849658340895e-4,-0.03555899121810863,0.9717912789415581
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,as.numeric(date),2.434164890636725e-5,6.553494358735069e-6,3.7143007339164913,5.602694070011907e-4
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,0,land_temp_shock:central_bank_information_land_temp_shock_resid,0.0017390105027846466,0.0010640298181008262,1.6343625650346765,0.1091603218704784
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,1,land_temp_shock,-0.004931246081516657,0.020917365112356666,-0.23574891268707582,0.8146971790178603
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,1,central_bank_information_land_temp_shock_resid,-0.003689779353109988,0.001182100104847112,-3.121376385959469,0.003141233637167547
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,1,"l(household_mortgages, 1)",0.23570195866564897,0.23856452106582612,0.9880008880306753,0.3284350528762877
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,1,"l(household_mortgages, 2)",-0.3451613943294165,0.21779377872071887,-1.5848083281204446,0.12001316558542989
household_mortgages__central_bank_information__land_temp_shock,household_mortgages,central_bank_information,land_temp_shock,1,"l(land_temp_shock, 1)",-0.04831219433427091,0.0389958117230774,-1.2389072620760488,0.22180325242306845
