model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,land_precip_shock,-0.00116669561963035,7.401579675369737e-4,-1.5762792144395434,0.12153011937589393
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,romer_surprise_land_precip_shock_resid,0.022539981180607186,0.015845461168047425,1.422488177627758,0.16135104825363011
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,"l(household_mortgages, 1)",0.2172627365376186,0.11840784581439215,1.83486774075921,0.07272637793601551
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,"l(household_mortgages, 2)",-0.26941441374672365,0.09671856386985017,-2.785550187751573,0.00762766546409637
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,"l(land_precip_shock, 1)",0.0050181710610183285,0.0036641514156171523,1.369531575477516,0.1772067235066533
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,"l(land_precip_shock, 2)",0.0016224772081435332,0.0016407014043969073,0.9888924357567226,0.32767466787676724
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,"l(romer_surprise_land_precip_shock_resid, 1)",-0.013569920476150922,0.015256654360040839,-0.8894427412403277,0.3782012856223067
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,"l(romer_surprise_land_precip_shock_resid, 2)",0.0032083576802340434,0.009151875394435703,0.35056833074723787,0.7274460917989478
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,as.numeric(date),2.2678521822525127e-5,1.072701630790352e-5,2.114150027516589,0.03972347488663278
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,0,land_precip_shock:romer_surprise_land_precip_shock_resid,-0.002524093486479449,0.005486496632992471,-0.460055597464706,0.6475535660949949
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,land_precip_shock,0.00254877261160331,0.003916410304183572,0.650793051198101,0.5182834290213387
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,romer_surprise_land_precip_shock_resid,0.020171732365271894,0.014692343660864497,1.3729417736805776,0.17615085791074409
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,"l(household_mortgages, 1)",0.4131232419946932,0.2376220294225794,1.738572989207192,0.08852113451381578
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,"l(household_mortgages, 2)",-0.5198478705485118,0.19291264275564043,-2.6947319943514296,0.009680031531467025
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,"l(land_precip_shock, 1)",0.0095212704578704,0.004685107992405137,2.0322414068800536,0.047682648527339624
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,"l(land_precip_shock, 2)",0.0017437315840115328,0.0019357734219427076,0.9007932252017155,0.3721958099114302
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,"l(romer_surprise_land_precip_shock_resid, 1)",-0.01285519956017815,0.0121907718427851,-1.0545025143577171,0.29693205545622475
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,"l(romer_surprise_land_precip_shock_resid, 2)",0.004484129536644854,0.010943497902719378,0.4097528574963752,0.6838102277966529
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,as.numeric(date),4.4413603895163656e-5,2.1127851442633154e-5,2.1021353740467426,0.04081292346628563
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,1,land_precip_shock:romer_surprise_land_precip_shock_resid,0.0038761146174623386,0.006685199366813536,0.5798053887074825,0.5647576070625326
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,land_precip_shock,-0.5282242371196574,0.33716046568137925,-1.5666849790711694,0.12375793384922235
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,romer_surprise_land_precip_shock_resid,0.898455095737801,1.0317380927129889,0.8708170242849947,0.3881885856492633
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,"l(household_mortgages, 1)",17.741815298899297,9.143601116019152,1.9403531577746196,0.05822320088827049
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,"l(household_mortgages, 2)",-20.534364120388354,9.403764950572832,-2.1836322184060437,0.03390904023275253
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,"l(land_precip_shock, 1)",0.16020525698829768,0.24401662696825094,0.65653418366914,0.514615847339434
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,"l(land_precip_shock, 2)",-1.7814672506246598,1.3568844377012286,-1.3129100762941464,0.19545575640168703
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,"l(romer_surprise_land_precip_shock_resid, 1)",1.238030742732276,1.4206120493801846,0.8714770111040737,0.3878318849645168
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,"l(romer_surprise_land_precip_shock_resid, 2)",1.5954208140485404,2.2995598925264895,0.6937939817239016,0.4911555056528958
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,as.numeric(date),3.272843626736057e-5,5.648102184812919e-4,0.057945899695942965,0.954032282138868
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,2,land_precip_shock:romer_surprise_land_precip_shock_resid,3.267180550286846,1.7278651434739418,1.8908770528920151,0.06468477223354954
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,land_precip_shock,-0.0767608507223699,0.35002852769101744,-0.21929884180791523,0.8273668791350697
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,romer_surprise_land_precip_shock_resid,2.694824951532985,2.5196817242002547,1.0695100598026208,0.29030200669239165
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,"l(household_mortgages, 1)",26.204483542280098,18.564091056260345,1.4115683586589172,0.1646633121513666
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,"l(household_mortgages, 2)",-30.570485352709508,19.734334887605797,-1.5491013772097981,0.12806538376803187
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,"l(land_precip_shock, 1)",-1.2304012809002391,1.109364294631189,-1.1091048151223302,0.27302795784843353
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,"l(land_precip_shock, 2)",-2.5802592000743974,2.2605044980656253,-1.1414528050187005,0.25946401328874874
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,"l(romer_surprise_land_precip_shock_resid, 1)",0.8220132383405473,1.4847449303602749,0.5536393635916204,0.5824501092847438
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,"l(romer_surprise_land_precip_shock_resid, 2)",2.200192055272031,2.7328613002189406,0.8050873474975714,0.4248234737828823
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,as.numeric(date),7.808186770354907e-4,8.673361262682323e-4,0.9002492267847895,0.37257738987952616
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,3,land_precip_shock:romer_surprise_land_precip_shock_resid,1.2437900648252689,0.6158763163850204,2.0195452101907145,0.04915311674417841
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,land_precip_shock,-1.6056109489856665,1.0146886686486651,-1.5823680687436625,0.12041768318925125
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,romer_surprise_land_precip_shock_resid,0.20632102265640215,0.8772999762442558,0.23517728056903392,0.8151149585688523
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,"l(household_mortgages, 1)",13.879780641973387,7.6850687048408535,1.806071119862658,0.07745256867421106
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,"l(household_mortgages, 2)",-18.95181580946732,8.94535876601859,-2.1186199799454677,0.03955425612504301
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,"l(land_precip_shock, 1)",-1.7590638853588696,1.8235751588903621,-0.9646237374878767,0.3397773239879688
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,"l(land_precip_shock, 2)",0.32237835214251104,0.49948828544663976,0.645417243077567,0.5218633193874473
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,"l(romer_surprise_land_precip_shock_resid, 1)",4.289138413729709,3.4921881290371375,1.228209436389186,0.22561566047156656
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,"l(romer_surprise_land_precip_shock_resid, 2)",-1.716535273868699,1.626886567558154,-1.0551044603220872,0.29688787079234236
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,as.numeric(date),8.284490565874677e-4,8.552126754202033e-4,0.9687053061747646,0.3377582023503257
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,4,land_precip_shock:romer_surprise_land_precip_shock_resid,4.783664741799435,2.30876467206379,2.071958567142899,0.04390262665873456
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,land_precip_shock,-2.7933502244303607,1.7291743877409746,-1.6154242419005784,0.11320942214932872
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,romer_surprise_land_precip_shock_resid,0.14048650132975354,1.243541116861555,0.11297294429983377,0.9105544942815174
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,"l(household_mortgages, 1)",29.646080562272925,18.783005172836354,1.5783459723019486,0.12149078563716562
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,"l(household_mortgages, 2)",-34.37435545302784,19.836519831917446,-1.7328823676882403,0.08996550394630658
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,"l(land_precip_shock, 1)",1.2232579265972248,0.4830116060176392,2.5325642517843607,0.014880613680192464
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,"l(land_precip_shock, 2)",-1.4557588208728576,1.0771966554996295,-1.3514327336986038,0.1833119516644293
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,"l(romer_surprise_land_precip_shock_resid, 1)",4.708143111946897,3.1818839612378604,1.479671530861003,0.1459281612875189
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,"l(romer_surprise_land_precip_shock_resid, 2)",-3.9157918861697394,2.102273226919851,-1.8626465085639548,0.06904794490850603
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,as.numeric(date),-2.411943738458041e-5,9.917018801749809e-4,-0.024321258098577627,0.9807038892139268
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,5,land_precip_shock:romer_surprise_land_precip_shock_resid,9.926621030148553,5.445128791151214,1.8230277759968019,0.07494658656418719
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,land_precip_shock,1.6649129023603622,1.243105852191703,1.3393170818277276,0.1873451261314778
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,romer_surprise_land_precip_shock_resid,2.923373461404369,3.2067961972661387,0.9116181015483948,0.36693748568543494
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,"l(household_mortgages, 1)",11.106917865011111,11.075936266436353,1.0027971990655673,0.32144190809315426
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,"l(household_mortgages, 2)",-19.29202938651129,13.106719058662028,-1.47191904397779,0.14815976132103328
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,"l(land_precip_shock, 1)",-0.32642709005750536,0.6357304459685388,-0.5134677631495089,0.6101930116506612
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,"l(land_precip_shock, 2)",-0.1280568163968094,0.6757662190169939,-0.18949869465669325,0.8505734556682505
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,"l(romer_surprise_land_precip_shock_resid, 1)",-2.558517150181472,2.599698114330914,-0.9841593283764638,0.3304181876269402
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,"l(romer_surprise_land_precip_shock_resid, 2)",3.637135817499243,3.241308068153623,1.122119755673548,0.26789783925384086
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,as.numeric(date),0.0012851747939926655,4.4411676126296194e-4,2.893776830980068,0.005900908304989357
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,6,land_precip_shock:romer_surprise_land_precip_shock_resid,-2.942565155811665,2.266138955587515,-1.2984928168488155,0.200882694592617
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,land_precip_shock,-0.014364585667731541,0.541974425100618,-0.02650417621655255,0.9789778270333547
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,romer_surprise_land_precip_shock_resid,-1.5356232859905368,1.810123756608146,-0.8483526501348312,0.40093956563357025
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,"l(household_mortgages, 1)",14.795678642787243,14.525614018489271,1.018592303496032,0.314093573332203
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,"l(household_mortgages, 2)",-25.755530931276347,16.477280636275943,-1.5630935407250184,0.12536115224754496
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,"l(land_precip_shock, 1)",0.0014250978274488325,0.4676396211784607,0.0030474274695919882,0.9975826028199666
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,"l(land_precip_shock, 2)",2.794148514443708,2.318191402598031,1.2053139836996483,0.2346734089383706
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,"l(romer_surprise_land_precip_shock_resid, 1)",0.09970328889909177,1.5216612304278725,0.06552265833247026,0.9480615538974253
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,"l(romer_surprise_land_precip_shock_resid, 2)",3.4804979153997673,2.0858072273285284,1.6686575201187401,0.10245183042563416
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,as.numeric(date),0.0017637931033124537,5.566158354440429e-4,3.1687799573746935,0.0028177893216099602
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,7,land_precip_shock:romer_surprise_land_precip_shock_resid,-0.9509981525506298,0.9472051350613031,-1.0040044308766138,0.32099313377368566
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,8,land_precip_shock,-0.26829457182060057,0.7471924555734646,-0.35907023661619614,0.7213414624821355
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,8,romer_surprise_land_precip_shock_resid,-2.3758672102337863,2.9282503121440207,-0.8113606956278995,0.4217329739019764
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,8,"l(household_mortgages, 1)",16.978342175937133,15.20385491976587,1.116712982696535,0.27046501951766644
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,8,"l(household_mortgages, 2)",-32.68032218777248,19.385232750504528,-1.6858359457624739,0.09924390675441666
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,8,"l(land_precip_shock, 1)",2.8654325002068277,2.201921582090058,1.3013326739306343,0.20023817962322657
household_mortgages__romer_surprise__land_precip_shock,household_mortgages,romer_surprise,land_precip_shock,8,"l(land_precip_shock, 2)",1.03818292002588,0.9158657198359821,1.133553639513665,0.26341099834508674
