model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,land_temp_shock,-0.004481895223896757,0.014801883864235978,-0.30279221651818417,0.7634435310186511
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,target_land_temp_shock_resid,8.42225075617262e-4,4.0168664490451906e-4,2.0967216269225455,0.041670169095107554
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,"l(household_mortgages, 1)",0.08403003653291558,0.1578302456753873,0.5324076901314712,0.5970628903005891
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,"l(household_mortgages, 2)",-0.1468498084849876,0.14334019391530825,-1.0244845111047707,0.3110824250360941
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,"l(land_temp_shock, 1)",-0.029056827119218098,0.02737447432877241,-1.061456989830757,0.29414597843220536
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,"l(land_temp_shock, 2)",-0.015389373295384085,0.015586610119054108,-0.9873457524013571,0.3287524757738335
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 1)",3.0873211533511834e-4,1.6952559611344492e-4,1.8211533975584298,0.07523588796952295
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 2)",9.299788852074823e-5,1.4985139435732547e-4,0.6206007552988915,0.5379929844701359
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,as.numeric(date),2.9835704272721675e-5,8.001862417551552e-6,3.728595008991787,5.365786667005276e-4
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,0,land_temp_shock:target_land_temp_shock_resid,-0.001549627677086981,9.57024794928453e-4,-1.6192137187029003,0.11238956786855055
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,1,land_temp_shock,-0.027954362667947652,0.046175304242999086,-0.605396393726761,0.547956885115904
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,1,target_land_temp_shock_resid,0.001402454204221734,5.714518512434727e-4,2.454194874283826,0.018054047949470367
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,1,"l(household_mortgages, 1)",0.14514075851085453,0.25610477654033775,0.5667241371735765,0.5737176533045583
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,1,"l(household_mortgages, 2)",-0.2854638590868863,0.22508769633162254,-1.2682339538732998,0.21123664059743563
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,1,"l(land_temp_shock, 1)",-0.06297413654068003,0.027669832414077753,-2.2759131894358813,0.027661182862456342
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,1,"l(land_temp_shock, 2)",-0.027139397384911938,0.034042237487311326,-0.7972271915154723,0.42950568237129505
household_mortgages__target__land_temp_shock,household_mortgages,target,land_temp_shock,1,"l(target_land_temp_shock_resid, 1)",2.891299880423706e-4,2.6485776077028023e-4,1.0916424997383498,0.2808006579828475
