model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,pop_precip_shock,-0.0013465207374554772,9.50283784074208e-4,-1.416966973468135,0.1633789689917005
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,target_pop_precip_shock_resid,5.395967157887731e-4,4.744484770677539e-4,1.137313621752264,0.2614269565851315
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,"l(household_mortgages, 1)",0.18438385607094737,0.12330439359156604,1.4953551183399123,0.14180230815393796
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,"l(household_mortgages, 2)",-0.2511212062594683,0.10863005863552819,-2.3117101234569106,0.02542803731915492
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,"l(pop_precip_shock, 1)",0.005278555868041513,0.0015587420106857486,3.3864204800121347,0.001478935606987063
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.0025985192481916557,0.001304114501635547,1.9925545225766135,0.05239682690132031
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,"l(target_pop_precip_shock_resid, 1)",5.072507760790764e-4,1.4472967788428236e-4,3.5048152078708097,0.00104654041602126
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,"l(target_pop_precip_shock_resid, 2)",7.548991337940437e-5,8.176087536009305e-5,0.9233011883364756,0.36077469580655575
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,as.numeric(date),3.0793697925432584e-5,8.570008040577965e-6,3.5931935862403046,8.056010779916203e-4
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,0,pop_precip_shock:target_pop_precip_shock_resid,-4.078608729173827e-4,1.4357830695313476e-4,-2.840685905639716,0.006738366953624885
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,pop_precip_shock,0.0022675424553183026,0.0023191640045428304,0.9777413114711119,0.33342956020254455
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,target_pop_precip_shock_resid,0.0010777938399665662,6.546116851780709e-4,1.646462879246311,0.10663574770746753
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,"l(household_mortgages, 1)",0.23048863838198594,0.22160564173014743,1.0400847044438313,0.3038567494422216
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,"l(household_mortgages, 2)",-0.3737638468948538,0.18653117332048075,-2.0037607668541657,0.05113826818250954
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.009015223559513962,0.0015643462047739418,5.762933762361587,7.012296239290624e-7
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.0021379009186012787,0.0017029290650171888,1.255425702995855,0.215804365252665
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,"l(target_pop_precip_shock_resid, 1)",4.2927938041165895e-4,1.7498205009464348e-4,2.4532766656892653,0.018094614297328962
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,"l(target_pop_precip_shock_resid, 2)",5.005463991974368e-4,2.2679003833611335e-4,2.207091646836815,0.03245046804634161
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,as.numeric(date),6.484613599859492e-5,1.850997598869814e-5,3.5033074077561643,0.0010511958615965712
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,1,pop_precip_shock:target_pop_precip_shock_resid,-3.0110641347028805e-4,1.2009197451388215e-4,-2.507298382669871,0.015843466415529153
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,pop_precip_shock,0.0031677934512974234,0.0023607602406261834,1.3418531017182742,0.18637561650402917
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,target_pop_precip_shock_resid,0.0010282467508649197,5.330078560294326e-4,1.9291399540049934,0.06003427155014967
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,"l(household_mortgages, 1)",0.3307989038547874,0.30316149997995656,1.091163963355037,0.2810088557613262
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,"l(household_mortgages, 2)",-0.5533690297891382,0.24834943551439817,-2.228187185700514,0.03090971281174503
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,"l(pop_precip_shock, 1)",0.01247119289286535,0.0025014463715173738,4.985592749406154,9.651017990870563e-6
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,"l(pop_precip_shock, 2)",0.007848426554824442,0.003150724680585919,2.490990914942439,0.016494640710180947
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,"l(target_pop_precip_shock_resid, 1)",0.0011618268673265239,2.864503519876227e-4,4.0559449805693575,1.959118083415283e-4
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,"l(target_pop_precip_shock_resid, 2)",2.0297053052723276e-4,2.2613973782061869e-4,0.8975447326654085,0.37420541968700305
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,as.numeric(date),9.731399622386589e-5,2.796191864648692e-5,3.480233150456298,0.0011249561802925358
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,2,pop_precip_shock:target_pop_precip_shock_resid,-4.546493059926659e-4,1.726315427340065e-4,-2.633639824983763,0.011538935254041427
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,pop_precip_shock,0.005031007301833725,0.0038586084827252724,1.3038397972629776,0.19891888763168356
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,target_pop_precip_shock_resid,0.0017091571389108088,8.08782550603647e-4,2.113246802413274,0.0401580052269565
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,"l(household_mortgages, 1)",0.4080275061296715,0.39769419516818055,1.0259830570499553,0.3103832848478924
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,"l(household_mortgages, 2)",-0.7054552239260645,0.3281185783983375,-2.1500008544765743,0.03696617718702107
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,"l(pop_precip_shock, 1)",0.01874403492434366,0.005297548310740268,3.5382470956125003,9.482414541908318e-4
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,"l(pop_precip_shock, 2)",0.009980588220940102,0.003905821389219118,2.555310964420597,0.014059664783263882
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,"l(target_pop_precip_shock_resid, 1)",7.514423692129834e-4,1.918342831291105e-4,3.9171432600878697,3.015613352448386e-4
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,"l(target_pop_precip_shock_resid, 2)",-8.337725905535034e-5,4.021570309450073e-4,-0.20732513083117454,0.8366913218291834
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,as.numeric(date),1.277952406826219e-4,3.531701094810804e-5,3.6185180243705757,7.470111564539226e-4
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,3,pop_precip_shock:target_pop_precip_shock_resid,-5.019550276876025e-4,1.845711258142119e-4,-2.719575044434996,0.00925506610091177
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,4,pop_precip_shock,0.008250243784163804,0.007356435717700446,1.1215001531669408,0.2680240894544209
