model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,land_temp_shock,0.01086802855098889,0.01482803739397724,0.7329377625796384,0.4673973679849266
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,central_bank_information_land_temp_shock_resid,-0.0017213260946236865,7.673983855502372e-4,-2.2430671304963297,0.029862308498107445
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,"l(household_secured_credit, 1)",0.4363117683984122,0.07107713567656215,6.138567124931105,1.9438348633245224e-7
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,"l(household_secured_credit, 2)",-0.4516644753007362,0.06790248591646555,-6.6516633257930975,3.3535969186067235e-8
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,"l(land_temp_shock, 1)",-4.0744191764261774e-4,0.013911158441230349,-0.02928885609087939,0.9767637278239023
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,"l(land_temp_shock, 2)",-0.040847242549360174,0.02778534270126256,-1.4701003686920184,0.14849233215791055
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,"l(central_bank_information_land_temp_shock_resid, 1)",0.0010719452653109507,3.660701259641137e-4,2.9282511444707042,0.0053322531263446
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,"l(central_bank_information_land_temp_shock_resid, 2)",-4.766213299455994e-4,3.834890670831173e-4,-1.242855066432172,0.2203584438285999
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,as.numeric(date),1.1692612414694341e-5,3.302425847564383e-6,3.540613159661986,9.416300353406893e-4
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,0,land_temp_shock:central_bank_information_land_temp_shock_resid,0.009824740715659946,0.003420849530204155,2.872017792338738,0.006199748745025514
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,land_temp_shock,0.009253536167040877,0.03724987605243283,0.24841790490834448,0.8049412935791684
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,central_bank_information_land_temp_shock_resid,-0.0014555744645467572,9.27087496209543e-4,-1.5700507994099449,0.1234089943585386
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,"l(household_secured_credit, 1)",0.5902365392018798,0.11240688855265261,5.250892955064819,3.972544586543605e-6
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,"l(household_secured_credit, 2)",-0.6323449498825136,0.10376790343202771,-6.09383951075706,2.2652914813656065e-7
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,"l(land_temp_shock, 1)",-0.022206708158963268,0.021755141964292308,-1.0207567569732312,0.31282624759730043
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,"l(land_temp_shock, 2)",-0.10503489549756805,0.04088119246270731,-2.5692718135211714,0.01357648091758726
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,"l(central_bank_information_land_temp_shock_resid, 1)",0.0011302413538531876,6.282518459372258e-4,1.7990259179693997,0.07872294525699165
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,"l(central_bank_information_land_temp_shock_resid, 2)",-6.601367456100718e-5,7.195211031661925e-4,-0.09174668299584199,0.9273065197411721
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,as.numeric(date),3.1863330358820916e-5,6.262432954081098e-6,5.088011415444575,6.858535541756914e-6
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,1,land_temp_shock:central_bank_information_land_temp_shock_resid,0.011904182241378753,0.0040133559629956395,2.9661416408459473,0.004813096554052408
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,2,land_temp_shock,-0.019644066001490063,0.037592840005082895,-0.5225480702930134,0.6038520566260441
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,2,central_bank_information_land_temp_shock_resid,-8.359930774074688e-4,0.0010853723886040678,-0.7702361753302628,0.4451847663518774
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,2,"l(household_secured_credit, 1)",0.638213854603914,0.12854589602637045,4.964871492069946,1.033963294874445e-5
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,2,"l(household_secured_credit, 2)",-0.7146940014133086,0.11663497141991178,-6.127613293960108,2.0180814400191482e-7
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,2,"l(land_temp_shock, 1)",-0.0936705986104913,0.03391703004485697,-2.761757102158038,0.008293665875873477
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,2,"l(land_temp_shock, 2)",-0.10961123782266309,0.035520604759695366,-3.085849426388064,0.0034668888675637682
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,2,"l(central_bank_information_land_temp_shock_resid, 1)",0.0016492785403426585,8.354593377780245e-4,1.9740979192704409,0.054528017579392477
household_secured_credit__central_bank_information__land_temp_shock,household_secured_credit,central_bank_information,land_temp_shock,2,"l(central_bank_information_land_temp_shock_resid, 2)",2.341997098992547e-4,6.445727300464262e-4,0.3633410148803319,0.718051512111531
