model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,land_precip_shock,-5.583030121244444e-4,0.003909359665294359,-0.14281188223248484,0.8870763013529261
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,country_risk_land_precip_shock_resid,0.0014926071154251802,5.57997121287475e-4,2.6749369458775445,0.010383567156175192
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,"l(household_secured_credit, 1)",0.45356774934134075,0.06700873173972047,6.768785762176743,2.2459965327968017e-8
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,"l(household_secured_credit, 2)",-0.470374582423074,0.06353436351170888,-7.4034672958734795,2.579394091665026e-9
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,"l(land_precip_shock, 1)",0.002395608299016832,0.0014588318379102924,1.6421414975755038,0.10753180298341258
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,"l(land_precip_shock, 2)",0.0053493866776945665,0.0014786559328504969,3.617735917362616,7.487578029489339e-4
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,"l(country_risk_land_precip_shock_resid, 1)",0.0021517229952268367,4.744623893672907e-4,4.535076000641951,4.248215529293232e-5
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,"l(country_risk_land_precip_shock_resid, 2)",0.0013373524170458935,0.0011902600774807263,1.1235799993195597,0.267149717269335
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,as.numeric(date),9.833496339730155e-6,3.229669815976898e-6,3.0447373570774006,0.003883306101838074
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,0,land_precip_shock:country_risk_land_precip_shock_resid,0.002169072704683497,7.676486572827378e-4,2.8256060687468794,0.007012812051485441
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,land_precip_shock,-4.181893891460368e-4,0.004206586800805564,-0.09941299417997347,0.921251922580236
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,country_risk_land_precip_shock_resid,0.004101991070128031,8.70912119996786e-4,4.709994241604043,2.3999893473154418e-5
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,"l(household_secured_credit, 1)",0.6213293124053649,0.11278854794755297,5.5087978674420475,1.6630922396206224e-6
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,"l(household_secured_credit, 2)",-0.6652952508085457,0.10391454088369162,-6.402330657007766,7.877619647064645e-8
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,"l(land_precip_shock, 1)",0.007630199523994358,0.0028646616122093007,2.6635605027393625,0.010690748671614297
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,"l(land_precip_shock, 2)",0.0130592267326046,0.0025286730197797706,5.164458445379374,5.310081653746929e-6
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,"l(country_risk_land_precip_shock_resid, 1)",0.0021864353242452145,0.001299818690039552,1.6821079285901663,0.0994757036004756
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,"l(country_risk_land_precip_shock_resid, 2)",0.0031880031553283956,0.0017549996286494011,1.8165263988014597,0.0759540795447831
household_secured_credit__country_risk__land_precip_shock,household_secured_credit,country_risk,land_precip_shock,1,as.numeric(date),2.701681279584911e-5,6.059078051744714e-6,4.458898295272761,5.4369076817053194e-5
