model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,pop_precip_shock,-4.434883244326651e-4,0.002160723355045073,-0.20524993326756255,0.8383025067931194
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,country_risk_pop_precip_shock_resid,5.569476863567657e-4,6.774574633217705e-4,0.8221146219659159,0.4153465758606252
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,"l(household_secured_credit, 1)",0.4441998568781329,0.06461054627054622,6.875036391398361,1.5616710931107377e-8
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,"l(household_secured_credit, 2)",-0.46095578012762495,0.061094379943399744,-7.544978450631182,1.5965307217741824e-9
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,"l(pop_precip_shock, 1)",7.958666232814727e-4,0.0010669319803376896,0.7459394206457066,0.4595830972237642
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.0028945268400606115,6.837600569020182e-4,4.233249384550395,1.1202672430038006e-4
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,"l(country_risk_pop_precip_shock_resid, 1)",0.0025911424703651854,5.395023095765821e-4,4.802838513145186,1.7682738539522365e-5
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,"l(country_risk_pop_precip_shock_resid, 2)",0.001162819627980011,0.0012441480896731472,0.9346312047832648,0.3549668667461653
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,date,1.0344065843561465e-5,3.3218463101806782e-6,3.113950760412766,0.003206821938235376
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,0,pop_precip_shock:country_risk_pop_precip_shock_resid,7.863078579492523e-4,4.0686472106282826e-4,1.932602698742785,0.05959384374189611
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,pop_precip_shock,-0.0022527048439071433,0.002305175760347453,-0.9772377805879753,0.3336759837051745
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,country_risk_pop_precip_shock_resid,0.003047164492617842,0.001282304991754887,2.3763180461831257,0.02180229252803543
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,"l(household_secured_credit, 1)",0.6059033381365305,0.10855983491588433,5.581284630784525,1.300622226408014e-6
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,"l(household_secured_credit, 2)",-0.6498465248904188,0.09983633226100443,-6.509118576106243,5.4641872560664435e-8
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.00307544390619426,0.0016258289734341193,1.891615881157675,0.06498850190399436
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.007361330924943852,0.0020874364607930775,3.526493411036362,9.81748252680123e-4
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,"l(country_risk_pop_precip_shock_resid, 1)",0.0030670175386407266,0.0013811555126847451,2.2206170923351967,0.031454981809509786
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,"l(country_risk_pop_precip_shock_resid, 2)",0.0026517961397061526,0.0016921719182143996,1.5670961745449363,0.12409810831372756
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,date,2.8434901393546737e-5,6.367690926701623e-6,4.4654964760162486,5.322225834485511e-5
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,1,pop_precip_shock:country_risk_pop_precip_shock_resid,4.4542933604846364e-4,6.544206693789354e-4,0.6806468024171506,0.4995823878687151
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,2,pop_precip_shock,2.354853498815828e-4,0.0021477515997867028,0.10964273052105714,0.913180221980749
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,2,country_risk_pop_precip_shock_resid,0.004283191055313246,0.001247859377464047,3.432430875358511,0.0012937949208270717
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,2,"l(household_secured_credit, 1)",0.6636931850507534,0.13104547087912372,5.0646022376686615,7.4164051801195405e-6
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,2,"l(household_secured_credit, 2)",-0.7425040919275069,0.1185622339958346,-6.262568331443493,1.2714415509531968e-7
