model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,land_temp_shock,-0.006802875006637895,0.0246882020169394,-0.2755516583172082,0.7840752414326436
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,miyajima_surprise_land_temp_shock_resid,0.038799296600915294,0.03980365330396093,0.9747672231145253,0.3345628088364663
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,"l(household_secured_credit, 1)",0.46106750556479215,0.06579891783076419,7.007220190925704,7.168097451831855e-9
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,"l(household_secured_credit, 2)",-0.4779764593751374,0.06185393075667153,-7.727503386251375,5.697066308603453e-10
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,"l(land_temp_shock, 1)",-0.014236710403945047,0.01213117249412259,-1.1735642544727285,0.24636005482243903
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,"l(land_temp_shock, 2)",-0.04952803507506743,0.026077608691346642,-1.8992552446537156,0.06354943880806035
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,"l(miyajima_surprise_land_temp_shock_resid, 1)",0.006949895010458535,0.012324976649603398,0.5638870732207167,0.5754562792223666
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,"l(miyajima_surprise_land_temp_shock_resid, 2)",-0.009360004158090652,0.007239874298239014,-1.2928407003374804,0.20225459714715094
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,as.numeric(date),1.2209179638013304e-5,3.4330812929403752e-6,3.556332808989895,8.576764967125227e-4
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,0,land_temp_shock:miyajima_surprise_land_temp_shock_resid,-0.09377601046861653,0.11557466067737218,-0.8113890183107973,0.42114765971352164
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,land_temp_shock,-0.012159274668456763,0.04692733490197619,-0.25910857059868353,0.7966594818309225
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,miyajima_surprise_land_temp_shock_resid,0.08749374586597834,0.03130798571598475,2.7946143408806763,0.007446602051076964
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,"l(household_secured_credit, 1)",0.631741428451267,0.09241683860301793,6.8357827209925475,1.3131191892954582e-8
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,"l(household_secured_credit, 2)",-0.6759350084253527,0.0834768435738412,-8.097275597482794,1.5704852698505833e-10
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,"l(land_temp_shock, 1)",-0.05019598249092739,0.015661674435009543,-3.2050201719632927,0.0024024554235731405
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,"l(land_temp_shock, 2)",-0.12070271514283068,0.03985759835311901,-3.0283489254285496,0.003949645300050504
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,"l(miyajima_surprise_land_temp_shock_resid, 1)",0.008543025990270176,0.014031925499710652,0.6088277756638844,0.5455093490393146
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,"l(miyajima_surprise_land_temp_shock_resid, 2)",-0.013761767298559978,0.019766854528896104,-0.6962042078289385,0.48965858516861416
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,as.numeric(date),3.322035603248313e-5,6.896693384427061e-6,4.816852682982207,1.4998411302981707e-5
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,1,land_temp_shock:miyajima_surprise_land_temp_shock_resid,-0.2120920120995449,0.07468162572382242,-2.8399490509737313,0.0065992216641160145
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,2,land_temp_shock,12.664294842341059,11.07674047915736,1.143323242624573,0.25857475082268766
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,2,miyajima_surprise_land_temp_shock_resid,-12.262723730449506,10.350954430865302,-1.184694977874073,0.24197088758115465
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,2,"l(household_secured_credit, 1)",-0.8568780786209114,5.507892362488933,-0.15557277125758884,0.8770222013927913
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,2,"l(household_secured_credit, 2)",-0.06453072887414725,5.236346226421432,-0.012323617668468831,0.9902185042840657
household_secured_credit__miyajima_surprise__land_temp_shock,household_secured_credit,miyajima_surprise,land_temp_shock,2,"l(land_temp_shock, 1)",-13.512213042930016,10.450028910354563,-1.2930311637263743,0.2021892491042024
