model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,pop_precip_shock,-0.00083803997195971145,7.947586686144716e-4,-1.0544584224802398,0.29730191222282987
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,target_pop_precip_shock_resid,-0.0028235442011770562,0.00811206075436108,-0.3480674376925871,0.7294125694519886
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,"l(household_secured_credit, 1)",0.3878359586253706,0.10057590970290547,3.8561516348299723,3.6381150810824435e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,"l(household_secured_credit, 2)",-0.4047670216099523,0.09616213430845134,-4.209214203915384,1.2090437381969016e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,"l(pop_precip_shock, 1)",-4.38340429140206e-4,3.7265444673366405e-4,-1.1762651243860984,0.2456741601243723
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,"l(pop_precip_shock, 2)",8.148977425455903e-4,4.96643421236498e-4,1.6408105044797159,0.10780902780967644
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,"l(target_pop_precip_shock_resid, 1)",-0.007993770156166464,0.01299879223962828,-0.6149625295030532,0.5416769032268207
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,"l(target_pop_precip_shock_resid, 2)",0.020490108987570338,0.005207674483454722,3.934598649103235,2.8573130867671457e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,date,4.615500659871311e-6,1.5561910348518135e-6,2.9658959321217373,0.004816305415206514
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,0,pop_precip_shock:target_pop_precip_shock_resid,0.007204316585100781,0.0020052637912489576,3.5927026741023673,8.067792588868995e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,pop_precip_shock,-0.0016067508011449424,0.0010380321729717213,-1.5478815040434344,0.12865560540076335
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,target_pop_precip_shock_resid,-0.016066546103297375,0.005466840686798774,-2.9389087818298005,0.005181175523424424
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,"l(household_secured_credit, 1)",0.5957324175641789,0.14685290880487462,4.05666065733663,1.9547373687457697e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,"l(household_secured_credit, 2)",-0.64105545195513,0.13666533945462622,-4.690695201236189,2.556811637213243e-5
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,"l(pop_precip_shock, 1)",5.529348934704694e-4,6.258088224730606e-4,0.8835524102798531,0.3816340471559122
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.0026812270415170233,9.092408189893769e-4,2.9488634754621033,0.005043681205645382
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,"l(target_pop_precip_shock_resid, 1)",0.011608012161768237,0.012766624313778258,0.9092467888508633,0.36806419166599935
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,"l(target_pop_precip_shock_resid, 2)",0.016172690281074438,0.008641976875470471,1.871410964657782,0.06779765915839082
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,date,1.0955191107026692e-5,2.6031517970440223e-6,4.208433453426238,1.2120395368304121e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,1,pop_precip_shock:target_pop_precip_shock_resid,0.009021643356621893,0.0031165626314459778,2.894741554555623,0.00583447245242033
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,pop_precip_shock,-4.724714759535128e-4,0.0011839241418445398,-0.39907242301640017,0.6917274471359275
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,target_pop_precip_shock_resid,0.004716763499713454,0.006231002944665781,0.7569830317206587,0.4530054435721417
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,"l(household_secured_credit, 1)",0.6376305645171169,0.16920169764637588,3.76846434395556,4.7548719336399227e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,"l(household_secured_credit, 2)",-0.7176153853024699,0.1541597619493413,-4.655010984891678,2.8737321123017445e-5
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,"l(pop_precip_shock, 1)",0.002131046478749338,0.0010564199812923777,2.0172341649031567,0.049659795789054904
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,"l(pop_precip_shock, 2)",0.0023283465412456228,5.814038622606934e-4,4.004697409804313,2.2988442581831103e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,"l(target_pop_precip_shock_resid, 1)",0.002958934283060342,0.017282738755818632,0.17120748770585614,0.8648281695431028
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,"l(target_pop_precip_shock_resid, 2)",0.005006063020820056,0.00744228457927282,0.6726513837917757,0.5046087127493777
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,date,1.871563993813846e-5,3.7450172577147183e-6,4.9974776216543,9.276685004190881e-6
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,2,pop_precip_shock:target_pop_precip_shock_resid,0.009898521633305684,0.004980467652048109,1.9874683111806044,0.05297682814062933
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,pop_precip_shock,0.0011504692690648016,0.0011312062280333394,1.0170287614707991,0.3145768257516968
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,target_pop_precip_shock_resid,4.554617518993279e-4,0.006702950715969336,0.06794944065666789,0.9461269093317893
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,"l(household_secured_credit, 1)",0.6879951676004562,0.218000007944249,3.155941020774655,0.0028522266688276073
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,"l(household_secured_credit, 2)",-0.8050982574889693,0.19849480421489418,-4.056016784284967,1.9586781373941812e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,"l(pop_precip_shock, 1)",0.003053623765041144,0.0010576114995887239,2.887283058314527,0.005952095312780096
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,"l(pop_precip_shock, 2)",0.0034702818732884923,0.0010028827338105185,3.4603067300829173,0.0011926085443878566
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,"l(target_pop_precip_shock_resid, 1)",0.0032169406980293385,0.013202074146430135,0.24366934031340864,0.8085943874940115
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,"l(target_pop_precip_shock_resid, 2)",-0.02211384902170151,0.014082816409437947,-1.5702717680024123,0.12335758168552889
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,date,2.6313765737826744e-5,4.88996255402665e-6,5.381179394954388,2.560932934107251e-6
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,3,pop_precip_shock:target_pop_precip_shock_resid,0.0056835081580502555,0.004453196369342771,1.276276114203574,0.2084057729856373
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,pop_precip_shock,0.0013818795657889753,0.001248294015290818,1.107014492468776,0.2741702759211348
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,target_pop_precip_shock_resid,-9.85205369194233e-4,0.00892763335234002,-0.11035459570435886,0.9126188641151055
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,"l(household_secured_credit, 1)",0.6887502635221042,0.2213697799109412,3.111311145537543,0.00323044594936966
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,"l(household_secured_credit, 2)",-0.8437014856812937,0.19750789152144838,-4.271735570574262,9.911821336294875e-5
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,"l(pop_precip_shock, 1)",0.004435572730930203,0.001420503118269762,3.122536426623923,0.0031311021772681084
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,"l(pop_precip_shock, 2)",0.004998822407740305,0.0014001877318545555,3.570108703294622,8.628279747747454e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,"l(target_pop_precip_shock_resid, 1)",-0.03399923537193889,0.013217017174090568,-2.5723833845497217,0.013470876830225529
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,"l(target_pop_precip_shock_resid, 2)",-0.02641301985385432,0.018687403885790578,-1.4134130142035461,0.16441480294201052
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,date,3.46453110782964e-5,6.022339047771871e-6,5.752799834661315,7.258593982786327e-7
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,4,pop_precip_shock:target_pop_precip_shock_resid,0.011242037609915753,0.005967554032280456,1.8838602129287623,0.06605484346246202
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,5,pop_precip_shock,0.0022641283233432864,8.900762428336158e-4,2.5437464953960416,0.014471730922450438
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,5,target_pop_precip_shock_resid,-0.028377910472698397,0.00909898059089906,-3.1188010776814292,0.0031638361096141643
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,5,"l(household_secured_credit, 1)",0.5969238493291708,0.22224046544861836,2.685936821290444,0.010094291087399815
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,5,"l(household_secured_credit, 2)",-0.7917558882297397,0.1900890363978916,-4.165184395866198,1.3897729277043814e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,5,"l(pop_precip_shock, 1)",0.006044489792335704,0.0017311146901044427,3.491674946141797,0.0010877833308745532
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,5,"l(pop_precip_shock, 2)",0.005067843644232328,0.0014265160295610757,3.552601961151219,9.088026862533684e-4
household_secured_credit__target__pop_precip_shock,household_secured_credit,target,pop_precip_shock,5,"l(target_pop_precip_shock_resid, 1)",-0.039640385313365716,0.013840126481826486,-2.864163515081862,0.006330875157045286
