model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,land_precip_shock,-0.041838334784641086,0.028336788263708088,-1.4764670715426456,0.14678272631282152
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,central_bank_information_land_precip_shock_resid,0.012105482141604472,0.005395229191269139,2.243738256976041,0.02981581973013293
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,"l(household_secured_credit_rate, 1)",0.3492501256155698,0.036484767666937146,9.572491424470922,2.0070258845430178e-12
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,"l(household_secured_credit_rate, 2)",-0.46607792785257124,0.036619731474796996,-12.727508069613855,1.6295454961126905e-16
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,"l(land_precip_shock, 1)",-0.02065581908613414,0.029173987812636314,-0.7080217904659354,0.482583097007242
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,"l(land_precip_shock, 2)",0.01414821758988709,0.029762912884842396,0.4753640090480683,0.6368269424791584
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,"l(central_bank_information_land_precip_shock_resid, 1)",0.004895235775363522,0.007756569530681341,0.6311083470599047,0.531162360692425
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,"l(central_bank_information_land_precip_shock_resid, 2)",-0.012167044779629755,0.00702724111615158,-1.731411314699979,0.09023000416258523
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,as.numeric(date),5.4553983338197406e-5,3.631192697603006e-5,1.5023709255146154,0.13998690442316586
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,0,land_precip_shock:central_bank_information_land_precip_shock_resid,-7.222880519856999e-4,0.0028409306794705616,-0.2542434622587504,0.8004656770894916
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,land_precip_shock,-0.0759447509794123,0.03846371921469135,-1.974451574885794,0.05448648876340866
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,central_bank_information_land_precip_shock_resid,0.024641866912198454,0.012479530893748642,1.9745827885679803,0.05447108763471567
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,"l(household_secured_credit_rate, 1)",0.44983876288428676,0.049225860017820956,9.138261123755568,8.091688002941472e-12
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,"l(household_secured_credit_rate, 2)",-0.6928430456930655,0.04929550491520743,-14.054892974213695,4.5191753574932645e-18
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,"l(land_precip_shock, 1)",0.0017868987420846577,0.06083446170773354,0.029373133120983948,0.9766968863877468
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,"l(land_precip_shock, 2)",0.06347859777990815,0.045665930832129185,1.390064685492987,0.17134744250700318
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,"l(central_bank_information_land_precip_shock_resid, 1)",-0.002400769495473632,0.009073938356699356,-0.26457855465825664,0.792542237450417
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,"l(central_bank_information_land_precip_shock_resid, 2)",-0.03775399731229977,0.014652172245360055,-2.576682602421319,0.013326199062240971
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,as.numeric(date),1.0047016938335992e-4,7.530846967490524e-5,1.334115137607679,0.18887872615726456
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,1,land_precip_shock:central_bank_information_land_precip_shock_resid,0.0046155305724802755,0.006049439648187532,0.7629682815106902,0.44946365972726865
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,land_precip_shock,-0.08666780616042002,0.05214688082957665,-1.6619940595040117,0.10346567037933374
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,central_bank_information_land_precip_shock_resid,0.026160239881844103,0.017177656790287644,1.5229224917705464,0.1347752311086085
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,"l(household_secured_credit_rate, 1)",0.5181139854545518,0.06966888614598517,7.4368059275253575,2.303486544177283e-9
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,"l(household_secured_credit_rate, 2)",-0.9240842901397828,0.05900521926228401,-15.661060185746232,7.799984057070209e-20
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,"l(land_precip_shock, 1)",0.052141454303842025,0.07681472956682979,0.6787949993168731,0.5007440751484078
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,"l(land_precip_shock, 2)",0.0189215499891218,0.03991364303022058,0.4740622141355367,0.6377477583041389
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,"l(central_bank_information_land_precip_shock_resid, 1)",-0.021789081625244393,0.010294405612045133,-2.11659443452954,0.039857600761435776
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,"l(central_bank_information_land_precip_shock_resid, 2)",-0.05186300153411925,0.025323605768688362,-2.0480101454685338,0.04642099176312458
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,as.numeric(date),1.4575488227095023e-4,1.0634867099730453e-4,1.3705378817065281,0.17731729173862013
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,2,land_precip_shock:central_bank_information_land_precip_shock_resid,0.002281991353768961,0.00874775171223396,0.26086604065105506,0.7953859512842809
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,land_precip_shock,-0.07777206822996345,0.07222249026905585,-1.0768400250425227,0.28729098326797353
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,central_bank_information_land_precip_shock_resid,0.007314341213369112,0.019164747122023956,0.3816560253468482,0.7045128129252581
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,"l(household_secured_credit_rate, 1)",0.5810635404183573,0.07904761037241623,7.3508046312949675,3.0845133264377184e-9
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,"l(household_secured_credit_rate, 2)",-1.1631330898710113,0.06697176512258136,-17.367514321028835,1.4191436401300942e-21
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,"l(land_precip_shock, 1)",0.01782244044016822,0.07016426344541467,0.2540102263602247,0.8006447368850405
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,"l(land_precip_shock, 2)",0.10340456205979628,0.06007229838481883,1.7213352050789548,0.09205915781654
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,"l(central_bank_information_land_precip_shock_resid, 1)",-0.035310782719327104,0.014512338481206347,-2.4331559496806796,0.01900450403030421
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,"l(central_bank_information_land_precip_shock_resid, 2)",-0.05468038064435118,0.032043839015942266,-1.7064241465308483,0.09482241810742678
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,as.numeric(date),1.624193627921336e-4,1.2649506032043977e-4,1.283997670586422,0.20571459723542354
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,3,land_precip_shock:central_bank_information_land_precip_shock_resid,-0.010166860160712825,0.010497987620533715,-0.9684580062589123,0.3379922401264277
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,4,land_precip_shock,-0.12132254844098556,0.0783142136257754,-1.549176615891536,0.1283442514102574
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,4,central_bank_information_land_precip_shock_resid,-0.01809969407041294,0.01760551397552,-1.0280696204371018,0.3094115945412794
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,4,"l(household_secured_credit_rate, 1)",0.5590946629183888,0.10320801916157003,5.4171630020641865,2.267788419119859e-6
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,4,"l(household_secured_credit_rate, 2)",-1.3047886840403373,0.08908174310070133,-14.647094215089117,9.775423166153293e-19
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,4,"l(land_precip_shock, 1)",0.10159002457592774,0.08654238811200148,1.1738759097386116,0.2466201644643687
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,4,"l(land_precip_shock, 2)",0.2565601679538609,0.10032197094481696,2.5573676985969924,0.013987509781827936
