model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,pop_precip_shock,0.006416445713589983,0.013089290314116346,0.49020577583721775,0.6263699713056593
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,forward_guidance_pop_precip_shock_resid,0.007532623043951089,0.002435912877842066,3.092320383241338,0.0034053013631697776
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(household_secured_credit_rate, 1)",0.36186443948978514,0.034517289692017186,10.483570486516893,1.160194046832121e-13
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(household_secured_credit_rate, 2)",-0.4632994416504467,0.04104856498675149,-11.286617249591492,1.0263409085918355e-14
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(pop_precip_shock, 1)",-7.898701085772409e-4,0.018705231017731482,-0.04222723086544558,0.9665043664229038
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.01475222612767056,0.007491664250631734,1.9691520647667278,0.055111660999142276
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(forward_guidance_pop_precip_shock_resid, 1)",0.0014155488210416932,0.005685518163440776,0.24897446113953275,0.8045134184770977
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,"l(forward_guidance_pop_precip_shock_resid, 2)",-0.012950678016085055,0.004506493727708935,-2.8737814359877243,0.00617065436577771
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,date,1.4606369466072007e-5,3.391483262698151e-5,0.4306779168490328,0.6687584689240962
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,0,pop_precip_shock:forward_guidance_pop_precip_shock_resid,-1.5347302816755146e-4,0.0011341917518290718,-0.13531488649961598,0.8929663927435099
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,pop_precip_shock,-0.008015453716147246,0.01804518565792164,-0.4441879328976895,0.6590355468508498
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,forward_guidance_pop_precip_shock_resid,0.012157386685665031,0.008546884297392145,1.4224349204510156,0.16179522479333025
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(household_secured_credit_rate, 1)",0.45214617267068985,0.05808083890886717,7.784773449642115,7.10372689723073e-10
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(household_secured_credit_rate, 2)",-0.667809677998013,0.07065517374174968,-9.451674132723966,2.9515602756120815e-12
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.021152354508314392,0.028789923043969767,0.734713825945599,0.466325446173374
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.08620146610769874,0.030845064473332635,2.7946599425079808,0.007608788859551698
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(forward_guidance_pop_precip_shock_resid, 1)",-0.014577269425354897,0.007125978389294032,-2.0456516465522236,0.04666252812525801
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,"l(forward_guidance_pop_precip_shock_resid, 2)",-0.024655597953232845,0.011197896932917612,-2.2018061159997506,0.032847005773300596
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,date,1.004826355743587e-5,5.8960665015344724e-5,0.1704231720388631,0.8654412871638872
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,1,pop_precip_shock:forward_guidance_pop_precip_shock_resid,9.023130582812069e-6,0.0029157918019548923,0.003094572999609407,0.9975445701212466
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,2,pop_precip_shock,0.008766143542198172,0.025546118599964786,0.34314972381793674,0.7330838021101219
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,2,forward_guidance_pop_precip_shock_resid,-4.560777654221263e-4,0.010222250343064569,-0.04461618040215174,0.9646106459473756
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,2,"l(household_secured_credit_rate, 1)",0.4609605415406371,0.0803432779631295,5.737387784354249,7.649765583591036e-7
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,2,"l(household_secured_credit_rate, 2)",-0.7753897673743765,0.09503013285546182,-8.1594094849233,2.0227632102757036e-10
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,2,"l(pop_precip_shock, 1)",0.08556911927634497,0.05597142661528194,1.5288000405010571,0.13331358720633235
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,2,"l(pop_precip_shock, 2)",0.11091274162594143,0.04532156265302189,2.44724001409837,0.018363373035980186
household_secured_credit_rate__forward_guidance__pop_precip_shock,household_secured_credit_rate,forward_guidance,pop_precip_shock,2,"l(forward_guidance_pop_precip_shock_resid, 1)",-0.03077460014008463,0.012738972857292091,-2.415783476802725,0.01982315394586058
