model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,pop_temp_shock,0.031825583486589315,0.04421571707797489,0.7197798789616949,0.47538248314680076
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,country_risk_pop_temp_shock_resid,-0.020698628141250758,0.011030269347024394,-1.8765297102046352,0.06707639014354905
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,"l(household_unsecured_credit, 1)",0.1647205061543715,0.07108931205555227,2.3170924206672834,0.025106584756602667
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,"l(household_unsecured_credit, 2)",-0.27912428314995535,0.09318974500961755,-2.99522531284047,0.004447088189778002
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.0785045401813747,0.08778656437432873,0.8942660046089199,0.37593777727981437
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,"l(pop_temp_shock, 2)",0.07461586634983665,0.052598134843254,1.4186028948022011,0.16290387693423392
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,"l(country_risk_pop_temp_shock_resid, 1)",-0.0026515091073458816,0.001677603682771446,-1.5805336710786886,0.12098892948881997
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,"l(country_risk_pop_temp_shock_resid, 2)",-0.0012620850559666539,0.002952554244836168,-0.42745533233604815,0.6710862935789199
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,as.numeric(date),2.8522473831170913e-5,1.197623478481475e-5,2.381589401314672,0.0215280375426895
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,0,pop_temp_shock:country_risk_pop_temp_shock_resid,0.05827624865347718,0.028317115971427814,2.0579867212564427,0.045411274255295356
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,1,pop_temp_shock,0.19901812087539425,0.08213841674441087,2.422960275636631,0.019481176201618242
household_unsecured_credit__country_risk__pop_temp_shock,household_unsecured_credit,country_risk,pop_temp_shock,1,country_risk_pop_temp_shock_resid,-0.03652719846467338,0.014943235050101266,-2.4443969690770437,0.01849119520859173
