model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,land_temp_shock,0.027575519879423607,0.023027450830521063,1.1975064058273632,0.2369895526362982
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,miyajima_surprise_land_temp_shock_resid,0.05250303610223492,0.06747447137375381,0.7781170423909023,0.4403188292061607
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,"l(household_unsecured_credit, 1)",0.018105983205002552,0.06963779770920431,0.2600022372994919,0.7959741032277963
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,"l(household_unsecured_credit, 2)",-0.12194646554186526,0.050168856109947264,-2.430720470776017,0.01885493424844235
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,"l(land_temp_shock, 1)",0.10448595025700826,0.07964435381469985,1.3119065602579278,0.19579155861217779
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,"l(land_temp_shock, 2)",-0.00332161396623265,0.026089869669381576,-0.12731431809836957,0.8992234979630673
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,"l(miyajima_surprise_land_temp_shock_resid, 1)",0.006211067847122764,0.01481114242286469,0.41935103112197697,0.6768304981393225
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,"l(miyajima_surprise_land_temp_shock_resid, 2)",-0.013348656388012872,0.05787627970292297,-0.23064123085538815,0.8185737629948102
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,as.numeric(date),1.9099440628917293e-5,7.400399595603101e-6,2.580866125156958,0.01296754868061326
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,0,land_temp_shock:miyajima_surprise_land_temp_shock_resid,-0.19872460393133254,0.17399518897194094,-1.142127004232166,0.25906667778715914
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,land_temp_shock,0.15187714422878026,0.09624911740274555,1.5779588252561774,0.12114345529627302
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,miyajima_surprise_land_temp_shock_resid,0.13239856756930557,0.09229951490650856,1.4344448906737364,0.1579287378132546
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,"l(household_unsecured_credit, 1)",-0.05745082865417205,0.06262154780403004,-0.9174290746367464,0.3635047145648014
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,"l(household_unsecured_credit, 2)",-0.1537585269041445,0.04617335734645555,-3.330027005626603,0.0016754062859394591
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,"l(land_temp_shock, 1)",0.17367412894235196,0.09041098403109704,1.9209405892830056,0.06068943042910458
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,"l(land_temp_shock, 2)",-0.15750659380424895,0.0644642225805866,-2.443317975445221,0.01828114557411625
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,"l(miyajima_surprise_land_temp_shock_resid, 1)",-0.0021810639329012346,0.047327737554026084,-0.0460842635972506,0.963434288697363
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,"l(miyajima_surprise_land_temp_shock_resid, 2)",0.006709176509358413,0.05431696765195847,0.12351898125735127,0.9022119216527469
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,as.numeric(date),3.913034675184397e-5,1.3736708968096175e-5,2.8485969123117556,0.006448097943552482
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,1,land_temp_shock:miyajima_surprise_land_temp_shock_resid,-0.5021757542772393,0.2631342234122956,-1.9084395323613914,0.06232442360403847
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,2,land_temp_shock,13.466743335394964,11.046456193790673,1.219100777583743,0.22876318399139192
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,2,miyajima_surprise_land_temp_shock_resid,-12.812008767219995,9.984792654926869,-1.2831522105667434,0.20559970057779273
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,2,"l(household_unsecured_credit, 1)",-0.5653505589854982,3.2480812912880483,-0.17405677638114306,0.8625528695364987
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,2,"l(household_unsecured_credit, 2)",4.102081869018078,4.482195911106918,0.9151946836712527,0.36466436034772054
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,2,"l(land_temp_shock, 1)",-13.142116920395628,10.190861609552119,-1.2895982129790902,0.20336953255444892
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,2,"l(land_temp_shock, 2)",10.45281002039197,10.06373274278844,1.0386613285097757,0.30416627361769133
household_unsecured_credit__miyajima_surprise__land_temp_shock,household_unsecured_credit,miyajima_surprise,land_temp_shock,2,"l(miyajima_surprise_land_temp_shock_resid, 1)",1.084372257190799,4.171815032676369,0.2599281724374859,0.796030899531166
