model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,pop_precip_shock,-5.5605875599474e-4,0.0015649133901002102,-0.35532877379184064,0.723900025194835
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,miyajima_surprise_pop_precip_shock_resid,0.00669890784101448,0.006896650243919218,0.9713277611723042,0.336254530797956
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(household_unsecured_credit, 1)",0.06263774735708078,0.07162980117144925,0.8744649061241203,0.38621960740601136
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(household_unsecured_credit, 2)",-0.17846813219947522,0.08238898013721009,-2.1661650854550634,0.03529540017435189
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(pop_precip_shock, 1)",-0.002717184047690707,0.0014078455411366485,-1.9300299417057791,0.05952378923396114
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(pop_precip_shock, 2)",-6.525542722665356e-4,9.011328333756647e-4,-0.7241488136904878,0.47248927509886707
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(miyajima_surprise_pop_precip_shock_resid, 1)",-0.009513594894575495,0.00801300243924938,-1.187269686575396,0.24096373583357183
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(miyajima_surprise_pop_precip_shock_resid, 2)",0.005351328485868829,0.017692056039801726,0.302470694973494,0.7636001394437256
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,date,9.11741427514204e-6,1.7149063611514632e-6,5.316566829351667,2.7211105662204967e-6
household_unsecured_credit__miyajima_surprise__pop_precip_shock,household_unsecured_credit,miyajima_surprise,pop_precip_shock,0,pop_precip_shock:miyajima_surprise_pop_precip_shock_resid,0.0027243383162070885,0.004127317961858971,0.6600747365197007,0.5123610068074211
