model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,pop_precip_shock,-0.013103498709289438,0.04436777042773525,-0.29533822824457634,0.7690939642903385
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,central_bank_information_pop_precip_shock_resid,0.004869166830362595,0.007824102288576565,0.6223291376790576,0.5368662979529061
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(household_unsecured_credit_rate, 1)",0.09752772000190026,0.040950262777421254,2.3816140211845993,0.021526763949407
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(household_unsecured_credit_rate, 2)",-0.1435338420254133,0.055868074061610255,-2.5691567936837574,0.01358039904045371
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(pop_precip_shock, 1)",0.08976068237993738,0.06080333432448176,1.4762460542200277,0.14684181273783567
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.0654838133816483,0.036878851488060846,1.7756467660834834,0.08255390778165206
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(central_bank_information_pop_precip_shock_resid, 1)",-0.022793499320262502,0.01166623946605708,-1.953800055843203,0.05695769922461124
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(central_bank_information_pop_precip_shock_resid, 2)",-0.0013128200594410408,0.008242614922525432,-0.15927227849178832,0.8741670762755507
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,as.numeric(date),2.245923016218374e-5,4.4027261414393425e-5,0.5101209896021685,0.6124598329779978
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,pop_precip_shock:central_bank_information_pop_precip_shock_resid,0.007873534718136593,0.00539273009152882,1.4600275898296393,0.1512291618429826
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,pop_precip_shock,0.0025223384869297438,0.06943154958318794,0.03632841989084022,0.97118116760524
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,central_bank_information_pop_precip_shock_resid,-0.014227280439870225,0.015865163914391033,-0.8967622721480293,0.3746183783261241
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(household_unsecured_credit_rate, 1)",0.18313732802670404,0.08059351759810196,2.2723580442283247,0.02789224146837144
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(household_unsecured_credit_rate, 2)",-0.28801659968998417,0.09154928261757511,-3.1460279256704125,0.002932440837203909
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.1766592732191828,0.09511319255300583,1.8573582536484827,0.06981176499656573
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.11189155389551375,0.04894941789495322,2.2858607662227173,0.027023702101622294
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(central_bank_information_pop_precip_shock_resid, 1)",-0.021852009459570918,0.01064711250672181,-2.0523883302421337,0.04597550001128887
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(central_bank_information_pop_precip_shock_resid, 2)",-0.008712555802130335,0.014658769219967772,-0.5943579349255551,0.5552493574012454
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,as.numeric(date),2.3456648086044388e-5,6.782367611435837e-5,0.3458474891053359,0.7310690451331716
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,pop_precip_shock:central_bank_information_pop_precip_shock_resid,-0.010618888599967078,0.008746490692748516,-1.2140741896370983,0.23105267712904207
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,pop_precip_shock,0.004346098740374126,0.09694264452515773,0.04483165031923864,0.964439852906818
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,central_bank_information_pop_precip_shock_resid,-0.023566728196938315,0.018405757341475208,-1.2803998096744147,0.20696528692213462
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(household_unsecured_credit_rate, 1)",0.23512377792149464,0.11718981915822757,2.006349865631542,0.05085123776017015
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(household_unsecured_credit_rate, 2)",-0.42346595422071753,0.11409809382917235,-3.7114200597840896,5.651640856065392e-4
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(pop_precip_shock, 1)",0.19913806773260576,0.08513607004282098,2.3390563791874004,0.023832179633173158
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(pop_precip_shock, 2)",0.27627385277777444,0.1120416689638682,2.4658134364891398,0.017547805206865788
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(central_bank_information_pop_precip_shock_resid, 1)",-0.03769587445191612,0.016481970907033867,-2.2870974997188585,0.026945370175411577
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(central_bank_information_pop_precip_shock_resid, 2)",-0.015334483642822475,0.016734747797743754,-0.9163259481502274,0.36438071990706644
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,as.numeric(date),3.475508807106746e-5,9.476704997354736e-5,0.36674232321011113,0.7155301340411869
household_unsecured_credit_rate__central_bank_information__pop_precip_shock,household_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,pop_precip_shock:central_bank_information_pop_precip_shock_resid,-0.007929704340790104,0.013712998299991074,-0.5782618919157355,0.5659701869580623
