model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,pop_temp_shock,0.07008727937764407,0.04544952399010799,1.5420905044659752,0.13005523010210449
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,central_bank_information_pop_temp_shock_resid,1.2339276310554383,0.8646797864887761,1.4270342042643034,0.16047237862518685
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,"l(household_unsecured_credit_rate, 1)",0.047084399708416956,0.06447372667552911,0.7302881675410855,0.4689991205998112
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,"l(household_unsecured_credit_rate, 2)",-0.08172722389037211,0.0776305176066233,-1.0527718532614716,0.2980659397059076
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,"l(pop_temp_shock, 1)",-0.21600169927468119,0.163837567269721,-1.3183893222674863,0.1940446008211425
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.2001037303085275,0.08883438135695372,-2.252548250485046,0.029211489697756787
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,"l(central_bank_information_pop_temp_shock_resid, 1)",-1.7781939629819263,0.9155333598016612,-1.9422492298556437,0.05838147997700081
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,"l(central_bank_information_pop_temp_shock_resid, 2)",-0.3575508713537067,0.5406510451928818,-0.661333913127177,0.5117703041374799
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,date,2.9206176817525473e-5,4.0351214233468924e-5,0.7237992058563802,0.4729351019429987
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,0,pop_temp_shock:central_bank_information_pop_temp_shock_resid,-1.339685518606677,0.9044145840552399,-1.4812736793780534,0.14550237873565647
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,pop_temp_shock,-0.05978872415133995,0.1153137964535955,-0.5184871714409306,0.60665871022696
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,central_bank_information_pop_temp_shock_resid,-2.4770444336501227,1.6801315884958195,-1.474315732536021,0.14735866139552137
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,"l(household_unsecured_credit_rate, 1)",0.14880560738602283,0.11095568735969166,1.3411264526137432,0.18660959284188508
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,"l(household_unsecured_credit_rate, 2)",-0.20244368932482548,0.13315650994962433,-1.5203439125988945,0.1354205062445901
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.38652264279021487,0.2062305474056974,-1.874225945925684,0.06740019574334384
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.22496237141920483,0.13637730225815392,-1.6495587439716675,0.10599757600385191
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,"l(central_bank_information_pop_temp_shock_resid, 1)",-2.458065746851236,0.6887687574443888,-3.568782294904978,8.662317751852584e-4
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,"l(central_bank_information_pop_temp_shock_resid, 2)",-2.3042201370856543,0.8996662034535652,-2.56119450551816,0.013854154803537397
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,date,6.1439582690171e-5,7.845885226957874e-5,0.7830803142399941,0.4376818978909217
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,1,pop_temp_shock:central_bank_information_pop_temp_shock_resid,2.166436288130561,1.6772338687128923,1.2916721564852982,0.20306577036598683
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,pop_temp_shock,-0.3245878094495273,0.20295146215125068,-1.5993371321839824,0.11674424423777835
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,central_bank_information_pop_temp_shock_resid,-1.22524140758748,1.5886217802546263,-0.7712606126998314,0.44458357583430586
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,"l(household_unsecured_credit_rate, 1)",0.2024733886136106,0.14225973022447666,1.4232656584834,0.16155566026100984
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,"l(household_unsecured_credit_rate, 2)",-0.31997771422307547,0.1517298661254685,-2.1088644074758456,0.04055426405514994
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,"l(pop_temp_shock, 1)",-0.45033634289813834,0.20865763517947805,-2.158254801032222,0.03628085226619325
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,"l(pop_temp_shock, 2)",-0.2807825832909638,0.15197920879631746,-1.8475065472098136,0.07125383864247685
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,"l(central_bank_information_pop_temp_shock_resid, 1)",-4.392690481887593,1.3206848777095856,-3.3260700989517438,0.0017602470044714806
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,"l(central_bank_information_pop_temp_shock_resid, 2)",-3.878073169088118,1.1649986512510304,-3.328822024749694,0.0017463822488849152
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,date,8.741266926068413e-5,1.1134069869663427e-4,0.7850917973745977,0.436513741855981
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,2,pop_temp_shock:central_bank_information_pop_temp_shock_resid,0.7798733223180505,1.8310170002746802,0.4259235835609706,0.6721938945621458
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,pop_temp_shock,-0.41756259045493443,0.2238957321431427,-1.8649868242596745,0.06871218805818981
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,central_bank_information_pop_temp_shock_resid,-1.2201215144402295,2.1650954668966054,-0.5635416696840263,0.5758637494056293
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,"l(household_unsecured_credit_rate, 1)",0.28708542703423673,0.19029067696006174,1.5086678528895574,0.13837330041775564
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,"l(household_unsecured_credit_rate, 2)",-0.5228736945102666,0.17668007068369687,-2.9594378838932323,0.004901365631820068
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,"l(pop_temp_shock, 1)",-0.5686291783074855,0.26206166987470886,-2.1698296381128377,0.03533865329444604
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,"l(pop_temp_shock, 2)",-0.23845914115650202,0.12272980755840178,-1.9429602791728462,0.05829296001769113
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,"l(central_bank_information_pop_temp_shock_resid, 1)",-5.45480686932399,1.411330724572196,-3.8650096496534907,3.5405564005957916e-4
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,"l(central_bank_information_pop_temp_shock_resid, 2)",-3.121044308789591,1.2394329430652875,-2.5181227643270647,0.01542423064194806
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,date,1.0650149078578849e-4,1.3985172785082938e-4,0.7615314620880952,0.45031241704264624
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,3,pop_temp_shock:central_bank_information_pop_temp_shock_resid,-0.823874148291327,2.132364414297061,-0.38636648725115735,0.7010461545224231
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,4,pop_temp_shock,-0.5201491024480042,0.2764475553996766,-1.8815471227300016,0.06637574540319219
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,4,central_bank_information_pop_temp_shock_resid,-2.809353952661824,2.139457320336192,-1.313115211954948,0.19580092466377316
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,4,"l(household_unsecured_credit_rate, 1)",0.254410001964074,0.2202239789523806,1.155232973149965,0.25409247520228834
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,4,"l(household_unsecured_credit_rate, 2)",-0.6256576164563866,0.19638515107978718,-3.185870281008135,0.002622423675647824
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,4,"l(pop_temp_shock, 1)",-0.45971987076891085,0.23785356441660457,-1.932785291221046,0.059570696824528646
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,4,"l(pop_temp_shock, 2)",-0.36107086898472157,0.18081900426366146,-1.9968634959311335,0.051909758716811985
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,4,"l(central_bank_information_pop_temp_shock_resid, 1)",-4.952586237569954,1.434165733251323,-3.4532872475918124,0.0012173524628277727
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,4,"l(central_bank_information_pop_temp_shock_resid, 2)",-2.1136926214624383,1.5875082965521783,-1.3314529606258125,0.18974579701619937
