model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,pop_precip_shock,-0.0030859777818237327,0.037655288366360014,-0.08195337004989299,0.9350472369569609
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,country_risk_pop_precip_shock_resid,0.01942941455867405,0.026218185784197597,0.7410663239095925,0.46250303887971256
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,"l(household_unsecured_credit_rate, 1)",0.08280512004026552,0.05091867064750996,1.6262231316581883,0.11088583466642489
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,"l(household_unsecured_credit_rate, 2)",-0.1303667350752765,0.05018321610610403,-2.5978154688140713,0.012635457516332967
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,"l(pop_precip_shock, 1)",0.09044741639415299,0.0633740737405959,1.427199027229562,0.16042512950510612
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.06937941046406887,0.0352720769779917,1.9669783128268492,0.05536987585674555
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,"l(country_risk_pop_precip_shock_resid, 1)",5.35325516012479e-4,0.016043586621038754,0.033366947719188925,0.9735295318286623
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,"l(country_risk_pop_precip_shock_resid, 2)",-0.012645524158862817,0.00999542970829024,-1.2651306174835664,0.21233667711880083
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,as.numeric(date),8.618411663509046e-6,4.0436210973109985e-5,0.21313598520000493,0.832183557318167
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,0,pop_precip_shock:country_risk_pop_precip_shock_resid,-0.0041829946325311115,0.01218292104020166,-0.34334907192847336,0.7329348588167668
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,pop_precip_shock,0.08530416724900075,0.06917577212063646,1.233150923132998,0.22392249661726843
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,country_risk_pop_precip_shock_resid,0.03356604245618732,0.045408946308730526,0.7391944800475092,0.46362747849997143
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,"l(household_unsecured_credit_rate, 1)",0.24301739294629576,0.061441645289224765,3.955255296344002,2.680358101272855e-4
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,"l(household_unsecured_credit_rate, 2)",-0.37183030596604877,0.05874134785268287,-6.329958701297766,1.009390579153024e-7
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.15423418825787724,0.09107019861007717,1.693574743569416,0.09725839331038916
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.07163036990234327,0.04332494525501736,1.6533285727360019,0.10522470584184769
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,"l(country_risk_pop_precip_shock_resid, 1)",-0.005249312663486767,0.031336768899835096,-0.16751288814318027,0.8677170518903139
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,"l(country_risk_pop_precip_shock_resid, 2)",-0.008802113984059053,0.011230180857631052,-0.7837909376212676,0.4372689956457245
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,as.numeric(date),1.3368708635687407e-5,6.243530874955683e-5,0.21412096621981228,0.8314200199557122
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,1,pop_precip_shock:country_risk_pop_precip_shock_resid,0.01883560594464621,0.010334264180633242,1.822636388563084,0.0750069176747234
household_unsecured_credit_rate__country_risk__pop_precip_shock,household_unsecured_credit_rate,country_risk,pop_precip_shock,2,pop_precip_shock,0.0948245716352972,0.08614181811436782,1.1007960327631066,0.2768390436700972
