model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,pop_precip_shock,-0.02819575000461115,0.033413827061855465,-0.8438347978642302,0.40322528888818354
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,forward_guidance_pop_precip_shock_resid,-1.5640904628141286e-6,0.005702097746493106,-2.7430088580576733e-4,0.9997823519816442
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,"l(household_unsecured_credit_rate, 1)",0.04924733687120419,0.041039494374662,1.1999986262406233,0.236419530956804
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,"l(household_unsecured_credit_rate, 2)",-0.08657124626296972,0.03339499906936864,-2.5923416282522576,0.012811159681058977
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,"l(pop_precip_shock, 1)",0.05951428321321676,0.028036539558785052,2.1227399725430227,0.03931124860818297
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.08084613067454219,0.03865231491614771,2.091624546936702,0.04214653253007873
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,"l(forward_guidance_pop_precip_shock_resid, 1)",-0.037470275450148006,0.01891661367239078,-1.9808130619507607,0.05374412046112578
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,"l(forward_guidance_pop_precip_shock_resid, 2)",-0.009225861619030065,0.006167839642806244,-1.4958011481038573,0.14168634016638423
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,as.numeric(date),-1.2460985862791314e-6,3.106362991652663e-5,-0.040114390675771466,0.9681793780847741
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,0,pop_precip_shock:forward_guidance_pop_precip_shock_resid,0.004859255718743004,0.0063476966435971685,0.7655147987647561,0.4479616881948322
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,1,pop_precip_shock,0.04658535739845482,0.04839367148483358,0.9626332528428746,0.3408761330545308
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,1,forward_guidance_pop_precip_shock_resid,-0.032800237384109913,0.011790007757339018,-2.782036963774896,0.00786509808761931
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,1,"l(household_unsecured_credit_rate, 1)",0.0822556720398002,0.06841258621941401,1.20234706192788,0.23551781972968946
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,1,"l(household_unsecured_credit_rate, 2)",-0.14481435686224672,0.05422558393293383,-2.6705910081365474,0.010499943405585632
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.13295604765660043,0.06386693510720058,2.0817665265044245,0.043081369275647256
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.09568517756419037,0.026614935477331902,3.595168496488973,8.008779714012589e-4
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,1,"l(forward_guidance_pop_precip_shock_resid, 1)",-0.04449751487265165,0.018179514525661546,-2.447673440885375,0.018343956707403873
household_unsecured_credit_rate__forward_guidance__pop_precip_shock,household_unsecured_credit_rate,forward_guidance,pop_precip_shock,1,"l(forward_guidance_pop_precip_shock_resid, 2)",-0.013764995821482485,0.010286157950015692,-1.3382057604376458,0.18755229992170683
