model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,land_precip_shock,-0.006308431106842941,0.027364551688971145,-0.2305329602525685,0.8186574020286044
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,miyajima_surprise_land_precip_shock_resid,-0.41091272908125115,0.09973211876516144,-4.120164438186905,1.48728346325627e-4
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,"l(household_unsecured_credit_rate, 1)",-0.019614417572900465,0.04552985551836488,-0.43080342227286034,0.6685397486390234
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,"l(household_unsecured_credit_rate, 2)",-0.022719444067439424,0.03772674235087103,-0.6022105978868033,0.5498683095649581
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,"l(land_precip_shock, 1)",0.06830149333534233,0.05116035928467818,1.335047178916073,0.18815847023878632
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,"l(land_precip_shock, 2)",0.030861176327565198,0.03664833091905613,0.84208954551647075,0.403914056771682
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,"l(miyajima_surprise_land_precip_shock_resid, 1)",-0.35420884038279976,0.24453588455913394,-1.4484943223011697,0.15398020750664318
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,"l(miyajima_surprise_land_precip_shock_resid, 2)",-0.21683237057387214,0.12328347213147622,-1.7588113542310868,0.08498335041323232
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,as.numeric(date),4.4679422517383673e-05,5.3195660000159425e-5,0.8399072878736681,0.4051245014720207
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,0,land_precip_shock:miyajima_surprise_land_precip_shock_resid,0.03646516180368477,0.06653465517313199,0.5480626856605416,0.58618879252393
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,1,land_precip_shock,0.07499456252603814,0.06834400954289706,1.0973099621696438,0.27798033267274674
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,1,miyajima_surprise_land_precip_shock_resid,-0.755692330565771,0.29604052725041397,-2.552665128604328,0.013925807780765046
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,1,"l(household_unsecured_credit_rate, 1)",0.032100232066678315,0.0898703061420607,0.3571839625864467,0.7225197385969571
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,1,"l(household_unsecured_credit_rate, 2)",-0.14228535303047649,0.063088431973671,-2.2553318980864367,0.028708890169884944
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,1,"l(land_precip_shock, 1)",0.08049245494771173,0.06767810269427306,1.1893426639237483,0.24015506241297624
