model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,land_precip_shock,0.015914428948787297,0.024249219255632355,0.6562862408483877,0.5149820197220553
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,target_land_precip_shock_resid,0.010143556505922673,0.005320282405358786,1.9065823452728197,0.06297218682000787
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,"l(household_unsecured_credit_rate, 1)",0.01923947439340352,0.04527070797619707,0.4249872655740101,0.6728713046538717
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,"l(household_unsecured_credit_rate, 2)",-0.031227639983851817,0.04890814172797552,-0.6384957367126783,0.5263874316945318
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,"l(land_precip_shock, 1)",0.11293878161717168,0.040938006860892835,2.7587757753067255,0.008358459569700053
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,"l(land_precip_shock, 2)",0.05263541341581466,0.023566262729318953,2.2335070274138364,0.03053156132700391
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,"l(target_land_precip_shock_resid, 1)",0.010141830367445096,0.002664261046564775,3.8066203687216364,4.2333416258885057e-4
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,"l(target_land_precip_shock_resid, 2)",0.0038102120761021284,0.001186245597781087,3.211992595149993,0.0024362534474503105
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,as.numeric(date),3.308399060334632e-5,4.2208347024500776e-5,0.7838257817616497,0.4372487556886707
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,0,land_precip_shock:target_land_precip_shock_resid,-0.006944362860194821,0.0036544859436476486,-1.9002297360770393,0.06382140310231474
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,land_precip_shock,0.11078315103986133,0.0611926407799863,1.8103999047560984,0.07691390580831874
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,target_land_precip_shock_resid,0.017724753862547554,0.008191678726065778,2.163751100998102,0.0358307251489268
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,"l(household_unsecured_credit_rate, 1)",0.05433621580277249,0.07759125184135268,0.7002879127903657,0.48735250625661486
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,"l(household_unsecured_credit_rate, 2)",-0.12183040000195841,0.05702113326931676,-2.1365832809134244,0.03810456386682047
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,"l(land_precip_shock, 1)",0.15065793040146344,0.04434923932250026,3.39708037168133,0.0014339196490057392
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,"l(land_precip_shock, 2)",0.014065456313221323,0.05850668493095483,0.240407678709199,0.8111061058410938
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,"l(target_land_precip_shock_resid, 1)",0.012225820801567078,0.003378724924975616,3.61847178241517,7.471143178284723e-4
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,"l(target_land_precip_shock_resid, 2)",0.015814710635761196,0.007788408137048208,2.030544670679642,0.04823572276923852
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,as.numeric(date),7.31919529407435e-5,8.050155652826093e-5,0.9091992266640048,0.368089020289624
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,1,land_precip_shock:target_land_precip_shock_resid,-0.006311650922088333,0.0033567521799420736,-1.880285044515038,0.06655139628037417
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,land_precip_shock,0.13143249797548118,0.07118794562881062,1.846274629988604,0.07143592721137461
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,target_land_precip_shock_resid,0.015366141213048938,0.00512314462379966,2.9993572974038747,0.00439725430305097
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,"l(household_unsecured_credit_rate, 1)",0.021493872216242344,0.11000410862516241,0.19539154023312383,0.8459660300750454
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,"l(household_unsecured_credit_rate, 2)",-0.16253904297172106,0.06854693562380137,-2.3712080123284616,0.022071149546318506
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,"l(land_precip_shock, 1)",0.15066898398875464,0.0466231696955069,3.231633219550808,0.002304584016078798
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,"l(land_precip_shock, 2)",0.19417802858581215,0.04629759290953625,4.194127953157925,1.2682279279706117e-4
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,"l(target_land_precip_shock_resid, 1)",0.030032235358368974,0.00637141253200277,4.713591406539915,2.3718225553051455e-5
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,"l(target_land_precip_shock_resid, 2)",0.0172453924247831,0.006033022095579645,2.8584997952218147,0.0064270259395168864
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,as.numeric(date),9.06830347638558e-5,9.997459344485484e-5,0.9070608005410477,0.3692064444122004
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,2,land_precip_shock:target_land_precip_shock_resid,-0.010068493592461042,0.004730695643564526,-2.1283325648222307,0.038819777098146636
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,land_precip_shock,0.12771570465233456,0.05134040900725947,2.4876253836286293,0.016632017493999153
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,target_land_precip_shock_resid,0.028371797207757978,0.007656414900661376,3.7056243131896065,5.751368428352813e-4
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,"l(household_unsecured_credit_rate, 1)",6.543127941350337e-4,0.15232828730908496,0.004295412268421205,0.9965917534727067
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,"l(household_unsecured_credit_rate, 2)",-0.2127206130066269,0.10872644969245507,-1.9564752974858552,0.056632233394093484
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,"l(land_precip_shock, 1)",0.31392664759207417,0.07493181045977369,4.189497700187054,1.2869517862752845e-4
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,"l(land_precip_shock, 2)",0.3043876904270678,0.10715231364471646,2.8407010551010794,0.0067380963272059835
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,"l(target_land_precip_shock_resid, 1)",0.028079523516871437,0.004342002459568579,6.466952466825967,6.313284035670493e-8
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,"l(target_land_precip_shock_resid, 2)",0.016146363063369883,0.00621613324201785,2.5974930772443563,0.012645744404826024
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,as.numeric(date),9.44925022850117e-5,1.1602701766373823e-4,0.8144008541085108,0.4197043795661477
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,3,land_precip_shock:target_land_precip_shock_resid,-0.009011660091054629,0.0055445835290999675,-1.6253087438863887,0.11108106278376634
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,land_precip_shock,0.2833577801570891,0.104842524755147,2.7026989365131473,0.00966771387305833
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,target_land_precip_shock_resid,0.027968645743201057,0.0063330154655439515,4.416323613193449,6.237221799953339e-5
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,"l(household_unsecured_credit_rate, 1)",-0.01525423039654295,0.16495639396675568,-0.09247432021105648,0.9267316634474078
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,"l(household_unsecured_credit_rate, 2)",-0.2859418814902821,0.12724748083472698,-2.2471319637492266,0.029581721862661194
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,"l(land_precip_shock, 1)",0.46210038004093373,0.1287302389202179,3.589680124242805,8.140698053834765e-4
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,"l(land_precip_shock, 2)",0.32097147724727365,0.12654426817156553,2.536436315014352,0.014737854447872366
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,"l(target_land_precip_shock_resid, 1)",0.03111512987572084,0.005678944103770472,5.479034360465406,1.8394974664428733e-6
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,"l(target_land_precip_shock_resid, 2)",0.01634539569580691,0.0066033041790937,2.4753358701174215,0.017142521920484585
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,as.numeric(date),8.195150262557143e-5,1.325917839828204e-4,0.6180737611629818,0.5396424700035152
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,4,land_precip_shock:target_land_precip_shock_resid,-0.01582779813676313,0.006308820802646194,-2.5088362202528027,0.015783280385205427
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,land_precip_shock,0.3975863723673569,0.16481893638422546,2.412261485782827,0.01999295186700067
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,target_land_precip_shock_resid,0.02635392982092624,0.007533556086422915,3.498205829836679,0.0010670946096767425
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,"l(household_unsecured_credit_rate, 1)",-0.05026645199648303,0.2160652052160223,-0.23264482564986141,0.8170921146740614
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,"l(household_unsecured_credit_rate, 2)",-0.368337849017349,0.17388638978539944,-2.118267274810469,0.039708225793332615
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,"l(land_precip_shock, 1)",0.46506701649043075,0.12307761781783658,3.7786481793851605,4.6099140072251133e-4
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,"l(land_precip_shock, 2)",0.40250025068224354,0.14650891387135395,2.7472748247636973,0.008612820192781288
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,"l(target_land_precip_shock_resid, 1)",0.034522327174975206,0.005837634191639872,5.913753079015287,4.192277943109415e-7
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,"l(target_land_precip_shock_resid, 2)",0.012237451139337052,0.006164404463250466,1.9851797869999421,0.05323960118821077
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,as.numeric(date),8.88604491176401e-5,1.4670654271943444e-4,0.6057020189452574,0.5477556742676779
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,5,land_precip_shock:target_land_precip_shock_resid,-0.024360236762629762,0.008836196562761545,-2.75686904310066,0.008400143899708761
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,6,land_precip_shock,0.4297241258998659,0.13671029518120087,3.143319421045019,0.0029885557680537867
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,6,target_land_precip_shock_resid,0.023677755587780708,0.008606795171583302,2.751053686737727,0.00859207321931995
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,6,"l(household_unsecured_credit_rate, 1)",-0.12372870188489377,0.22840204988845766,-0.5417144983826453,0.590748002370221
