model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,pop_precip_shock,0.012157178432253026,0.012548996783126314,0.9687769183748508,0.3378348126117201
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,target_pop_precip_shock_resid,0.924915870142712,0.5507885934040702,1.6792574886607614,0.1000333087901323
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,"l(household_unsecured_credit_rate, 1)",0.01280647282170045,0.03921063521485733,0.3266071246111295,0.7454793282967398
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,"l(household_unsecured_credit_rate, 2)",-0.0437511717998305,0.03420619845036606,-1.2790422140394937,0.2074386942205059
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,"l(pop_precip_shock, 1)",0.05977030940612511,0.015367399638462323,3.8894224665394197,3.284588350302639e-4
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.04760105534535071,0.02207205970723071,2.156620450322396,0.03641565701031549
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,"l(target_pop_precip_shock_resid, 1)",0.9973844771386684,0.24673619925423892,4.0423111004922125,2.044415181277943e-4
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,"l(target_pop_precip_shock_resid, 2)",0.19849076776018387,0.14635196199347753,1.3562562814773198,0.18178400153755422
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,date,3.083340719295352e-5,4.209044865222453e-5,0.73255116493808,0.467630881345507
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,0,pop_precip_shock:target_pop_precip_shock_resid,-0.25586448807725765,0.1742190384259603,-1.4686367826900566,0.14888755204578402
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,pop_precip_shock,0.06124222995463672,0.03169537331476788,1.9322135551595483,0.0596432004994551
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,target_pop_precip_shock_resid,1.5698679493461443,0.83989167131123,1.8691314641747585,0.06812097336920837
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,"l(household_unsecured_credit_rate, 1)",0.03325758418730761,0.07074725850801906,0.4700900768266225,0.6405609912932055
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,"l(household_unsecured_credit_rate, 2)",-0.12351067662673712,0.049064205377810206,-2.517327564477302,0.015454682445969464
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.10253919975151658,0.032446771030607176,3.160228167381923,0.0028181812883212804
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.05867968473463939,0.03119839781291316,1.8808557120953049,0.06647192415832173
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,"l(target_pop_precip_shock_resid, 1)",1.1903742566287114,0.4461510570292719,2.668096909945483,0.010567271102031294
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,"l(target_pop_precip_shock_resid, 2)",1.320884086273324,0.730584611839503,1.8079823539501265,0.0772954605051239
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,date,6.256871123932036e-5,8.351773188908965e-5,0.7491667915791907,0.4576551552367678
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,1,pop_precip_shock:target_pop_precip_shock_resid,-0.3255577732166821,0.19159964215655456,-1.6991564783334585,0.09619393355537612
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,pop_precip_shock,0.08045856055000469,0.043323593067223234,1.8571534550507118,0.06984148912858613
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,target_pop_precip_shock_resid,1.3355256745104829,0.5746546740642058,2.3240490938063187,0.024696492526540232
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,"l(household_unsecured_credit_rate, 1)",0.004049707271632423,0.09251858169301319,0.043771826129693554,0.9652799426373398
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,"l(household_unsecured_credit_rate, 2)",-0.1802525558223296,0.05098251351175112,-3.535576090825389,9.557583416236636e-4
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,"l(pop_precip_shock, 1)",0.14767242440152986,0.03676570291232673,4.016581017196288,2.2153121155561514e-4
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,"l(pop_precip_shock, 2)",0.1422730019902559,0.042891590331216915,3.3170372301795537,0.0018064949328061236
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,"l(target_pop_precip_shock_resid, 1)",2.860416029921514,0.5899975781637099,4.848182663434287,1.5223737718984221e-5
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,"l(target_pop_precip_shock_resid, 2)",1.3042414592048301,0.3903381837107696,3.3413114925267955,0.0016847514991871393
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,date,7.310425062222752e-5,1.0285872739415193e-4,0.7107248210654401,0.48092236589637316
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,2,pop_precip_shock:target_pop_precip_shock_resid,-0.44675478500233873,0.24068087476329084,-1.8562122372279108,0.0699782340298596
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,3,pop_precip_shock,0.10368155139019095,0.038060628251628786,2.7241156058887164,0.00914684846157697
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,3,target_pop_precip_shock_resid,2.5954719490385307,0.8756737502155024,2.9639713973380926,0.004841508374334489
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,3,"l(household_unsecured_credit_rate, 1)",0.008433228346771019,0.128946440549593,0.06540101697128728,0.9481444034437818
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,3,"l(household_unsecured_credit_rate, 2)",-0.2797670539803499,0.07440049564851596,-3.7602848145263708,4.874471699724709e-4
