model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,pop_temp_shock,0.10239022934473775,0.06407544961940509,1.5979634938641012,0.11705018128974033
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,target_pop_temp_shock_resid,1.5965272881321837,0.5427731147881866,2.941426619399189,0.005146072216780445
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,"l(household_unsecured_credit_rate, 1)",-0.027204359888149676,0.08408203252142922,-0.32354545997941175,0.7477810647542764
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,"l(household_unsecured_credit_rate, 2)",-0.0030579705840544204,0.08437458246740835,-0.03624279367824585,0.9712490632618085
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,"l(pop_temp_shock, 1)",-0.19563511955357563,0.1194149224314563,-1.6382803385889182,0.10833763387647434
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.1486990566591846,0.10601142477590896,-1.4026701081841924,0.16757701621996632
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 1)",0.43035375720837826,0.18486162541686532,2.327977784669615,0.024467557035022625
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 2)",0.5586451486372718,0.12855275395153695,4.345649015406353,7.826940057901456e-5
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,date,4.2478342249686113e-5,3.577081515945011e-5,1.1875139568482542,0.2412555508293069
household_unsecured_credit_rate__target__pop_temp_shock,household_unsecured_credit_rate,target,pop_temp_shock,0,pop_temp_shock:target_pop_temp_shock_resid,-0.7306850171840189,0.426674365944843,-1.7125121064303075,0.09368603119278282
