model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,0,-0.0022081750638494237,0.009836390762857387,-0.011990051400304551,0.007573701272605704,-0.018387598086247348,0.013971247958548502,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,0,-0.01591936245384045,0.0059071374801958915,-0.02179376188822505,-0.010044963019455849,-0.025635738963041638,-0.006202985944639262,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,0,-0.029630549843831476,0.007065030582811,-0.036656425202025875,-0.02260467448563708,-0.04125149102249122,-0.018009608665171734,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,1,-0.02578946779425445,0.03138493970055557,-0.05700046849353469,0.00542153290502579,-0.07741309969236651,0.025834164103857617,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,1,-0.03622892611863747,0.013105812689633704,-0.04926210486371413,-0.023195747373560813,-0.05778606965532809,-0.01467178258194685,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,1,-0.04666838444302049,0.016032872300927658,-0.0626124006931733,-0.030724368192867686,-0.07304011259765113,-0.020296656288389846,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,2,-0.0340858525883299,0.04665754685032582,-0.0804848178648648,0.012313112688205008,-0.11083068774974653,0.04265898257308673,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,2,-0.04684576871468833,0.022209001755913536,-0.06893168558907581,-0.024759851840300863,-0.0833763258038743,-0.010315211625502356,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,2,-0.059605684841046766,0.03119270050890507,-0.09062551176072829,-0.028585857921365237,-0.11091311140753028,-0.00829825827456325,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,3,-0.06543034364360163,0.06505866805936561,-0.13012844896636433,-7.32238320838921e-4,-0.17244232976568102,0.041581642478477746,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,3,-0.03869630872881093,0.030733781203936748,-0.06925975972790957,-0.008132857729712287,-0.08924888021203925,0.011856262754417396,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,3,-0.011962273814020222,0.04806267252258408,-0.05975857739223276,0.03583402976419232,-0.09101833503377348,0.06709378740573303,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,4,-0.05873781677847417,0.05730206876919506,-0.1157223107902276,-0.001753322766720744,-0.15299133242530732,0.035515698868358966,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,4,-0.016658925098692344,0.035903375325709835,-0.05236331972518303,0.019045469527798342,-0.07571472222298614,0.04239687202560145,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,4,0.025419966581089484,0.0580455027139129,-0.032303841177634324,0.08314377433981329,-0.07005638908611163,0.1208963222482906,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,5,-0.09266881940704061,0.05527212758463078,-0.14763462240535194,-0.03770301640872927,-0.18358337893394502,-0.0017542598801361942,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,5,-0.012099571332179978,0.02954845637264549,-0.04148426670863676,0.017285124044276803,-0.06070245696754324,0.03650331430318328,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,5,0.06846967674268065,0.06488969296662078,0.003939610032964128,0.13299974345239718,-0.03826437008523294,0.17520372357059422,184
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,6,-0.1486062405029301,0.06861061779295234,-0.2168366102390229,-0.08037587076683726,-0.26146066402704893,-0.03575181697881126,180
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,6,0.003919361336459104,0.021149867443813142,-0.01711329107188219,0.024952013744800397,-0.03086907483803979,0.038707797510958,180
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,6,0.15644496317584827,0.07540248138326171,0.08146037115068701,0.23142955520100955,0.032418918191449445,0.2804710081602471,180
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,7,-0.13949091354676604,0.061126292231634606,-0.2002784367278982,-0.07870339036563391,-0.24003471702606577,-0.0389471100674663,176
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,7,0.0013070969854587463,0.021269394825392352,-0.01984442036975341,0.022458614340670903,-0.033677944236150725,0.03629213820706821,176
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,7,0.14210510751768354,0.06058345552488669,0.0818574125788725,0.2023528024564946,0.0424541909643205,0.24175602407104657,176
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,8,-0.16233167351662753,0.06548899183983976,-0.2274577177152154,-0.09720562931803967,-0.2700514792697833,-0.054611867763471766,172
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,8,-0.032858934196503556,0.023103360773529057,-0.055834253446378504,-0.009883614946628604,-0.07086058095961117,0.00514271256660407,172
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,8,0.09661380512362043,0.042644435228526074,0.05420571033558496,0.1390218999116559,0.026469951168682213,0.16675765907855866,172
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,9,-0.1866271146410083,0.06786585912271496,-0.25411685324639477,-0.11913737603562187,-0.29825651916518364,-0.074997710116833,168
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,9,-0.06185457338789133,0.037570100463794984,-0.09921645596709466,-0.024492690808688003,-0.12365188940069567,-5.7257375086994244e-5,168
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,9,0.06291796786522566,0.04494220993874582,0.01822483290277216,0.10761110282767916,-0.011005389155734874,0.1368413248861862,168
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,10,-0.14968333156325486,0.060797998672021014,-0.21014438062602225,-0.08922228250048746,-0.24968714019031937,-0.04967952293619035,164
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,10,-0.05429894227157432,0.052560196682586297,-0.10656784420562739,-0.002030040337521258,-0.1407527724182091,0.03215488787506045,164
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,10,0.041085447020106206,0.0620509241575103,-0.020621583668780426,0.10279247770899283,-0.06097924063606529,0.14315013467627768,164
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,11,-0.15005874434295594,0.05554630079776928,-0.2052972010544378,-0.09482028763147407,-0.24142427867390415,-0.058693210012007724,160
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,11,-0.06429296153492925,0.05351008870624395,-0.11750649108010673,-0.011079431989751767,-0.1523092250218896,0.02372330195203108,160
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,11,0.021472821273097437,0.06815175095862473,-0.046301224722254786,0.08924686726844966,-0.09062683347428988,0.13357247602048475,160
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = -3 SD,12,-0.16791587339637012,0.06731323531061621,-0.23485605089536554,-0.1009756958973747,-0.27863629263887507,-0.05719545415386519,156
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = 0,12,-0.091834204495956,0.056870107763092,-0.14838913147995103,-0.03527927751196097,-0.18537720751519893,0.0017087985232869113,156
corporate_mortgage_rate__country_risk__land_precip_shock,corporate_mortgage_rate,country_risk,land_precip_shock,Climate = +3 SD,12,-0.015752535595541878,0.062464614184365184,-0.0778709635928396,0.04636589240175585,-0.11849768279281929,0.08699261160173553,156
