model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,-3 SD,-3,0,0.3910993755894965,0.3955310090516175,-0.002239554415792766,0.7844383055947857,-0.25949123922083184,1.0416899903998247,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,No climate shock,0,0,0.5230834549220185,0.2117221252718297,0.3125347183955245,0.7336321914485124,0.17483154926277555,0.8713353605812614,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,+3 SD,3,0,0.6550675342545405,0.6570362138474084,0.0016726918396958723,1.308462376669385,-0.425660865130832,1.735795933639913,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,-3 SD,-3,1,0.801529146528948,1.7531080632862226,-0.9418629871246191,2.544921280182515,-2.082077009805265,3.685135302863161,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,No climate shock,0,1,0.4056273753805605,0.8086589103209131,-0.3985498528158804,1.2098046035770014,-0.9244981662274182,1.735752916988539,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,+3 SD,3,1,0.009725604232173002,0.8839630640267486,-0.869338433255475,0.8887896417198211,-1.4442642477233605,1.4637154561877064,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,-3 SD,-3,2,0.26035523658442483,2.0192748535409173,-1.7477285598865604,2.26843903305541,-3.061056330074255,3.581766803243104,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,No climate shock,0,2,-1.0940982253973779,0.9977093016784234,-2.086278105603184,-0.10191834519157184,-2.7351839889063525,0.5469875381115967,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,+3 SD,3,2,-2.4485516873791804,1.3729279881761407,-3.8138707483002507,-1.0832326264581102,-4.706817268273893,-0.1902861064844683,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,-3 SD,-3,3,-1.3365976942165287,2.908408382803095,-4.228887338088397,1.555691949655339,-6.1205037713262636,3.4473083828932056,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,No climate shock,0,3,-3.2437675768897014,1.3168890955279051,-4.553358319250389,-1.9341768345290142,-5.4098573819616185,-1.077677771817784,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,+3 SD,3,3,-5.150937459562874,1.5544584582863221,-6.6967809275277865,-3.605093991597961,-7.7077940926205235,-2.594080826505224,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,-3 SD,-3,4,-1.6943148287671979,2.827849251210822,-4.506491809162598,1.1178621516282021,-6.345712926093322,2.9570832685589257,184
