model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,0,0.0104324835992866,0.02045760683404791,-0.009911744788438067,0.03077671198701127,-0.023217285200444318,0.044082252399017516,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = 0,0,0.0026102166146629887,0.004543575509366641,-0.001908177868585438,0.007128611097911415,-0.004863300041246611,0.010083733270572588,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,0,-0.005212050369960622,0.012213074854517073,-0.017357438937265934,0.006933338197344692,-0.025300770840642847,0.014876670100721601,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,1,-0.007691697983145836,0.04384916115366185,-0.05129784196453975,0.03591444599824807,-0.0798171497455261,0.06443375377923442,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = 0,1,-0.0026494837673904127,0.009423467965171883,-0.012020725772530164,0.006721758237749339,-0.01814970922836439,0.012850741693583563,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,1,0.002392730448365011,0.025645917908203673,-0.023111054787598315,0.027896515684328337,-0.03979105063944349,0.04457651153617352,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,2,-0.015928030989944976,0.04671405370626443,-0.06238318995482343,0.030527127974933475,-0.09276581165829986,0.060909749678409904,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = 0,2,-0.014660058656672591,0.011935026203440415,-0.026528939550998887,-0.002791177762346298,-0.034291429795162406,0.004971312481817227,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,2,-0.013392086323400209,0.023870716680899115,-0.03713050870458689,0.010346336057786473,-0.05265592123390811,0.025871748587107696,184
corporate_mortgage_rate__forward_guidance__pop_temp_shock,corporate_mortgage_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,3,-0.06634203806892552,0.04278843963785778,-0.10889333917703786,-0.02379073696081318,-0.13672275819885,0.004038682060998958,184
