model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,0,-0.12390747212284309,1.0681131884919326,-1.1861010525789506,0.9382861083332645,-1.8807973242084992,1.6329823799628131,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,0,0.2879828408631321,0.44857253363830957,-0.1581036514048571,0.7340693331311212,-0.4498533180426524,1.0258189997689167,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,0,0.6998731538491072,0.202412416471051,0.49858253062993485,0.9011637770682795,0.3669343564766872,1.0328119512215272,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,1,-1.341487094799532,2.473534559127672,-3.801313036515807,1.118338846916743,-5.410089385770492,2.7271151961714284,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,1,0.22278646754850584,1.0003413590319112,-0.7720108828415364,1.217583817938548,-1.4226286450446974,1.8682015801417091,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,1,1.7870600298965438,0.5108002326231086,1.2790907118191177,2.29502934797397,0.9468684146187683,2.6272516451743195,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,2,-3.140855599371284,3.7555976687844743,-6.875639307258176,0.5939281085156085,-9.318264046241918,3.0365528474993497,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,2,-0.23341894620265372,1.4789722684210134,-1.7041945775825416,1.2373566851772342,-2.6661118460756033,2.1992739536702954,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,2,2.674017706965976,0.8577275932468887,1.821043740215079,3.526991673716873,1.2631813642774747,4.084854049654478,196
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,3,-5.631545401539542,4.791991709098854,-10.396979332928677,-0.8661114701504085,-13.513670344572173,2.2505795414930887,192
